date,mktcap,vol,open_price,close_price
2021-10-04,31593270,10231543,7.90,7.45
2021-10-03,24459219,2826423,6.12,7.90
2021-10-02,26099871,1957106,6.52,6.12
2021-10-01,25405159,1433856,6.35,6.52
2021-09-30,24689848,1252738,6.17,6.35
2021-09-29,25481950,3854449,6.35,6.17
2021-09-28,31631921,701980,7.85,6.35
2021-09-27,32625124,2094170,8.16,7.85
2021-09-26,34880661,2037162,8.71,8.16
2021-09-25,34898737,6881581,8.80,8.71
2021-09-24,31482060,12765184,7.87,8.80
2021-09-23,36566464,13829447,9.14,7.87
2021-09-22,30426936,24333953,7.54,9.14
2021-09-21,24994038,5700594,6.28,7.54
2021-09-20,33035976,4959193,8.25,6.28
2021-09-19,37544687,5121332,9.30,8.25
2021-09-18,31015705,4132669,7.78,9.30
2021-09-17,36908360,2179147,9.22,7.78
2021-09-16,42493276,1535086,10.63,9.22
2021-09-15,37522290,1052516,9.38,10.63
2021-09-14,45371368,3099430,11.33,9.38
2021-09-13,48814606,3869364,12.20,11.33
2021-09-12,58213514,5463101,14.56,12.20
2021-09-11,44243401,6623922,11.06,14.56
2021-09-10,35318612,6835425,8.87,11.06
2021-09-09,28905294,3414382,7.18,8.87
2021-09-08,28178722,6655424,7.05,7.18
2021-09-07,26303896,6135151,6.56,7.05
2021-09-06,13509000,906860,3.38,6.56
2021-09-05,13849025,1474826,3.43,3.38
2021-09-04,12374407,1261826,3.10,3.43
2021-09-03,10023025,1762790,2.48,3.10
2021-09-02,12974003,3353111,3.25,2.48
2021-09-01,9654405,3428462,2.41,3.25
2021-08-31,7468715,817861,1.90,2.41
2021-08-30,0.000000000000,2232092,1.93,1.90
2021-08-29,0.000000000000,1419276,1.81,1.93
2021-08-28,0.000000000000,768992,1.80,1.81
2021-08-27,0.000000000000,274786,1.64,1.80
2021-08-26,0.000000000000,322915,1.81,1.64
2021-08-25,0.000000000000,324957,1.79,1.81
2021-08-24,0.000000000000,652093,2.26,1.79
2021-08-23,0.000000000000,525735,2.65,2.26
2021-08-22,0.000000000000,445436,2.15,2.65
2021-08-21,0.000000000000,1324745,1.94,2.15
2021-08-20,0.000000000000,568208,1.87,1.94
2021-08-19,0.000000000000,684042,1.91,1.87
2021-08-18,0.000000000000,659720,2.00,1.91
2021-08-17,0.000000000000,996741,1.98,2.00
2021-08-16,0.000000000000,270187,1.50,1.98
2021-08-15,0.000000000000,219623,1.52,1.50
2021-08-14,0.000000000000,771187,1.44,1.52
2021-08-13,0.000000000000,619926,1.21,1.44
2021-08-12,0.000000000000,392223,1.08,1.21
2021-08-11,0.000000000000,392223,1.08,1.08
