date,mktcap,vol,open_price,close_price
2021-10-04,786613,7747.10,20.82,15.46
2021-10-03,800798,6068.31,21.09,20.82
2021-10-02,898045,3654.14,23.65,21.09
2021-10-01,765391,6767.78,20.14,23.65
2021-09-30,625636,14085.79,16.52,20.14
2021-09-29,550249,568.39,14.18,16.52
2021-09-28,557200,13469.71,14.67,14.18
2021-09-27,693737,16822.36,17.93,14.67
2021-09-26,470431,2093.23,12.44,17.93
2021-09-25,510393,5470.27,13.58,12.44
2021-09-24,645546,8737.89,16.79,13.58
2021-09-23,527147,10516.95,13.91,16.79
2021-09-22,475245,655.19,12.48,13.91
2021-09-21,481218,6031.03,12.63,12.48
2021-09-20,447882,7181.99,13.86,12.63
2021-09-19,624866,1970.66,16.47,13.86
2021-09-18,588832,6385.67,15.92,16.47
2021-09-17,543433,2376.36,14.31,15.92
2021-09-16,595402,7751.31,15.71,14.31
2021-09-15,513433,78.15,13.46,15.71
2021-09-14,499700,3099.04,13.09,13.46
2021-09-13,493738,1078.99,13.17,13.09
2021-09-12,429615,3321.16,11.24,13.17
2021-09-11,441163,2000.89,11.53,11.24
2021-09-10,567501,1722.62,14.78,11.53
2021-09-09,587077,5858.27,15.41,14.78
2021-09-08,564813,7794.64,14.82,15.41
2021-09-07,602525,994.24,16.02,14.82
2021-09-06,576248,1298.74,15.13,16.02
2021-09-05,641144,486.94,16.81,15.13
2021-09-04,610579,1993.32,16.03,16.81
2021-09-03,625160,5480.39,16.36,16.03
2021-09-02,575033,2244.68,15.08,16.36
2021-09-01,513664,19.88,13.60,15.08
2021-08-31,491108,12643.19,12.81,13.60
2021-08-30,676971,40254,17.80,12.81
2021-08-29,538849,1135.19,14.13,17.80
2021-08-28,641483,182.59,16.76,14.13
2021-08-27,509256,1811.40,13.35,16.76
2021-08-26,568942,2513.11,14.89,13.35
2021-08-25,548354,11375.80,14.35,14.89
2021-08-24,591197,6024.00,15.54,14.35
2021-08-23,602996,13736.51,15.82,15.54
2021-08-22,669463,17951.89,17.72,15.82
2021-08-21,660694,2910.63,17.33,17.72
2021-08-20,634061,4892.27,16.72,17.33
2021-08-19,654492,4814.86,17.23,16.72
2021-08-18,629680,5088.90,16.56,17.23
2021-08-17,732380,6248.28,19.21,16.56
2021-08-16,729102,1725.92,19.10,19.21
2021-08-15,731747,11169.73,19.23,19.10
2021-08-14,793494,16544.46,20.86,19.23
2021-08-13,731849,10290.14,19.24,20.86
2021-08-12,927401,2022.52,24.97,19.24
2021-08-11,830631,4773.08,21.80,24.97
2021-08-10,835774,5065.01,22.20,21.80
2021-08-09,816124,6151.61,21.19,22.20
2021-08-08,881634,11778.14,23.17,21.19
2021-08-07,839509,16308.57,22.02,23.17
2021-08-06,749675,26564,20.95,22.02
2021-08-05,938624,20360,24.87,20.95
2021-08-04,929259,6702.78,24.56,24.87
2021-08-03,1000743,1790.52,26.24,24.56
2021-08-02,988810,5199.41,25.84,26.24
2021-08-01,1027524,4732.77,27.19,25.84
2021-07-31,1032844,4882.23,27.04,27.19
2021-07-30,999081,6609.46,26.45,27.04
2021-07-29,967520,13943.12,25.78,26.45
2021-07-28,1047484,36582,27.99,25.78
2021-07-27,962619,42855,25.82,27.99
2021-07-26,776561,14658.50,21.12,25.82
2021-07-25,791420,23319,21.48,21.12
2021-07-24,682729,20808,18.59,21.48
2021-07-23,721725,7574.68,19.54,18.59
2021-07-22,739661,6686.28,20.01,19.54
2021-07-21,640303,573.95,17.62,20.01
2021-07-20,686146,3323.39,18.58,17.62
2021-07-19,777281,7616.64,20.45,18.58
2021-07-18,696466,998.25,19.26,20.45
2021-07-17,721688,1153.01,19.69,19.26
2021-07-16,746701,729.94,20.62,19.69
2021-07-15,749468,14483.31,20.67,20.62
2021-07-14,740851,9083.80,20.46,20.67
2021-07-13,857012,12756.98,23.65,20.46
2021-07-12,876844,1594.58,24.23,23.65
2021-07-11,821951,6182.70,22.64,24.23
2021-07-10,919133,4014.15,25.40,22.64
2021-07-09,946821,1827.99,26.20,25.40
2021-07-08,1035766,5391.98,28.64,26.20
2021-07-07,970936,11086.00,26.94,28.64
2021-07-06,958302,8490.22,26.43,26.94
2021-07-05,987970,16658.08,27.17,26.43
2021-07-04,860373,13485.12,24.12,27.17
2021-07-03,896727,9467.10,25.33,24.12
2021-07-02,807955,13913.33,22.72,25.33
2021-07-01,821815,43918,23.16,22.72
2021-06-30,880658,59269,24.70,23.16
2021-06-29,673884,1097.94,18.91,24.70
2021-06-28,628981,1178.29,18.05,18.91
2021-06-27,621785,10783.92,17.84,18.05
2021-06-26,607842,6284.28,17.12,17.84
2021-06-25,727903,11313.68,20.94,17.12
2021-06-24,612202,8632.41,17.65,20.94
2021-06-23,582153,15413.31,16.75,17.65
2021-06-22,619410,6904.57,17.33,16.75
2021-06-21,717706,1876.37,20.51,17.33
2021-06-20,689783,18260.71,19.83,20.51
2021-06-19,753845,23395,22.22,19.83
2021-06-18,688481,16379.58,19.79,22.22
2021-06-17,768323,23276,21.99,19.79
2021-06-16,901377,35089,22.55,21.99
2021-06-15,864018,43562,23.92,22.55
2021-06-14,719821,4846.05,20.80,23.92
2021-06-13,0.000000000000,21531,20.34,20.80
2021-06-12,0.000000000000,46525,21.02,20.34
2021-06-11,0.000000000000,54666,22.03,21.02
2021-06-10,0.000000000000,29429,22.88,22.03
2021-06-09,0.000000000000,46021,22.94,22.88
2021-06-08,0.000000000000,15758.69,23.88,22.94
2021-06-07,0.000000000000,18731.87,25.64,23.88
2021-06-06,0.000000000000,11678.01,26.18,25.64
2021-06-05,0.000000000000,33713,30.31,26.18
2021-06-04,0.000000000000,113282,33.75,30.31
2021-06-03,0.000000000000,32608,30.95,33.75
