date,mktcap,vol,open_price,close_price
2021-10-04,124052683,436.99,48195,49519
2021-10-03,125787216,29595,47895,48195
2021-10-02,125888107,454.19,48014,47895
2021-10-01,114958741,2952.39,43809,48014
2021-09-30,106948617,888.42,41002,43809
2021-09-29,108425415,16369.85,41527,41002
2021-09-28,109475495,82186,42547,41527
2021-09-27,111242355,51064,42497,42547
2021-09-26,109757234,1721.88,42586,42497
2021-09-25,111628460,47434,42784,42586
2021-09-24,116323998,41.93,45023,42784
2021-09-23,113774603,25267,43595,45023
2021-09-22,104320205,452576,39953,43595
2021-09-21,112038911,18878.19,42565,39953
2021-09-20,122145777,12814.62,46805,42565
2021-09-19,124987054,11661.02,48177,46805
2021-09-18,123022901,43415,47205,48177
2021-09-17,123854841,22713,47678,47205
2021-09-16,125726502,19238.30,48391,47678
2021-09-15,122372968,6374.68,47050,48391
2021-09-14,118852378,32235,45609,47050
2021-09-13,118603897,736746,46554,45609
2021-09-12,116888789,5375.05,44918,46554
2021-09-11,115334036,33503,44267,44918
2021-09-10,121590362,15268.35,46573,44267
2021-09-09,121966543,26114,46906,46573
2021-09-08,120003929,25802,46232,46906
2021-09-07,134528992,27518,52292,46232
2021-09-06,133202039,21453,51331,52292
2021-09-05,130746824,3832.59,50038,51331
2021-09-04,129620702,29641,49925,50038
2021-09-03,127909205,29075,49819,49925
2021-09-02,123932812,694655,48132,49819
2021-09-01,121824090,40793,47649,48132
2021-08-31,122708452,37829,46736,47649
2021-08-30,148247237,2765.13,64586,46736
2021-08-29,126649656,8806.01,48813,64586
2021-08-28,125372875,621.47,49532,48813
2021-08-27,120397735,1881.09,47384,49532
2021-08-26,122536451,14342.90,48490,47384
2021-08-25,121929636,15972.88,48266,48490
2021-08-24,107043957,535504,49184,48266
2021-08-23,105052382,68535,48946,49184
2021-08-22,105517325,47382,48751,48946
2021-08-21,100323391,891549,48790,48751
2021-08-20,94370227,481120,46716,48790
2021-08-19,92215098,40938,44999,46716
2021-08-18,90572613,133674,44549,44999
2021-08-17,94604643,70785,45591,44549
2021-08-16,97414055,283359,47432,45591
2021-08-15,95493977,453301,46492,47432
2021-08-14,95467557,14155.43,47029,46492
2021-08-13,87068562,11212.86,43820,47029
2021-08-12,91739612,13802.31,45477,43820
2021-08-11,90730207,87848,45387,45477
2021-08-10,82271913,26640,46116,45387
2021-08-09,81812521,31254,44678,46116
2021-08-08,76290472,38441,43385,44678
2021-08-07,76572754,211748,42548,43385
2021-08-06,73575869,119426,41059,42548
2021-08-05,71095147,33675,39967,41059
2021-08-04,67863769,38583,38404,39967
2021-08-03,69166126,21841,39552,38404
2021-08-02,68843983,40233,39789,39552
2021-08-01,71769561,27893,41939,39789
2021-07-31,69930185,19498.74,40933,41939
2021-07-30,67597820,32870,40456,40933
2021-07-29,67602276,12930.97,39831,40456
2021-07-28,65482629,33194,38703,39831
2021-07-27,62459321,50847,37256,38703
2021-07-26,58555657,467.39,34933,37256
2021-07-25,57466252,810.32,33991,34933
2021-07-24,54985378,47652,32723,33991
2021-07-23,55066801,5555.18,32176,32723
2021-07-22,53265764,376375,32079,32176
2021-07-21,49376392,16720.40,29714,32079
2021-07-20,50819069,13058.13,30820,29714
2021-07-19,47855049,377571,31202,30820
2021-07-18,48597657,147.19,31970,31202
2021-07-17,47631574,11461.07,32014,31970
2021-07-16,47304327,3302.20,31936,32014
2021-07-15,47610498,24105,33155,31936
2021-07-14,46691537,13956.63,32515,33155
2021-07-13,47519893,11916.31,33094,32515
2021-07-12,49156079,8822.60,34164,33094
2021-07-11,48301306,7830.05,33622,34164
2021-07-10,48277867,13115.47,33771,33622
2021-07-09,45073469,26755,32754,33771
2021-07-08,45835228,1733.93,34762,32754
2021-07-07,43895038,28650,34340,34762
2021-07-06,42198772,404691,34437,34340
2021-07-05,43991977,897712,36040,34437
2021-07-04,39635821,1594.61,34589,36040
2021-07-03,37645104,418289,34049,34589
2021-07-02,37648725,435273,34002,34049
2021-07-01,37574919,53636,35557,34002
2021-06-30,35805843,15975.46,35708,35557
2021-06-29,31772346,416381,34122,35708
2021-06-28,32356939,17082.76,34837,34122
2021-06-27,29784249,61895,32103,34837
2021-06-26,28060742,42474,31611,32103
2021-06-25,25297808,11242.70,34486,31611
2021-06-24,18713106,16745.85,33806,34486
2021-06-23,18109040,18395.39,32391,33806
2021-06-22,17381887,32301,31867,32391
2021-06-21,19069096,26598,35861,31867
2021-06-20,17803976,2.71,35161,35861
2021-06-19,17859129,9773.56,36062,35161
2021-06-18,18578546,58.60,38145,36062
2021-06-17,19353917,15093.80,39287,38145
2021-06-16,18071052,14280.74,40053,39287
2021-06-15,16376418,47481,39970,40053
2021-06-14,15950894,44964,38850,39970
2021-06-13,14615423,47078,35699,38850
2021-06-12,15140610,50294,37265,35699
2021-06-11,14853361,35651,36644,37265
2021-06-10,14767597,54487,37022,36644
2021-06-09,13771242,18532.11,33756,37022
2021-06-08,14872302,2612.75,34538,33756
2021-06-07,15321897,15473.78,35781,34538
2021-06-06,15570760,8166.97,35887,35781
2021-06-05,14921044,257.78,37204,35887
2021-06-04,15769481,8134.36,39432,37204
2021-06-03,15221892,17060.73,37385,39432
2021-06-02,14380229,22274,36083,37385
2021-06-01,14855962,342090,37891,36083
2021-05-31,13179641,292105,35553,37891
2021-05-30,12298908,47612,34391,35553
2021-05-29,12709340,379980,35529,34391
2021-05-28,13885550,321992,38797,35529
2021-05-27,14641093,29398,39358,38797
2021-05-26,14319750,288347,38411,39358
2021-05-25,14403528,1047218,38771,38411
2021-05-24,13131967,215591,34680,38771
2021-05-23,14399587,93137,37667,34680
2021-05-22,13974126,107390,36682,37667
2021-05-21,15903089,422207,40216,36682
2021-05-20,17114801,2734266,35782,40216
2021-05-19,27806976,1008801,42932,35782
2021-05-18,35325175,195.25,54743,42932
2021-05-17,39079184,209.38,58704,54743
2021-05-16,31618019,159767,46932,58704
2021-05-15,34248213,157644,50894,46932
2021-05-14,39888629,165209,49606,50894
2021-05-13,42234965,323258,49827,49606
2021-05-12,43058222,13939.75,57591,49827
2021-05-11,41869008,59625,55816,57591
2021-05-10,38120328,1212853,59211,55816
2021-05-09,32191498,111742,59794,59211
2021-05-08,24187551,39598,57673,59794
2021-05-07,23892828,329622,56910,57673
2021-05-06,25043614,285218,57324,56910
2021-05-05,22102947,55332,53187,57324
2021-05-04,22680775,102078,57540,53187
2021-05-03,22643529,881.38,57528,57540
2021-05-02,22984626,908760,58324,57528
2021-05-01,22728514,62167,57840,58324
2021-04-30,20972906,63034,53316,57840
2021-04-29,22131304,915813,54742,53316
2021-04-28,22852158,696.00,55865,54742
2021-04-27,20977161,3124.55,54254,55865
2021-04-26,19174637,5338.38,48687,54254
2021-04-25,19497176,38481,50082,48687
2021-04-24,20821186,51903,51427,50082
2021-04-23,21170010,131734,51894,51427
2021-04-22,22298485,60124,54186,51894
2021-04-21,22830276,100048,56630,54186
2021-04-20,22424631,8613.05,55507,56630
2021-04-19,22635579,766.32,58099,55507
2021-04-18,24487598,478.35,63299,58099
2021-04-17,23597322,29783,62240,63299
2021-04-16,23939979,52544,63426,62240
2021-04-15,22127479,67730,63323,63426
2021-04-14,21790722,2243.56,63321,63323
2021-04-13,20189973,1370.75,60050,63321
2021-04-12,19628340,220.31,61769,60050
2021-04-11,18834203,317.25,61785,61769
2021-04-10,18345132,12451.98,57733,61785
2021-04-09,18408835,21729,57865,57733
2021-04-08,17521679,171096,57184,57865
2021-04-07,21181850,31158,58367,57184
2021-04-06,20047220,6488.42,58561,58367
2021-04-05,21176729,843.16,61839,58561
2021-04-04,19915872,5242.88,57909,61839
2021-04-03,20367814,112213,59564,57909
2021-04-02,20116693,23208,59037,59564
2021-04-01,20135712,185737,59040,59037
2021-03-31,21790217,1873.09,59301,59040
2021-03-30,22165837,38513,58477,59301
2021-03-29,21044606,49364,55682,58477
2021-03-28,21354438,5152.39,56226,55682
2021-03-27,20649762,6661.69,55388,56226
2021-03-26,19323029,13525.34,51686,55388
2021-03-25,16995652,25975,52729,51686
2021-03-24,18849305,572.26,58458,52729
2021-03-23,17845166,516.88,59745,58458
