date,mktcap,vol,open_price,close_price
2021-10-04,7853074,1764.74,0.00038497,0.00034259
2021-10-03,8904042,73.29,0.00038603,0.00038497
2021-10-02,6942932,2165.81,0.00038474,0.00038603
2021-10-01,7131870,57.25,0.00043616,0.00038474
2021-09-30,8505311,419.49,0.00041476,0.00043616
2021-09-29,7693382,579.53,0.00037336,0.00041476
2021-09-28,8859293,2001.21,0.00038914,0.00037336
2021-09-27,5394265,1712.17,0.00025988,0.00038914
2021-09-26,8788613,808.96,0.00042873,0.00025988
2021-09-25,7964720,339.83,0.00038724,0.00042873
2021-09-24,7359505,582.15,0.00035872,0.00038724
2021-09-23,8931860,202.92,0.00043563,0.00035872
2021-09-22,8330408,57.59,0.00040535,0.00043563
2021-09-21,8972971,61.73,0.00042755,0.00040535
2021-09-20,9709535,295.64,0.00047378,0.00042755
2021-09-19,9859665,17.06,0.00048077,0.00047378
2021-09-18,9677768,3.33,0.00047403,0.00048077
2021-09-17,9714521,1.30,0.00047669,0.00047403
2021-09-16,8856786,2.72,0.00043343,0.00047669
2021-09-15,9600916,13.00,0.00047116,0.00043343
2021-09-14,8271877,587.12,0.00040596,0.00047116
2021-09-13,7347188,7.21,0.00037002,0.00040596
2021-09-12,9179331,1833.27,0.00045053,0.00037002
2021-09-11,8184301,2.81,0.00040171,0.00045053
2021-09-10,8523753,8.04,0.00041839,0.00040171
2021-09-09,10481901,16.40,0.00051466,0.00041839
2021-09-08,9551712,21.09,0.00046673,0.00051466
2021-09-07,11766564,35.13,0.00057779,0.00046673
2021-09-06,11589461,7.30,0.00051600,0.00057779
2021-09-05,11166603,468.48,0.00049833,0.00051600
2021-09-04,8178103,158.95,0.00050118,0.00049833
2021-09-03,10123393,629.59,0.00049663,0.00050118
2021-09-02,9888853,53.01,0.00048655,0.00049663
2021-09-01,10512184,87.23,0.00047210,0.00048655
2021-08-31,9726644,242.11,0.00047520,0.00047210
2021-08-30,7973847,107.33,0.00039299,0.00047520
2021-08-29,8936781,0.819306,0.00043931,0.00039299
2021-08-28,9969595,4.86,0.00048975,0.00043931
2021-08-27,8687035,7.53,0.00042594,0.00048975
2021-08-26,7992321,363.01,0.00039154,0.00042594
2021-08-25,10828257,233.38,0.00053152,0.00039154
2021-08-24,11101394,162.94,0.00054592,0.00053152
2021-08-23,10925811,447.90,0.00054271,0.00054592
2021-08-22,11019207,260.67,0.00054103,0.00054271
2021-08-21,9987014,175.42,0.00049177,0.00054103
2021-08-20,9260095,46.31,0.00046592,0.00049177
2021-08-19,9080170,372.68,0.00044926,0.00046592
2021-08-18,9056535,452.65,0.00044810,0.00044926
