date,mktcap,vol,open_price,close_price
2021-10-04,1242534,20144,0.01614849,0.01514150
2021-10-03,1163101,22427,0.01511100,0.01614849
2021-10-02,1267243,3039.56,0.01652158,0.01511100
2021-10-01,1159746,1200.44,0.01513949,0.01652158
2021-09-30,1104459,12613.78,0.01437073,0.01513949
2021-09-29,1202961,2049.45,0.01552519,0.01437073
2021-09-28,1237971,13995.18,0.01584452,0.01552519
2021-09-27,1217019,20678,0.01574677,0.01584452
2021-09-26,1285624,32128,0.01672788,0.01574677
2021-09-25,1272898,35751,0.01653503,0.01672788
2021-09-24,1387791,10841.17,0.01804082,0.01653503
2021-09-23,1272467,52764,0.01655891,0.01804082
2021-09-22,1236635,262964,0.01618882,0.01655891
2021-09-21,1245191,327727,0.01597103,0.01618882
2021-09-20,1228902,179262,0.01594917,0.01597103
2021-09-19,1244429,48850,0.01618286,0.01594917
2021-09-18,1233330,97843,0.01595573,0.01618286
2021-09-17,1258730,47119,0.01636924,0.01595573
2021-09-16,1322945,116951,0.01720868,0.01636924
2021-09-15,1332384,179404,0.01730658,0.01720868
2021-09-14,1303332,174733,0.01695462,0.01730658
2021-09-13,1355114,185877,0.01752896,0.01695462
2021-09-12,1338595,205513,0.01741334,0.01752896
2021-09-11,1269368,215733,0.01650580,0.01741334
2021-09-10,1418413,252792,0.01838989,0.01650580
2021-09-09,1397141,277455,0.01802212,0.01838989
2021-09-08,1144432,205942,0.01503954,0.01802212
2021-09-07,1443367,234198,0.01881500,0.01503954
2021-09-06,1431540,10934.72,0.01902796,0.01881500
2021-09-05,1381738,28832,0.01793810,0.01902796
2021-09-04,1433558,24645,0.01870271,0.01793810
2021-09-03,1431085,39265,0.01862403,0.01870271
2021-09-02,1411529,35923,0.01836212,0.01862403
2021-09-01,1480401,71288,0.01928152,0.01836212
2021-08-31,1574750,176327,0.02052240,0.01928152
2021-08-30,1581949,90508,0.02056590,0.02052240
2021-08-29,1558544,58200,0.02028339,0.02056590
2021-08-28,1401175,55002,0.01801401,0.02028339
2021-08-27,1330647,85458,0.01730995,0.01801401
2021-08-26,1441037,275552,0.01821118,0.01730995
2021-08-25,1631795,283130,0.02120999,0.01821118
2021-08-24,1420712,39856,0.01848222,0.02120999
2021-08-23,1355740,76659,0.01763638,0.01848222
2021-08-22,1314784,90321,0.01711018,0.01763638
2021-08-21,1315381,226925,0.01711091,0.01711018
2021-08-20,1167706,198442,0.01542303,0.01711091
2021-08-19,1309976,201428,0.01704104,0.01542303
2021-08-18,1318037,218208,0.01714756,0.01704104
2021-08-17,1155324,240579,0.01776098,0.01714756
2021-08-16,1266793,379733,0.02008452,0.01776098
2021-08-15,1329181,543500,0.02110103,0.02008452
2021-08-14,1053621,228460,0.01659562,0.02110103
2021-08-13,1022556,235644,0.01621257,0.01659562
2021-08-12,940399,274477,0.01490642,0.01621257
2021-08-11,1019779,243853,0.01634588,0.01490642
2021-08-10,1030710,226473,0.01641998,0.01634588
2021-08-09,1010675,212174,0.01601788,0.01641998
2021-08-08,1058451,218588,0.01672614,0.01601788
2021-08-07,1004035,208547,0.01594646,0.01672614
2021-08-06,1027734,297994,0.01630323,0.01594646
2021-08-05,1247907,330669,0.01979199,0.01630323
2021-08-04,1269106,301754,0.01949524,0.01979199
2021-08-03,1442931,412021,0.02288993,0.01949524
2021-08-02,1496406,568993,0.02303625,0.02288993
2021-08-01,1251284,846322,0.02248981,0.02303625
2021-07-31,1337182,573265,0.02880547,0.02248981
2021-07-30,939965,306019,0.01689436,0.02880547
2021-07-29,1241391,595353,0.02232411,0.01689436
2021-07-28,1213309,1104099,0.02146964,0.02232411
2021-07-27,771190,262076,0.01304821,0.02146964
2021-07-26,645001,266842,0.01170358,0.01304821
2021-07-25,533594,168440,0.00964583,0.01170358
2021-07-24,534129,114876,0.00960669,0.00964583
2021-07-23,535746,146577,0.00962917,0.00960669
2021-07-22,560996,178458,0.01013266,0.00962917
2021-07-21,578596,243239,0.01039934,0.01013266
2021-07-20,542538,243975,0.00977304,0.01039934
2021-07-19,442469,120439,0.00795266,0.00977304
2021-07-18,452455,104364,0.00813216,0.00795266
2021-07-17,497068,117161,0.00889652,0.00813216
2021-07-16,483381,134448,0.00865247,0.00889652
2021-07-15,551693,249528,0.00989757,0.00865247
2021-07-14,616718,308503,0.01040929,0.00989757
2021-07-13,546833,121512,0.00981123,0.01040929
2021-07-12,575241,192441,0.01034399,0.00981123
2021-07-11,585691,203171,0.01052242,0.01034399
2021-07-10,641713,143069,0.01154427,0.01052242
2021-07-09,632097,129560,0.01135849,0.01154427
2021-07-08,659533,139517,0.01185008,0.01135849
2021-07-07,651126,141779,0.01170294,0.01185008
2021-07-06,669833,138539,0.01203374,0.01170294
2021-07-05,727840,163100,0.01245706,0.01203374
2021-07-04,692950,172384,0.01245467,0.01245706
2021-07-03,631049,152832,0.01136437,0.01245467
2021-07-02,625291,134277,0.01124726,0.01136437
2021-07-01,731511,154804,0.01314886,0.01124726
2021-06-30,689891,142038,0.01239770,0.01314886
2021-06-29,665526,150557,0.01197407,0.01239770
2021-06-28,684470,142971,0.01216943,0.01197407
2021-06-27,626331,135296,0.01126100,0.01216943
2021-06-26,653871,146349,0.01174116,0.01126100
2021-06-25,698236,140867,0.01253844,0.01174116
2021-06-24,659607,159133,0.01188757,0.01253844
2021-06-23,693385,152024,0.01249225,0.01188757
2021-06-22,721459,166374,0.01296754,0.01249225
2021-06-21,729087,166012,0.01330731,0.01296754
2021-06-20,833465,177132,0.01498020,0.01330731
2021-06-19,834817,172450,0.01503864,0.01498020
2021-06-18,876265,191573,0.01574199,0.01503864
2021-06-17,951165,218571,0.01712409,0.01574199
2021-06-16,1066551,225934,0.01915023,0.01712409
2021-06-15,1092112,214262,0.01946619,0.01915023
2021-06-14,1098271,300788,0.01977859,0.01946619
2021-06-13,1160556,252377,0.02085470,0.01977859
2021-06-12,1122115,281867,0.02015235,0.02085470
2021-06-11,1063364,231818,0.01887162,0.02015235
2021-06-10,1033002,234822,0.01859411,0.01887162
2021-06-09,972339,211071,0.01745455,0.01859411
2021-06-08,1037618,227442,0.01848239,0.01745455
2021-06-07,1022070,218919,0.01835829,0.01848239
2021-06-06,1047608,229674,0.01897331,0.01835829
2021-06-05,1059979,217783,0.01901412,0.01897331
2021-06-04,1092947,234032,0.01965229,0.01901412
2021-06-03,1071221,226368,0.01923502,0.01965229
2021-06-02,1057236,247223,0.01892299,0.01923502
2021-06-01,1101603,260761,0.01984673,0.01892299
2021-05-31,1108112,317784,0.01989783,0.01984673
2021-05-30,1076747,377289,0.01875205,0.01989783
2021-05-29,1497755,557050,0.02749600,0.01875205
2021-05-28,1045238,16519.23,0.01883608,0.02749600
2021-05-27,1064927,5670.72,0.01915176,0.01883608
2021-05-26,1075413,19912.90,0.01934585,0.01915176
2021-05-25,1146328,6794.55,0.02059766,0.01934585
2021-05-24,962134,6294.89,0.01734128,0.02059766
2021-05-23,1193243,24222,0.02143778,0.01734128
2021-05-22,1247556,11243.02,0.02251018,0.02143778
2021-05-21,1633774,20230,0.02907765,0.02251018
2021-05-20,1707935,5796.67,0.03017695,0.02907765
2021-05-19,2381920,91539,0.04303237,0.03017695
2021-05-18,2029569,222389,0.04994016,0.04303237
2021-05-17,1412328,32235,0.03535270,0.04994016
2021-05-16,1287563,28515,0.03183460,0.03535270
2021-05-15,1296848,18346.93,0.03201187,0.03183460
2021-05-14,1066432,7169.47,0.02642483,0.03201187
2021-05-13,1206502,15267.81,0.02926906,0.02642483
2021-05-12,1253708,14129.76,0.03115560,0.02926906
2021-05-11,1198198,22689,0.02964205,0.03115560
2021-05-10,1470108,29637,0.03632779,0.02964205
2021-05-09,1477247,30093,0.03662444,0.03632779
2021-05-08,1399895,49721,0.03477090,0.03662444
2021-05-07,0.000000000000,46560,0.04000751,0.03477090
2021-05-06,0.000000000000,48465,0.04481183,0.04000751
2021-05-05,0.000000000000,140857,0.04164746,0.04481183
2021-05-04,0.000000000000,280696,0.062534,0.04164746
2021-05-03,0.000000000000,46060,0.068401,0.062534
2021-05-02,0.000000000000,43513,0.072966,0.068401
2021-05-01,0.000000000000,15621.52,0.074917,0.072966
2021-04-30,0.000000000000,23034,0.074524,0.074917
2021-04-29,0.000000000000,35614,0.080500,0.074524
2021-04-28,0.000000000000,11574.12,0.076900,0.080500
2021-04-27,0.000000000000,54534,0.076810,0.076900
2021-04-26,0.000000000000,19334.07,0.060136,0.076810
2021-04-25,0.000000000000,26650,0.063807,0.060136
2021-04-24,0.000000000000,33225,0.066462,0.063807
2021-04-23,0.000000000000,24147,0.077746,0.066462
2021-04-22,0.000000000000,43377,0.078675,0.077746
2021-04-21,0.000000000000,252774,0.089747,0.078675
2021-04-20,0.000000000000,586432,0.116691,0.089747
2021-04-19,0.000000000000,186970,0.092843,0.116691
2021-04-18,0.000000000000,98067,0.080424,0.092843
2021-04-17,0.000000000000,122923,0.089771,0.080424
2021-04-16,0.000000000000,321110,0.103315,0.089771
2021-04-15,0.000000000000,170298,0.128234,0.103315
2021-04-14,0.000000000000,211153,0.133900,0.128234
2021-04-13,0.000000000000,333748,0.125180,0.133900
