date,mktcap,vol,open_price,close_price
2021-10-04,898786,107999,0.00001212,0.00001140
2021-10-03,851670,66336,0.00001147,0.00001212
2021-10-02,862557,114613,0.00001150,0.00001147
2021-10-01,823438,111893,0.00001097,0.00001150
2021-09-30,802331,75930,0.00001072,0.00001097
2021-09-29,811565,83834,0.00001079,0.00001072
2021-09-28,728524,139033,0.00000975,0.00001079
2021-09-27,826198,109201,0.00001105,0.00000975
2021-09-26,767323,105013,0.00001035,0.00001105
2021-09-25,787454,106315,0.00001066,0.00001035
2021-09-24,837504,101152,0.00001143,0.00001066
2021-09-23,816589,52763,0.00001103,0.00001143
2021-09-22,811399,107510,0.00001093,0.00001103
2021-09-21,823208,82659,0.00001112,0.00001093
2021-09-20,868289,180837,0.00001173,0.00001112
2021-09-19,947981,94497,0.00001316,0.00001173
2021-09-18,977283,186173,0.00001319,0.00001316
2021-09-17,1117427,222249,0.00001506,0.00001319
2021-09-16,1121959,208572,0.00001513,0.00001506
2021-09-15,1161673,208627,0.00001567,0.00001513
2021-09-14,1080718,186992,0.00001450,0.00001567
2021-09-13,1091695,208805,0.00001468,0.00001450
2021-09-12,963912,187794,0.00001303,0.00001468
2021-09-11,967654,138956,0.00001309,0.00001303
2021-09-10,923839,144677,0.00001245,0.00001309
2021-09-09,1107981,166514,0.00001489,0.00001245
2021-09-08,1159484,160582,0.00001555,0.00001489
2021-09-07,1171629,206407,0.00001594,0.00001555
2021-09-06,1184634,85645,0.00001589,0.00001594
2021-09-05,1113611,188985,0.00001516,0.00001589
2021-09-04,1074753,174058,0.00001465,0.00001516
2021-09-03,1135217,170868,0.00001545,0.00001465
2021-09-02,1154312,150064,0.00001567,0.00001545
2021-09-01,1202415,219056,0.00001635,0.00001567
2021-08-31,1144894,252498,0.00001558,0.00001635
2021-08-30,1392876,235330,0.00001892,0.00001558
2021-08-29,1415498,156018,0.00001925,0.00001892
2021-08-28,1435096,209389,0.00001948,0.00001925
2021-08-27,1369441,182084,0.00001871,0.00001948
2021-08-26,1445026,203881,0.00001972,0.00001871
2021-08-25,1457830,220043,0.00001982,0.00001972
2021-08-24,1510904,169562,0.00002062,0.00001982
2021-08-23,1510895,101390,0.00002054,0.00002062
2021-08-22,1520856,131974,0.00002062,0.00002054
2021-08-21,1526639,186821,0.00002076,0.00002062
2021-08-20,1459737,233427,0.00002004,0.00002076
2021-08-19,1524439,223259,0.00002070,0.00002004
2021-08-18,1537554,178900,0.00002082,0.00002070
2021-08-17,1695230,221736,0.00002287,0.00002082
2021-08-16,1688328,287915,0.00002295,0.00002287
2021-08-15,1638906,265103,0.00002223,0.00002295
2021-08-14,1620257,263358,0.00002202,0.00002223
2021-08-13,1530104,285506,0.00002115,0.00002202
2021-08-12,1228515,169177,0.00001669,0.00002115
2021-08-11,1160287,43511,0.00001577,0.00001669
2021-08-10,1236766,31857,0.00001665,0.00001577
2021-08-09,924089,105773,0.00001244,0.00001665
2021-08-08,767004,110585,0.00001044,0.00001244
2021-08-07,750897,135645,0.00001021,0.00001044
2021-08-06,828446,153907,0.00001149,0.00001021
2021-08-05,1018322,79226,0.00001351,0.00001149
2021-08-04,1013216,84136,0.00001377,0.00001351
2021-08-03,1036986,120614,0.00001410,0.00001377
2021-08-02,997359,84376,0.00001357,0.00001410
2021-08-01,1036099,96631,0.00001398,0.00001357
2021-07-31,1030974,169903,0.00001404,0.00001398
2021-07-30,1150578,102465,0.00001564,0.00001404
2021-07-29,1201868,101586,0.00001633,0.00001564
2021-07-28,1214538,124997,0.00001650,0.00001633
2021-07-27,1217093,243148,0.00001613,0.00001650
2021-07-26,1234108,124129,0.00001680,0.00001613
2021-07-25,1234569,183798,0.00001684,0.00001680
2021-07-24,1241128,140981,0.00001691,0.00001684
2021-07-23,1156411,121389,0.00001600,0.00001691
2021-07-22,1197970,220277,0.00001584,0.00001600
2021-07-21,1158676,189999,0.00001575,0.00001584
2021-07-20,1236378,216147,0.00001681,0.00001575
2021-07-19,1214932,143028,0.00001664,0.00001681
2021-07-18,1308167,194352,0.00001746,0.00001664
2021-07-17,1223039,227948,0.00001667,0.00001746
2021-07-16,1206826,138409,0.00001636,0.00001667
2021-07-15,1423996,244134,0.00001941,0.00001636
2021-07-14,1336487,135173,0.00001811,0.00001941
2021-07-13,1335397,154947,0.00001821,0.00001811
2021-07-12,1391567,156216,0.00001891,0.00001821
2021-07-11,1186983,189040,0.00001614,0.00001891
2021-07-10,1111973,129426,0.00001512,0.00001614
2021-07-09,1244885,192397,0.00001690,0.00001512
2021-07-08,1528074,334007,0.00002075,0.00001690
2021-07-07,1390033,290622,0.00001886,0.00002075
2021-07-06,1257418,243284,0.00001706,0.00001886
2021-07-05,1492041,202327,0.00002034,0.00001706
2021-07-04,1477064,169047,0.00002008,0.00002034
2021-07-03,1474980,219390,0.00002008,0.00002008
2021-07-02,1466216,174364,0.00001995,0.00002008
2021-07-01,1475497,165894,0.00002030,0.00001995
2021-06-30,1462632,208420,0.00002018,0.00002030
2021-06-29,1518031,209066,0.00002059,0.00002018
2021-06-28,1440702,267602,0.00001956,0.00002059
2021-06-27,1367972,242709,0.00001861,0.00001956
2021-06-26,1401711,212085,0.00001920,0.00001861
2021-06-25,1433362,150575,0.00001948,0.00001920
2021-06-24,1430477,168746,0.00001948,0.00001948
2021-06-23,1389277,161085,0.00001896,0.00001948
2021-06-22,1434813,162462,0.00001950,0.00001896
2021-06-21,1651392,179601,0.00002242,0.00001950
2021-06-20,1629732,146631,0.00002209,0.00002242
2021-06-19,1665338,241474,0.00002263,0.00002209
2021-06-18,1756788,207632,0.00002369,0.00002263
2021-06-17,1735909,231027,0.00002359,0.00002369
2021-06-16,2013307,221938,0.00002736,0.00002359
2021-06-15,1892942,230162,0.00002595,0.00002736
2021-06-14,1949152,160653,0.00002648,0.00002595
2021-06-13,1917846,164202,0.00002607,0.00002648
2021-06-12,1967160,163747,0.00002679,0.00002607
2021-06-11,2044744,206389,0.00002784,0.00002679
2021-06-10,2102914,258942,0.00002864,0.00002784
2021-06-09,1873827,337698,0.00002546,0.00002864
2021-06-08,1691235,236188,0.00002295,0.00002546
2021-06-07,1704026,179842,0.00002317,0.00002295
2021-06-06,1955668,165500,0.00002662,0.00002317
2021-06-05,2197088,267545,0.00003003,0.00002662
2021-06-04,2077444,202048,0.00002833,0.00003003
2021-06-03,2034559,84119,0.00002770,0.00002833
2021-06-02,2286094,120663,0.00003103,0.00002770
2021-06-01,1966208,138861,0.00002703,0.00003103
2021-05-31,1972964,106821,0.00002681,0.00002703
2021-05-30,1858831,170244,0.00002522,0.00002681
2021-05-29,2081303,183555,0.00002829,0.00002522
2021-05-28,2380947,179091,0.00003233,0.00002829
2021-05-27,2694130,165031,0.00003724,0.00003233
2021-05-26,2599882,91414,0.00003531,0.00003724
2021-05-25,3111619,154365,0.00004251,0.00003531
2021-05-24,2681653,160291,0.00003673,0.00004251
2021-05-23,3065531,146781,0.00004128,0.00003673
2021-05-22,2427416,134696,0.00003306,0.00004128
2021-05-21,2651076,102846,0.00003611,0.00003306
2021-05-20,2777601,240811,0.00003822,0.00003611
2021-05-19,3352815,152044,0.00004514,0.00003822
2021-05-18,3733095,524877,0.00005613,0.00004514
2021-05-17,3685142,8199.19,0.00005165,0.00005613
2021-05-16,3742904,30841,0.00005224,0.00005165
2021-05-15,3743477,28632,0.00005232,0.00005224
2021-05-14,4215883,69752,0.00005898,0.00005232
2021-05-13,3888087,90219,0.00005416,0.00005898
2021-05-12,3768035,133760,0.00005327,0.00005416
2021-05-11,3768035,133760,0.00005327,0.00005327
2021-05-10,3767616,1978.10,0.00005336,0.00005327
2021-05-09,3767616,1978.10,0.00005336,0.00005336
2021-05-06,3793501,0.000000000000,0.00005377,0.00005336
2021-05-05,3793501,0.000000000000,0.00005377,0.00005377
2021-05-04,3793501,0.000000000000,0.00005377,0.00005377
2021-05-03,3793501,0.000000000000,0.00005377,0.00005377
2021-05-02,3793501,0.000000000000,0.00005377,0.00005377
2021-05-01,3793501,0.000000000000,0.00005377,0.00005377
2021-04-30,3226682,102873,0.00004573,0.00005377
2021-04-29,2953454,103246,0.00004189,0.00004573
2021-04-28,3226388,113115,0.00004587,0.00004189
2021-04-27,3537927,203361,0.00004998,0.00004587
2021-04-26,2834862,589716,0.00004357,0.00004998
2021-04-25,3894592,139436,0.00006177,0.00004357
2021-04-24,4775249,177032,0.00006163,0.00006177
2021-04-23,5187120,143303,0.00007348,0.00006163
2021-04-22,5243769,127190,0.00007392,0.00007348
2021-04-21,6537987,179044,0.00009170,0.00007392
2021-04-20,6841594,184538,0.00009982,0.00009170
2021-04-19,7173138,196353,0.00010169,0.00009982
2021-04-18,9405307,168447,0.00013290,0.00010169
2021-04-17,10017599,213671,0.00014405,0.00013290
2021-04-16,11546080,229793,0.00016304,0.00014405
2021-04-15,11185474,217742,0.00015822,0.00016304
2021-04-14,11506241,215120,0.00016141,0.00015822
2021-04-13,11251741,237525,0.00016204,0.00016141
