date,mktcap,vol,open_price,close_price
2021-10-04,2001733,22283,0.04826862,0.04453919
2021-10-03,2170881,22010,0.050312,0.04826862
2021-10-02,2164796,17502.67,0.051840,0.050312
2021-10-01,1869027,2616.04,0.04485393,0.051840
2021-09-30,1790564,34361,0.04336568,0.04485393
2021-09-29,1792800,7263.17,0.04333198,0.04336568
2021-09-28,1760571,5778.98,0.04198216,0.04333198
2021-09-27,1863829,48801,0.04403144,0.04198216
2021-09-26,1731074,7719.65,0.04143277,0.04403144
2021-09-25,1726532,18937.36,0.04062207,0.04143277
2021-09-24,1956089,53024,0.04786959,0.04062207
2021-09-23,1748813,5361.28,0.04214007,0.04786959
2021-09-22,1724124,28638,0.03999040,0.04214007
2021-09-21,1782854,19814.71,0.04257691,0.03999040
2021-09-20,2080898,41417,0.04969624,0.04257691
2021-09-19,2170576,29431,0.052491,0.04969624
2021-09-18,2223655,9353.13,0.060363,0.052491
2021-09-17,2421939,1789.45,0.065242,0.060363
2021-09-16,2520181,432.86,0.068113,0.065242
2021-09-15,2385376,16134.74,0.064470,0.068113
2021-09-14,2393961,8396.86,0.064328,0.064470
2021-09-13,2555638,15009.30,0.069772,0.064328
2021-09-12,2446218,33476,0.066114,0.069772
2021-09-11,2760453,131599,0.074607,0.066114
2021-09-10,2456697,16187.24,0.066737,0.074607
2021-09-09,2477403,20378,0.066957,0.066737
2021-09-08,2486963,22750,0.067936,0.066957
2021-09-07,3010559,41198,0.080177,0.067936
2021-09-06,3303552,10612.10,0.089375,0.080177
2021-09-05,3128549,59320,0.085220,0.089375
2021-09-04,2725408,55576,0.073660,0.085220
2021-09-03,2437890,20504,0.065889,0.073660
2021-09-02,2506419,15026.83,0.067087,0.065889
2021-09-01,2413676,40043,0.065089,0.067087
2021-08-31,2547855,37072,0.067800,0.065089
2021-08-30,2497905,57022,0.067204,0.067800
2021-08-29,2452175,302370,0.066275,0.067204
2021-08-28,2588513,312512,0.069676,0.066275
2021-08-27,2426436,301320,0.064957,0.069676
2021-08-26,2259673,298598,0.061813,0.064957
2021-08-25,2580626,291996,0.069487,0.061813
2021-08-24,2690751,379259,0.072188,0.069487
2021-08-23,2193615,290314,0.059287,0.072188
2021-08-22,2533607,293563,0.067176,0.059287
2021-08-21,2841259,407530,0.076955,0.067176
2021-08-20,2273547,119831,0.062102,0.076955
2021-08-19,2159168,77632,0.058078,0.062102
2021-08-18,2295204,151742,0.061648,0.058078
2021-08-17,2144465,285905,0.064758,0.061648
2021-08-16,2419217,298624,0.072015,0.064758
2021-08-15,2390684,290644,0.071422,0.072015
2021-08-14,2420566,353997,0.072256,0.071422
2021-08-13,2144904,104079,0.064445,0.072256
2021-08-12,2063689,476581,0.061632,0.064445
2021-08-11,1616032,277462,0.04747140,0.061632
2021-08-10,1642428,472961,0.04938532,0.04747140
2021-08-09,1651649,734839,0.04820929,0.04938532
2021-08-08,1775205,837473,0.052944,0.04820929
