date,mktcap,vol,open_price,close_price
2021-10-04,2544581,71613,0.405025,0.392785
2021-10-03,2629663,75549,0.418757,0.405025
2021-10-02,2436279,54978,0.388337,0.418757
2021-10-01,2332738,68989,0.371198,0.388337
2021-09-30,2269640,81035,0.360122,0.371198
2021-09-29,2303928,56703,0.370609,0.360122
2021-09-28,2957396,60272,0.471148,0.370609
2021-09-27,3023591,63238,0.482439,0.471148
2021-09-26,3442944,54749,0.547108,0.482439
2021-09-25,3111136,59380,0.494714,0.547108
2021-09-24,3773137,22958,0.600646,0.494714
2021-09-23,3065915,28407,0.490010,0.600646
2021-09-22,2872824,77677,0.454551,0.490010
2021-09-21,3160560,220445,0.500870,0.454551
2021-09-20,3944612,168423,0.620122,0.500870
2021-09-19,3377354,74329,0.538687,0.620122
2021-09-18,3186386,36097,0.507241,0.538687
2021-09-17,3258444,27103,0.514902,0.507241
2021-09-16,3785935,59700,0.612115,0.514902
2021-09-15,4557452,30804,0.726229,0.612115
2021-09-14,4543423,154782,0.723268,0.726229
2021-09-13,5348806,212855,0.838917,0.723268
2021-09-12,5156497,240151,0.820810,0.838917
2021-09-11,5131604,426271,0.818904,0.820810
2021-09-10,5890106,528074,0.932815,0.818904
2021-09-09,6679519,346843,1.05,0.932815
2021-09-08,4713068,663412,0.722742,1.05
2021-09-07,5805676,674603,0.924229,0.722742
2021-09-06,2653971,144875,0.426430,0.924229
2021-09-05,2322256,100708,0.369363,0.426430
2021-09-04,2311110,54273,0.367906,0.369363
2021-09-03,2261642,90248,0.359678,0.367906
2021-09-02,2462138,83488,0.392601,0.359678
2021-09-01,2992918,191325,0.479471,0.392601
2021-08-31,2749934,99990,0.441972,0.479471
2021-08-30,3116746,106722,0.496134,0.441972
2021-08-29,2610529,154947,0.420240,0.496134
2021-08-28,2274269,94052,0.361040,0.420240
2021-08-27,2039691,30612,0.326695,0.361040
2021-08-26,2212801,38016,0.352364,0.326695
2021-08-25,2401683,56175,0.381822,0.352364
2021-08-24,2791489,58454,0.440259,0.381822
2021-08-23,2600200,26664,0.414012,0.440259
2021-08-22,2681848,40386,0.426524,0.414012
2021-08-21,3019028,178342,0.480560,0.426524
2021-08-20,2532164,136136,0.407654,0.480560
2021-08-19,2628187,85766,0.418381,0.407654
2021-08-18,2393866,170788,0.385623,0.418381
2021-08-17,2496345,185567,0.399117,0.385623
2021-08-16,1716524,51411,0.273254,0.399117
2021-08-15,1646919,23473,0.262173,0.273254
2021-08-14,1550637,36024,0.246846,0.262173
2021-08-13,1442650,32828,0.229279,0.246846
2021-08-12,1448699,95488,0.230678,0.229279
2021-08-11,1585808,48706,0.249954,0.230678
2021-08-10,1644045,95119,0.272568,0.249954
2021-08-09,1385895,36088,0.219527,0.272568
2021-08-08,1142300,18979.63,0.182614,0.219527
2021-08-07,1183975,26966,0.188754,0.182614
2021-08-06,1249141,7833.90,0.198851,0.188754
2021-08-05,1146486,8606.88,0.182070,0.198851
2021-08-04,1215550,3791.12,0.186998,0.182070
2021-08-03,1124064,4778.30,0.180308,0.186998
2021-08-02,1032126,1997.61,0.162426,0.180308
2021-08-01,1118331,14397.43,0.177802,0.162426
2021-07-31,1150177,12817.36,0.178596,0.177802
2021-07-30,1222637,75117,0.189691,0.178596
2021-07-29,1496253,8654.85,0.238189,0.189691
2021-07-28,1478465,12036.05,0.235357,0.238189
2021-07-27,1483979,60261,0.231074,0.235357
2021-07-26,1425732,3181.36,0.228076,0.231074
2021-07-25,1473367,7001.37,0.241161,0.228076
2021-07-24,1384332,8525.65,0.227886,0.241161
2021-07-23,1546019,5508.23,0.242535,0.227886
2021-07-22,1572026,35535,0.250540,0.242535
2021-07-21,1301665,9735.96,0.206626,0.250540
2021-07-20,1309345,11402.49,0.208645,0.206626
2021-07-19,1447883,6300.66,0.230489,0.208645
2021-07-18,1303327,5290.96,0.207477,0.230489
2021-07-17,1428221,16983.73,0.218097,0.207477
2021-07-16,1370649,15921.61,0.218045,0.218097
2021-07-15,1516467,17115.95,0.241406,0.218045
2021-07-14,1586205,26295,0.248961,0.241406
2021-07-13,1705261,24259,0.271487,0.248961
2021-07-12,1578210,7816.04,0.260526,0.271487
2021-07-11,1515323,5208.85,0.240675,0.260526
2021-07-10,1511629,7507.22,0.240238,0.240675
2021-07-09,1510625,48268,0.241708,0.240238
2021-07-08,1703643,46049,0.259970,0.241708
2021-07-07,1571670,1621.80,0.250194,0.259970
2021-07-06,1578460,2307.61,0.250922,0.250194
2021-07-05,1509677,6188.16,0.240249,0.250922
2021-07-04,1636189,22638,0.260465,0.240249
2021-07-03,1699604,9542.53,0.271155,0.260465
2021-07-02,1888264,18364.18,0.291422,0.271155
2021-07-01,1763861,15010.51,0.270809,0.291422
2021-06-30,1756298,11087.86,0.278533,0.270809
2021-06-29,1761815,7580.93,0.281429,0.278533
2021-06-28,1765155,19920.69,0.280932,0.281429
2021-06-27,1513639,2933.96,0.240900,0.280932
2021-06-26,1712709,9004.39,0.270895,0.240900
2021-06-25,1820873,13356.55,0.289865,0.270895
2021-06-24,1770897,21786,0.281909,0.289865
2021-06-23,1640163,73650,0.261956,0.281909
2021-06-22,1885449,25277,0.299566,0.261956
2021-06-21,2085573,14034.14,0.330712,0.299566
2021-06-20,2077780,13947.42,0.321890,0.330712
2021-06-19,2195654,28043,0.349843,0.321890
2021-06-18,2516317,28003,0.400164,0.349843
2021-06-17,2451660,30907,0.399954,0.400164
