date,mktcap,vol,open_price,close_price
2021-09-28,352.21,1.94,0.03732075,0.03732075
2021-09-27,352.21,1.94,0.03732075,0.03732075
2021-09-03,56035,0.000000000000,5.94,0.03732075
2021-09-02,56035,0.000000000000,5.94,5.94
2021-08-23,56035,0.000000000000,5.94,5.94
2021-08-22,56035,0.000000000000,5.94,5.94
2021-08-21,55146,245.94,5.94,5.94
2021-08-20,55146,245.94,5.94,5.94
2021-08-17,55275,65.74,5.84,5.94
2021-08-16,55275,65.74,5.84,5.84
2021-08-14,52068,175.85,5.85,5.84
2021-08-13,52068,175.85,5.85,5.85
2021-08-09,50831,141.14,5.52,5.85
2021-08-08,41263,539.40,5.39,5.52
2021-08-07,41263,539.40,5.39,5.39
2021-08-05,40997,29.37,4.37,5.39
2021-08-04,40997,29.37,4.37,4.37
2021-08-01,40152,12.26,4.34,4.37
2021-07-31,38229,2.41,4.25,4.34
2021-07-30,38229,2.41,4.25,4.25
2021-07-29,31800,11.67,4.05,4.25
2021-07-28,31800,11.67,4.05,4.05
2021-07-20,31800,92.32,3.37,4.05
2021-07-19,31800,92.32,3.37,3.37
2021-07-15,36630,195.81,3.48,3.37
2021-07-14,36630,195.81,3.48,3.48
2021-07-13,36401,160.04,3.88,3.48
2021-07-12,36929,200.60,3.86,3.88
2021-07-11,36696,176.16,3.89,3.86
2021-07-10,37542,133.06,3.98,3.89
2021-07-09,36239,127.34,3.87,3.98
2021-07-08,36239,127.34,3.87,3.87
2021-07-06,39047,117.17,4.03,3.87
2021-07-05,37847,0.267369,4.14,4.03
2021-07-04,37847,0.267369,4.14,4.14
2021-07-03,37343,76.51,3.83,4.14
2021-07-02,37635,198.17,3.96,3.83
2021-07-01,37809,202.23,4.04,3.96
2021-06-30,38636,382.12,3.95,4.04
2021-06-29,38636,382.12,3.95,3.95
2021-06-27,34943,19.78,3.30,3.95
2021-06-26,34943,19.78,3.30,3.30
2021-06-25,34943,67.25,3.70,3.30
2021-06-24,35222,1539.49,3.72,3.70
2021-06-23,35222,1539.49,3.72,3.72
2021-06-21,43867,18.52,4.65,3.72
2021-06-20,43867,18.52,4.65,4.65
2021-06-19,48020,49.29,4.93,4.65
2021-06-18,48152,220.91,5.09,4.93
2021-06-17,51856,11.61,5.40,5.09
2021-06-16,52119,17.26,5.49,5.40
2021-06-15,50426,113.47,5.49,5.49
2021-06-14,48570,85.68,5.00,5.49
2021-06-13,48570,85.68,5.00,5.00
2021-06-11,50867,9.04,5.55,5.00
2021-06-10,52419,9.04,5.55,5.55
2021-06-09,50903,26.95,5.39,5.55
2021-06-08,55299,108.31,6.08,5.39
2021-06-07,55299,32.49,5.86,6.08
2021-06-06,53845,574.14,5.71,5.86
2021-06-05,53878,1167.09,5.73,5.71
2021-06-04,61975,944.79,6.57,5.73
2021-06-03,62340,1175.54,6.26,6.57
2021-06-02,60973,70.20,6.20,6.26
2021-06-01,58497,129.71,6.33,6.20
2021-05-31,54710,578.31,5.80,6.33
2021-05-30,59743,561.05,5.61,5.80
2021-05-29,62940,1471.46,6.40,5.61
2021-05-28,75724,751.64,7.71,6.40
2021-05-27,75724,751.64,7.71,7.71
2021-05-23,62615,166.68,6.67,7.71
2021-05-22,67089,404.91,6.78,6.67
2021-05-21,80699,16.24,8.12,6.78
2021-05-20,82230,171.02,8.55,8.12
2021-05-19,95639,1142.15,9.52,8.55
2021-05-18,96394,7768.05,10.27,9.52
2021-05-17,147102,844.29,14.84,10.27
2021-05-16,147102,844.29,14.84,14.84
2021-05-14,160989,39.94,15.97,14.84
2021-05-13,157862,3113.23,17.06,15.97
2021-05-12,157862,3113.23,17.06,17.06
2021-05-10,142419,1247.06,14.69,17.06
2021-05-09,128530,2442.63,14.86,14.69
2021-05-08,128615,83.44,13.94,14.86
2021-05-07,126886,484.90,13.95,13.94
2021-05-06,126867,6203.03,13.45,13.95
2021-05-05,149244,4161.98,15.73,13.45
2021-05-04,164056,1644.94,17.51,15.73
2021-05-03,147841,2433.22,15.67,17.51
2021-05-02,140188,2601.09,14.80,15.67
2021-05-01,132374,1885.76,13.06,14.80
2021-04-30,132468,63.84,14.03,13.06
2021-04-29,124462,4183.82,13.85,14.03
2021-04-28,124462,4183.82,13.85,13.85
2021-04-27,97996,55.86,10.88,13.85
2021-04-26,97996,0.438366,10.38,10.88
2021-04-25,90513,50.64,9.89,10.38
2021-04-24,94913,1314.56,9.59,9.89
2021-04-23,94913,1314.56,9.59,9.59
2021-04-20,102920,511.11,10.06,9.59
2021-04-19,99025,7999.64,10.44,10.06
2021-04-18,149307,159.47,15.95,10.44
2021-04-17,162684,2510.76,16.40,15.95
2021-04-16,166045,629.95,18.00,16.40
2021-04-15,164158,1866.96,17.94,18.00
2021-04-14,171209,2491.75,17.94,17.94
2021-04-13,168266,1094.99,18.07,17.94
2021-04-12,176079,3187.50,18.63,18.07
2021-04-11,182640,3256.09,17.03,18.63
2021-04-10,177267,155.54,18.78,17.03
2021-04-09,167513,275.46,18.36,18.78
2021-04-08,180402,163.95,17.75,18.36
2021-04-07,181315,5389.43,19.13,17.75
2021-04-06,187113,15654.81,22.66,19.13
2021-04-05,169680,16412.35,17.90,22.66
2021-04-04,179446,5753.52,19.01,17.90
2021-04-03,204497,2200.22,22.00,19.01
2021-04-02,210693,6941.65,21.45,22.00
2021-04-01,182869,18363.32,19.38,21.45
2021-03-31,262624,5862.07,26.97,19.38
2021-03-30,264782,1516.46,29.00,26.97
2021-03-29,260473,4904.94,27.36,29.00
2021-03-28,269481,3385.38,29.48,27.36
2021-03-27,260022,10146.11,27.75,29.48
2021-03-26,252807,6483.69,26.39,27.75
2021-03-25,267579,5116.36,28.50,26.39
2021-03-24,258389,14460.95,26.86,28.50
2021-03-23,249586,13452.61,26.45,26.86
2021-03-22,296829,6412.67,29.39,26.45
2021-03-21,328125,21002,34.59,29.39
2021-03-20,350509,7650.95,36.94,34.59
2021-03-19,335021,9656.99,35.46,36.94
2021-03-18,299131,43079,30.71,35.46
2021-03-17,343054,58569,36.38,30.71
2021-03-16,299953,42153,31.69,36.38
2021-03-15,371505,92116,37.70,31.69
2021-03-14,309910,43723,32.60,37.70
2021-03-13,294351,16054.10,30.98,32.60
2021-03-12,375549,14122.75,39.79,30.98
2021-03-11,361654,75249,38.36,39.79
2021-03-10,372334,62360,39.54,38.36
2021-03-09,487659,180606,50.53,39.54
2021-03-08,227249,34483,24.59,50.53
2021-03-07,286764,133551,30.39,24.59
2021-03-06,447168,321668,49.30,30.39
2021-03-05,143971,25433,15.26,49.30
2021-03-04,130277,12789.68,14.56,15.26
2021-03-03,99550,615.45,10.34,14.56
2021-03-02,99142,4004.16,10.51,10.34
2021-03-01,103155,4406.61,10.94,10.51
2021-02-28,110496,8512.25,11.78,10.94
2021-02-27,91747,3119.79,10.34,11.78
2021-02-26,97172,2306.12,10.30,10.34
2021-02-25,93928,990.10,9.80,10.30
2021-02-24,106636,796.97,10.25,9.80
2021-02-23,106636,136.84,11.30,10.25
2021-02-22,115334,574.13,12.14,11.30
2021-02-21,112307,3545.87,11.90,12.14
2021-02-20,122806,6891.63,13.23,11.90
2021-02-19,105153,26273,11.17,13.23
2021-02-18,94132,9277.04,10.81,11.17
2021-02-17,108665,19820.30,11.49,10.81
2021-02-16,145123,62977,14.54,11.49
2021-02-15,111015,60721,11.67,14.54
2021-02-14,59296,335.17,6.32,11.67
2021-02-13,59234,7490.25,6.28,6.32
2021-02-12,53422,653.18,5.83,6.28
2021-02-11,55869,1410.77,5.64,5.83
2021-02-10,55869,1410.77,5.64,5.64
2021-02-09,56207,627.52,5.92,5.64
2021-02-08,54424,1960.07,5.74,5.92
2021-02-07,59960,162.35,6.36,5.74
2021-02-06,61877,2759.82,6.54,6.36
2021-02-05,53851,1858.09,5.71,6.54
2021-02-04,62854,19363.83,6.45,5.71
2021-02-03,72300,129242,7.64,6.45
2021-02-02,33155,799.14,3.59,7.64
2021-02-01,32994,132.90,3.50,3.59
2021-01-31,35294,216.24,3.74,3.50
2021-01-30,35597,339.48,3.77,3.74
2021-01-29,34042,472.19,3.75,3.77
2021-01-28,35473,444.45,3.73,3.75
2021-01-27,39983,426.97,4.12,3.73
2021-01-26,39983,426.97,4.12,4.12
2021-01-25,37598,76.47,4.25,4.12
2021-01-24,37999,569.67,3.98,4.25
2021-01-23,37999,569.67,3.98,3.98
2021-01-21,41627,457.77,4.41,3.98
2021-01-20,42014,281.82,4.90,4.41
2021-01-19,41713,71.23,4.45,4.90
2021-01-18,41111,1010.04,4.50,4.45
2021-01-17,41111,1010.04,4.50,4.50
2021-01-16,39868,121.91,4.34,4.50
2021-01-15,40668,52.84,4.22,4.34
2021-01-14,36893,920.78,4.09,4.22
2021-01-13,47207,28.95,4.63,4.09
2021-01-12,47207,28.95,4.63,4.63
2021-01-11,47687,5440.66,5.00,4.63
2021-01-10,68514,1147.35,7.18,5.00
2021-01-09,66674,945.59,6.81,7.18
2021-01-08,71854,1338.46,7.54,6.81
2021-01-07,71119,2428.37,7.54,7.54
2021-01-06,73123,1220.32,7.55,7.54
2021-01-05,55263,263.90,7.39,7.55
2021-01-04,55376,527.17,5.86,7.39
2021-01-03,52044,1308.10,5.55,5.86
2021-01-02,49152,608.40,5.19,5.55
2021-01-01,51166,615.11,5.46,5.19
2020-12-31,50644,2373.77,5.39,5.46
2020-12-30,54321,653.68,5.77,5.39
2020-12-29,59939,1435.43,6.16,5.77
2020-12-28,61151,4430.88,6.48,6.16
2020-12-27,69368,1456.73,7.26,6.48
2020-12-26,64267,4962.56,6.81,7.26
2020-12-25,77565,375.58,8.22,6.81
2020-12-24,77848,2841.55,8.17,8.22
2020-12-23,82286,866.68,8.73,8.17
2020-12-22,82913,5872.22,8.91,8.73
2020-12-21,96717,4947.02,10.04,8.91
2020-12-20,114696,13531.01,11.92,10.04
2020-12-19,102087,5312.85,10.34,11.92
2020-12-18,115997,6266.11,12.32,10.34
2020-12-17,131214,24113,13.90,12.32
2020-12-16,131545,14991.86,13.97,13.90
2020-12-15,143698,113424,15.23,13.97
2020-12-14,84793,6127.88,8.96,15.23
2020-12-13,76590,1718.00,8.19,8.96
2020-12-12,75655,7315.37,8.02,8.19
2020-12-11,85153,1253.11,9.05,8.02
2020-12-10,86479,7878.58,9.02,9.05
2020-12-09,97929,1823.88,10.28,9.02
2020-12-08,99810,12527.07,10.61,10.28
2020-12-07,129257,9372.42,13.70,10.61
2020-12-06,156639,36790,16.60,13.70
2020-12-05,223523,15427.31,23.42,16.60
2020-12-04,236175,7809.06,25.11,23.42
2020-12-03,230807,17168.27,25.98,25.11
2020-12-02,212332,6257.56,22.62,25.98
2020-12-01,198799,10660.90,21.19,22.62
2020-11-30,170686,24282,18.09,21.19
2020-11-29,190087,25066,19.98,18.09
2020-11-28,188798,26601,18.09,19.98
2020-11-27,251676,46850,26.76,18.09
2020-11-26,412178,162622,42.66,26.76
2020-11-25,534629,124134,56.53,42.66
2020-11-24,564305,237917,58.65,56.53
2020-11-23,275995,35605,32.45,58.65
2020-11-22,154637,45892,16.68,32.45
2020-11-21,109088,79540,15.60,16.68
2020-11-20,41259,467.50,4.37,15.60
2020-11-19,42530,2664.01,4.49,4.37
2020-11-18,52779,1277.02,5.24,4.49
2020-11-17,51592,830.18,5.45,5.24
2020-11-16,58302,210.88,5.99,5.45
2020-11-15,60430,70.39,6.40,5.99
2020-11-14,61898,99.79,6.65,6.40
2020-11-13,61339,1246.28,6.51,6.65
2020-11-12,54524,2146.03,5.80,6.51
2020-11-11,51915,1084.09,5.50,5.80
2020-11-10,59575,2606.26,6.31,5.50
2020-11-09,54091,363.24,5.73,6.31
2020-11-08,52169,5472.77,5.66,5.73
2020-11-07,46595,5344.20,5.01,5.66
2020-11-06,53556,1732.93,5.68,5.01
2020-11-05,62674,535.48,6.38,5.68
2020-11-04,61750,357.31,6.64,6.38
2020-11-03,64258,1661.83,6.73,6.64
2020-11-02,59558,1604.50,6.22,6.73
2020-11-01,71458,696.71,7.57,6.22
2020-10-31,67927,5764.07,7.16,7.57
2020-10-30,70524,4581.32,7.47,7.16
2020-10-29,80529,7127.99,8.52,7.47
2020-10-28,92728,16333.49,9.59,8.52
2020-10-27,89144,6958.92,9.32,9.59
2020-10-26,73256,3732.65,7.55,9.32
2020-10-25,86945,3070.75,8.99,7.55
2020-10-24,76899,8513.75,7.95,8.99
2020-10-23,82639,8257.30,8.01,7.95
2020-10-22,77498,4314.97,8.03,8.01
2020-10-21,80755,21953,8.09,8.03
2020-10-20,96876,11386.43,10.14,8.09
2020-10-19,77582,2772.25,8.05,10.14
2020-10-18,82667,11037.23,8.80,8.05
2020-10-17,117912,9975.27,12.20,8.80
2020-10-16,131370,12411.92,13.57,12.20
2020-10-15,120616,14898.92,12.50,13.57
2020-10-14,111192,22317,11.53,12.50
2020-10-13,139973,47391,14.44,11.53
2020-10-12,0.000000000000,25513,10.09,14.44
2020-10-11,0.000000000000,41783,11.96,10.09
2020-10-10,0.000000000000,114768,17.78,11.96
2020-10-09,0.000000000000,114768,17.78,17.78
