date,mktcap,vol,open_price,close_price
2021-10-04,66470,398.18,0.329281,0.329467
2021-10-03,66470,398.18,0.329281,0.329281
2021-10-02,66470,0.000000000000,0.298688,0.329281
2021-10-01,67107,341.92,0.298688,0.298688
2021-09-30,67107,341.92,0.298688,0.298688
2021-09-29,67107,0.000000000000,0.301548,0.298688
2021-09-28,67107,135.07,0.301548,0.301548
2021-09-27,70029,686.39,0.316961,0.301548
2021-09-26,69484,0.000000000000,0.312233,0.316961
2021-09-25,73935,937.02,0.316340,0.312233
2021-09-24,73935,937.02,0.316340,0.316340
2021-09-21,69192,0.000000000000,0.310918,0.316340
2021-09-20,75594,3931.49,0.338680,0.310918
2021-09-19,77958,4530.39,0.351369,0.338680
2021-09-18,91252,687.81,0.400769,0.351369
2021-09-17,96840,1940.02,0.432344,0.400769
2021-09-16,113970,4444.06,0.477145,0.432344
2021-09-15,136426,14059.44,0.541306,0.477145
2021-09-14,95238,7713.57,0.439010,0.541306
2021-09-13,139561,635.57,0.615613,0.439010
2021-09-12,137470,933.70,0.612882,0.615613
2021-09-11,135908,453.44,0.608298,0.612882
2021-09-10,148799,3013.24,0.672899,0.608298
2021-09-09,149493,349.87,0.660291,0.672899
2021-09-08,149240,148997,0.670845,0.660291
2021-09-07,130085,23006,0.584748,0.670845
2021-09-06,146322,449533,0.654084,0.584748
2021-09-05,2343098,108796,10.60,0.654084
2021-09-04,2664864,81049,12.05,10.60
2021-09-03,2426269,5907.40,10.87,12.05
2021-09-02,2295849,381509,10.76,10.87
2021-09-01,3789412,94560,17.11,10.76
2021-08-31,4040466,113940,17.98,17.11
2021-08-30,4512811,56565,20.76,17.98
2021-08-29,4493026,11699.07,20.43,20.76
2021-08-28,4587408,113540,20.88,20.43
2021-08-27,4517387,6570.82,20.88,20.88
2021-08-26,4665241,34808,21.28,20.88
2021-08-25,4906120,41896,22.19,21.28
2021-08-24,5421434,24435,24.88,22.19
2021-08-23,5281680,38282,24.66,24.88
2021-08-22,5362820,38775,24.81,24.66
2021-08-21,5061578,68417,23.73,24.81
2021-08-20,4701974,28770,22.38,23.73
2021-08-19,4976472,122944,22.66,22.38
2021-08-18,4798778,12710.33,22.47,22.66
2021-08-17,5042890,60878,23.69,22.47
2021-08-16,4933810,33880,23.91,23.69
2021-08-15,5302992,3363.58,25.76,23.91
2021-08-14,5375353,66585,26.00,25.76
2021-08-13,5007927,51869,24.47,26.00
2021-08-12,5539188,154245,27.12,24.47
2021-08-11,6327036,98414,30.20,27.12
2021-08-10,6529875,43583,32.09,30.20
2021-08-09,6494062,26714,32.11,32.09
2021-08-08,6920913,32517,33.86,32.11
2021-08-07,6636645,26211,32.40,33.86
2021-08-06,6190228,78079,30.49,32.40
2021-08-05,6655179,52295,32.55,30.49
2021-08-04,6204144,62786,30.66,32.55
2021-08-03,6199151,141864,31.06,30.66
2021-08-02,6770249,330312,33.21,31.06
2021-08-01,6144167,169520,30.67,33.21
2021-07-31,5647555,484723,28.43,30.67
2021-07-30,5380659,39706,28.31,28.43
2021-07-29,5245966,45637,27.06,28.31
2021-07-28,4839104,39512,25.73,27.06
2021-07-27,5212764,99925,27.12,25.73
2021-07-26,5008979,22149,26.58,27.12
2021-07-25,5192370,41474,27.60,26.58
2021-07-24,5318956,140983,28.35,27.60
2021-07-23,4280187,10480.59,23.02,28.35
2021-07-22,2619529,42074,22.78,23.02
2021-07-21,2394130,81268,20.90,22.78
2021-07-20,2665567,89073,23.18,20.90
2021-07-19,2583411,23269,22.51,23.18
2021-07-18,2641594,35005,22.97,22.51
2021-07-17,2730615,30631,23.58,22.97
2021-07-16,2861430,28392,24.89,23.58
2021-07-15,3122051,58871,27.15,24.89
2021-07-14,3232350,104200,28.11,27.15
2021-07-13,3296554,100620,28.62,28.11
2021-07-12,3747350,75092,32.59,28.62
2021-07-11,3848989,98861,33.69,32.59
2021-07-10,4141231,84488,36.02,33.69
2021-07-09,3766511,179048,32.76,36.02
2021-07-08,4508784,216970,39.15,32.76
2021-07-07,4835751,593237,43.55,39.15
2021-07-06,3297798,255694,28.48,43.55
2021-07-05,2813045,90216,24.44,28.48
2021-07-04,2519598,108073,21.91,24.44
2021-07-03,2352388,47467,21.07,21.91
2021-07-02,2508565,48479,21.65,21.07
2021-07-01,2442157,79951,21.60,21.65
