date,mktcap,vol,open_price,close_price
2021-10-04,49642813,3499114,0.219168,0.224627
2021-10-03,52634369,3442354,0.233894,0.219168
2021-10-02,56261216,4620765,0.253328,0.233894
2021-10-01,48499061,2580240,0.229613,0.253328
2021-09-30,48486949,3244299,0.231031,0.229613
2021-09-29,54532409,4092410,0.256697,0.231031
2021-09-28,58883541,2797317,0.282199,0.256697
2021-09-27,62334833,4015543,0.294329,0.282199
2021-09-26,61715014,3816987,0.298371,0.294329
2021-09-25,63379390,5257013,0.307551,0.298371
2021-09-24,74198849,5270509,0.364401,0.307551
2021-09-23,76488996,7696486,0.383665,0.364401
2021-09-22,58932633,5035020,0.299048,0.383665
2021-09-21,64446976,4850825,0.330766,0.299048
2021-09-20,78519763,4214683,0.402729,0.330766
2021-09-19,92611054,5667367,0.439151,0.402729
2021-09-18,79874418,6344930,0.419348,0.439151
2021-09-17,81889957,4685491,0.429634,0.419348
2021-09-16,99967304,6515087,0.529189,0.429634
2021-09-15,99124435,5863122,0.528529,0.529189
2021-09-14,109949334,7077072,0.587278,0.528529
2021-09-13,116356181,5991772,0.653588,0.587278
2021-09-12,115965451,5469297,0.656372,0.653588
2021-09-11,113884880,14371222,0.674778,0.656372
2021-09-10,141446639,6583303,0.817800,0.674778
2021-09-09,138093664,906119,0.816029,0.817800
2021-09-08,111100882,527774,0.664344,0.816029
2021-09-07,86066481,2900042,0.547758,0.664344
2021-09-06,40399278,2195103,0.405471,0.547758
2021-09-05,33001727,1678418,0.320467,0.405471
2021-09-04,30632068,839970,0.308093,0.320467
2021-09-03,25694189,669760,0.258416,0.308093
2021-09-02,27875447,801526,0.279329,0.258416
2021-09-01,23538907,725059,0.227973,0.279329
2021-08-31,26346357,594930,0.262924,0.227973
2021-08-30,27951058,611987,0.283330,0.262924
2021-08-29,31369397,662534,0.316153,0.283330
2021-08-28,29204926,366942,0.292947,0.316153
2021-08-27,24472272,360568,0.246978,0.292947
2021-08-26,26510975,406018,0.263556,0.246978
2021-08-25,23291259,151656,0.232293,0.263556
2021-08-24,32604723,235770,0.314208,0.232293
2021-08-23,28897540,353029,0.290630,0.314208
2021-08-22,31171297,351672,0.312757,0.290630
2021-08-21,33648146,466810,0.336773,0.312757
2021-08-20,33789435,809044,0.329193,0.336773
2021-08-19,32569769,974813,0.323841,0.329193
2021-08-18,24748921,1289247,0.249252,0.323841
2021-08-17,19595364,1191411,0.207172,0.249252
2021-08-16,9909607,272757,0.099428,0.207172
2021-08-15,9151408,174765,0.091821,0.099428
2021-08-14,7981033,135557,0.078666,0.091821
2021-08-13,5775350,134896,0.055532,0.078666
2021-08-12,5278509,79340,0.052816,0.055532
2021-08-11,4721214,87057,0.04727907,0.052816
2021-08-10,4779758,92410,0.04564398,0.04727907
2021-08-09,0.000000000000,78079,0.04517505,0.04564398
2021-08-08,0.000000000000,178538,0.051056,0.04517505
2021-08-07,0.000000000000,80256,0.04003660,0.051056
2021-08-06,0.000000000000,58303,0.04150221,0.04003660
2021-08-05,0.000000000000,73601,0.03914848,0.04150221
2021-08-04,0.000000000000,38950,0.02899229,0.03914848
2021-08-03,0.000000000000,40800,0.02968910,0.02899229
2021-08-02,0.000000000000,37162,0.02930451,0.02968910
2021-08-01,0.000000000000,243334,0.02822089,0.02930451
2021-07-31,0.000000000000,178141,0.04838076,0.02822089
2021-07-30,0.000000000000,214280,0.04285892,0.04838076
2021-07-29,0.000000000000,93554,0.03076426,0.04285892
2021-07-28,0.000000000000,4603.13,0.04100506,0.03076426
2021-07-27,0.000000000000,974.78,0.01587203,0.04100506
2021-07-26,0.000000000000,561.58,0.01046907,0.01587203
2021-07-25,0.000000000000,1076.07,0.01105215,0.01046907
2021-07-24,0.000000000000,1599.11,0.00940493,0.01105215
2021-07-23,0.000000000000,1291.12,0.01051273,0.00940493
2021-07-22,0.000000000000,851.58,0.00947488,0.01051273
2021-07-21,0.000000000000,526.10,0.00647018,0.00947488
2021-07-20,0.000000000000,235.67,0.00665119,0.00647018
2021-07-19,0.000000000000,235.67,0.00665119,0.00665119
