date,mktcap,vol,open_price,close_price
2021-10-04,12001294,374579,0.01126448,0.01090298
2021-10-03,11942827,463518,0.01121877,0.01126448
2021-10-02,11061890,506183,0.01038537,0.01121877
2021-10-01,10650870,1253160,0.01000680,0.01038537
2021-09-30,10352191,1071994,0.00972581,0.01000680
2021-09-29,10208994,862171,0.00958223,0.00972581
2021-09-28,10477606,755736,0.00983301,0.00958223
2021-09-27,11955211,554632,0.01118235,0.00983301
2021-09-26,11877242,300602,0.01114128,0.01118235
2021-09-25,11610227,180072,0.01091175,0.01114128
2021-09-24,12596362,411702,0.01183219,0.01091175
2021-09-23,11996853,381057,0.01130475,0.01183219
2021-09-22,10583034,340760,0.00994428,0.01130475
2021-09-21,10721272,414955,0.01014118,0.00994428
2021-09-20,11745871,391078,0.01107759,0.01014118
2021-09-19,12649436,409275,0.01189056,0.01107759
2021-09-18,12405686,419106,0.01164816,0.01189056
2021-09-17,12686497,390893,0.01189493,0.01164816
2021-09-16,12058424,1633047,0.01131685,0.01189493
2021-09-15,12685106,430833,0.01191593,0.01131685
2021-09-14,11985159,393079,0.01124686,0.01191593
2021-09-13,12666592,416868,0.01185474,0.01124686
2021-09-12,12549023,414418,0.01177774,0.01185474
2021-09-11,11675715,623938,0.01096515,0.01177774
2021-09-10,13105100,569468,0.01230101,0.01096515
2021-09-09,13299113,606293,0.01253558,0.01230101
2021-09-08,13943296,606219,0.01295909,0.01253558
2021-09-07,16943046,794121,0.01593933,0.01295909
2021-09-06,17258038,946102,0.01627742,0.01593933
2021-09-05,16879150,676562,0.01583596,0.01627742
2021-09-04,17661744,794618,0.01677002,0.01583596
2021-09-03,14429776,587765,0.01349063,0.01677002
2021-09-02,12452012,476850,0.01168918,0.01349063
2021-09-01,12657564,502133,0.01179723,0.01168918
2021-08-31,13260486,621534,0.01246601,0.01179723
2021-08-30,14863648,499527,0.01395773,0.01246601
2021-08-29,15750822,852226,0.01478951,0.01395773
2021-08-28,15669458,626550,0.01473092,0.01478951
2021-08-27,15117705,626164,0.01418958,0.01473092
2021-08-26,17129842,647849,0.01608013,0.01418958
2021-08-25,15515021,716003,0.01452788,0.01608013
2021-08-24,17050117,628453,0.01598880,0.01452788
2021-08-23,15345100,550612,0.01440563,0.01598880
2021-08-22,14543658,1280119,0.01365117,0.01440563
2021-08-21,16552091,971459,0.01551791,0.01365117
2021-08-20,15257077,878783,0.01441410,0.01551791
2021-08-19,14263048,903515,0.01336787,0.01441410
2021-08-18,12790152,716658,0.01200740,0.01336787
2021-08-17,14575374,765384,0.01385873,0.01200740
2021-08-16,14076459,928106,0.01322539,0.01385873
2021-08-15,14298563,1560398,0.01339836,0.01322539
2021-08-14,12832588,852289,0.01204476,0.01339836
2021-08-13,9545977,631097,0.00896170,0.01204476
2021-08-12,9240045,773350,0.00868036,0.00896170
2021-08-11,9628437,563698,0.00905301,0.00868036
2021-08-10,10135224,487390,0.00955010,0.00905301
2021-08-09,9830893,504158,0.00922687,0.00955010
2021-08-08,10627391,668988,0.01000909,0.00922687
2021-08-07,9342729,566007,0.00879199,0.01000909
2021-08-06,8533295,466329,0.00799822,0.00879199
2021-08-05,8561457,499997,0.00803487,0.00799822
2021-08-04,8116279,404477,0.00753373,0.00803487
2021-08-03,7930526,418862,0.00743514,0.00753373
2021-08-02,7866585,419155,0.00735674,0.00743514
2021-08-01,8150767,429734,0.00765037,0.00735674
2021-07-31,7719527,382816,0.00715553,0.00765037
2021-07-30,6805084,272307,0.00640369,0.00715553
2021-07-29,7070668,444932,0.00663658,0.00640369
2021-07-28,7115519,476014,0.00669086,0.00663658
2021-07-27,6828689,522450,0.00638773,0.00669086
2021-07-26,6886790,349156,0.00646872,0.00638773
2021-07-25,6872619,435195,0.00645575,0.00646872
2021-07-24,6760055,453858,0.00634590,0.00645575
2021-07-23,7040814,459409,0.00660856,0.00634590
2021-07-22,6983426,413879,0.00677856,0.00660856
2021-07-21,6406494,396640,0.00617536,0.00677856
2021-07-20,6331778,698418,0.00610973,0.00617536
2021-07-19,7151910,356867,0.00690326,0.00610973
2021-07-18,6805413,378454,0.00655659,0.00690326
2021-07-17,6608882,344324,0.00636725,0.00655659
2021-07-16,7169695,496142,0.00689814,0.00636725
2021-07-15,7548037,523356,0.00727776,0.00689814
2021-07-14,7878646,719167,0.00757368,0.00727776
2021-07-13,9874241,455700,0.00950735,0.00757368
2021-07-12,10174452,509659,0.00980245,0.00950735
2021-07-11,10018294,675918,0.00962820,0.00980245
2021-07-10,10587285,597103,0.01030787,0.00962820
2021-07-09,10254542,543937,0.00987320,0.01030787
2021-07-08,11207355,678206,0.01088920,0.00987320
2021-07-07,11405838,689173,0.01091024,0.01088920
2021-07-06,9775046,518842,0.00941765,0.01091024
2021-07-05,9600071,633421,0.00924389,0.00941765
2021-07-04,10153573,613374,0.00980743,0.00924389
2021-07-03,11073606,761222,0.01066873,0.00980743
2021-07-02,11458024,875407,0.01103909,0.01066873
2021-07-01,14378473,1939956,0.01378574,0.01103909
2021-06-30,10647785,1254247,0.01025392,0.01378574
2021-06-29,8392772,1303840,0.00808591,0.01025392
2021-06-28,6375015,646166,0.00614161,0.00808591
2021-06-27,5518627,534616,0.00532251,0.00614161
2021-06-26,5095399,521625,0.00487641,0.00532251
2021-06-25,6148700,660560,0.00592389,0.00487641
2021-06-24,6257344,582894,0.00606236,0.00592389
2021-06-23,5966797,576362,0.00576127,0.00606236
2021-06-22,6208259,517745,0.00594775,0.00576127
2021-06-21,7329978,888566,0.00702679,0.00594775
2021-06-20,7580080,543540,0.00711168,0.00702679
2021-06-19,7820424,669483,0.00752093,0.00711168
2021-06-18,8546265,729752,0.00823379,0.00752093
2021-06-17,8441487,654641,0.00812169,0.00823379
2021-06-16,9288789,669531,0.00893800,0.00812169
2021-06-15,10129563,815772,0.00959781,0.00893800
2021-06-14,9864195,1040119,0.00947602,0.00959781
2021-06-13,9312351,1119748,0.00904733,0.00947602
2021-06-12,9741101,763847,0.00921258,0.00904733
2021-06-11,8755146,729079,0.00843185,0.00921258
2021-06-10,8509298,775804,0.00818358,0.00843185
2021-06-09,8506188,702784,0.00826727,0.00818358
2021-06-08,9415687,884281,0.00912826,0.00826727
2021-06-07,10319929,748404,0.01026541,0.00912826
2021-06-06,10193821,745723,0.00990651,0.01026541
2021-06-05,10762386,855764,0.01053267,0.00990651
2021-06-04,11685449,1579742,0.01123390,0.01053267
2021-06-03,12636686,1344755,0.01228317,0.01123390
2021-06-02,11469863,1198263,0.01104755,0.01228317
2021-06-01,12070856,1323637,0.01147276,0.01104755
2021-05-31,12269175,1814039,0.01176538,0.01147276
2021-05-30,13189504,5863633,0.01192887,0.01176538
2021-05-29,20190499,2808146,0.01927522,0.01192887
2021-05-28,21829302,2892259,0.02098377,0.01927522
2021-05-27,15431864,1871210,0.01494926,0.02098377
2021-05-26,10731212,428293,0.01048193,0.01494926
2021-05-25,12372374,412787,0.01200568,0.01048193
2021-05-24,9373772,650897,0.00911297,0.01200568
2021-05-23,11030462,544545,0.01061575,0.00911297
2021-05-22,10863214,514349,0.01072551,0.01061575
2021-05-21,13610652,461093,0.01298524,0.01072551
