date,mktcap,vol,open_price,close_price
2021-10-04,9975476,520607,49833,58240
2021-10-03,9470448,710396,46370,49833
2021-10-02,8090417,132205,38485,46370
2021-10-01,6737681,301712,33630,38485
2021-09-30,7148278,85121,37419,33630
2021-09-29,7246872,20718,35792,37419
2021-09-28,8334618,377609,36094,35792
2021-09-27,8048626,938731,40375,36094
2021-09-26,5824539,452635,26411,40375
2021-09-25,4690850,295712,23391,26411
2021-09-24,4798078,145396,23990,23391
2021-09-23,3922845,64410,19614.23,23990
2021-09-22,3964431,11808.81,19798.58,19614.23
2021-09-21,3757486,91690,19817.15,19798.58
2021-09-20,5818905,31363,29012,19817.15
2021-09-19,5893038,64541,29439,29012
2021-09-18,5287488,544652,26414,29439
2021-09-17,4088504,268036,20420,26414
2021-09-16,4148605,372136,19808.74,20420
2021-09-15,2060545,18820.54,10195.11,19808.74
2021-09-14,2324107,24346,11902.88,10195.11
2021-09-13,2324107,24346,11902.88,11902.88
2021-09-12,2537050,0.000000000000,12685.25,11902.88
2021-09-11,2717729,51315,12727.44,12685.25
2021-09-10,2713210,22670,13549.34,12727.44
2021-09-09,2506276,39107,12512.29,13549.34
2021-09-08,2140000,45365,11466.75,12512.29
2021-09-07,3315002,9937.25,16575.01,11466.75
2021-09-06,3508532,23804,17573.90,16575.01
2021-09-05,3430377,39332,17195.49,17573.90
2021-09-04,3238119,82154,15729.18,17195.49
2021-09-03,3172794,32987,15923.80,15729.18
2021-09-02,3297404,53706,16565.49,15923.80
2021-09-01,3244225,69078,16002.90,16565.49
2021-08-31,4086970,81444,20766,16002.90
2021-08-30,3332253,60830,16696.65,20766
2021-08-29,3076965,12917.66,15384.83,16696.65
2021-08-28,3214032,19284.78,15981.84,15384.83
2021-08-27,2950435,13187.27,14718.68,15981.84
2021-08-26,2714095,62436,13551.04,14718.68
2021-08-25,3195385,37629,15851.11,13551.04
2021-08-24,3176826,19943.12,15628.94,15851.11
2021-08-23,2867765,138337,16661.31,15628.94
2021-08-22,3473706,217464,17368.53,16661.31
2021-08-21,4351381,45921,21855,17368.53
2021-08-20,4064630,176182,20614,21855
2021-08-19,4105038,89059,20943,20614
2021-08-18,4027980,65737,20148,20943
2021-08-17,4418755,81811,21847,20148
2021-08-16,5302812,86363,26514,21847
2021-08-15,3794706,55559,20633,26514
2021-08-14,3586093,90754,21230,20633
2021-08-13,4550110,36955,22925,21230
2021-08-12,5090839,410677,24134,22925
2021-08-11,4966069,75789,23512,24134
2021-08-10,3607737,96638,18262.12,23512
2021-08-09,3289960,15992.67,16487.98,18262.12
2021-08-08,3707912,27689,18501.22,16487.98
2021-08-07,3175190,115567,15875.95,18501.22
2021-08-06,3007896,29032,15110.25,15875.95
2021-08-05,3055796,35806,15442.61,15110.25
2021-08-04,3034374,21304,15247.31,15442.61
2021-08-03,3811696,164863,18927.73,15247.31
2021-08-02,4075299,432628,21561,18927.73
2021-08-01,3125522,136844,15658.70,21561
2021-07-31,1923557,17858.59,9617.79,15658.70
2021-07-30,2475933,139497,12379.66,9617.79
2021-07-29,1343040,7429.85,6716.09,12379.66
2021-07-28,1448651,17059.65,7268.03,6716.09
2021-07-27,1373869,36953,6946.14,7268.03
2021-07-26,1590553,10649.98,7966.39,6946.14
2021-07-25,1720222,37030,9244.53,7966.39
2021-07-24,1862621,16194.53,9320.58,9244.53
2021-07-23,1549440,358.34,7729.82,9320.58
2021-07-22,1549721,16098.51,7871.56,7729.82
2021-07-21,1439981,21226,7311.52,7871.56
2021-07-20,1786956,4642.09,8934.78,7311.52
2021-07-19,1612558,1059.91,8062.79,8934.78
2021-07-18,1648007,6472.44,8240.03,8062.79
2021-07-17,1732422,12246.62,8576.44,8240.03
2021-07-16,1592477,2688.56,7875.38,8576.44
2021-07-15,1605854,2892.74,8059.76,7875.38
2021-07-14,1600276,6524.88,7301.78,8059.76
2021-07-13,1599141,7950.05,7891.81,7301.78
2021-07-12,1810107,11455.57,9050.54,7891.81
2021-07-11,2020876,13751.57,9431.13,9050.54
2021-07-10,2077733,318.60,10207.36,9431.13
2021-07-09,2004950,1577.04,10211.77,10207.36
2021-07-08,2091397,11560.27,10394.52,10211.77
2021-07-07,1763731,3761.02,8810.83,10394.52
2021-07-06,1870381,2338.20,9179.67,8810.83
2021-07-05,1979852,4063.64,9899.26,9179.67
2021-07-04,2034179,5934.30,9366.91,9899.26
2021-07-03,2090354,20708,10686.12,9366.91
2021-07-02,2104349,22397,10574.10,10686.12
2021-07-01,2640863,1320.43,13204.31,10574.10
2021-06-30,2579383,25911,12828.36,13204.31
2021-06-29,2257233,19526.59,11257.07,12828.36
2021-06-28,1795027,13561.06,8973.11,11257.07
2021-06-27,1564120,32309,7110.76,8973.11
2021-06-26,1315275,50551,6618.05,7110.76
2021-06-25,1999861,20799,9962.14,6618.05
2021-06-24,1779544,22120,8836.79,9962.14
2021-06-23,1519828,35046,7644.46,8836.79
2021-06-22,1617618,75559,8088.40,7644.46
2021-06-21,2835015,11866.43,14517.70,8088.40
2021-06-20,2986159,24673,14865.94,14517.70
2021-06-19,2635750,10258.69,12834.36,14865.94
2021-06-18,2994888,9485.29,14840.67,12834.36
2021-06-17,2991403,65834,14710.57,14840.67
2021-06-16,2901622,23258,13751.64,14710.57
2021-06-15,2683420,23843,14744.05,13751.64
2021-06-14,2959323,42841,14637.24,14744.05
2021-06-13,3160208,118124,15780.70,14637.24
2021-06-12,3201106,88020,16066.18,15780.70
2021-06-11,3512751,113466,17599.33,16066.18
2021-06-10,4611826,25981,23037,17599.33
2021-06-09,4653724,184654,22650,23037
2021-06-08,4876879,81974,24236,22650
2021-06-07,5905875,105779,29535,24236
2021-06-06,5718663,129823,28788,29535
2021-06-05,5819521,106159,28730,28788
2021-06-04,5172225,99918,25814,28730
2021-06-03,6609954,647945,33064,25814
2021-06-02,7407869,963186,37039,33064
2021-06-01,3771653,285997,18883.81,37039
2021-05-31,2822728,109651,14188.84,18883.81
