date,mktcap,vol,open_price,close_price
2021-10-04,14217835,379791,98.40,87.19
2021-10-03,14545161,495596,100.86,98.40
2021-10-02,14445402,561049,100.02,100.86
2021-10-01,12563365,317468,87.14,100.02
2021-09-30,12932474,1465790,89.42,87.14
2021-09-29,11860017,432983,81.91,89.42
2021-09-28,13561692,635686,93.89,81.91
2021-09-27,12778453,456369,88.51,93.89
2021-09-26,13778911,526404,95.88,88.51
2021-09-25,13380596,878339,92.50,95.88
2021-09-24,14132117,1714324,97.87,92.50
2021-09-23,12891317,654523,89.32,97.87
2021-09-22,9589139,678381,66.16,89.32
2021-09-21,11607531,1521458,81.39,66.16
2021-09-20,15342860,1972770,105.77,81.39
2021-09-19,12042869,300411,83.32,105.77
2021-09-18,11489401,618687,79.46,83.32
2021-09-17,12760843,96168,88.35,79.46
2021-09-16,14271553,149087,100.35,88.35
2021-09-15,11572028,873950,81.09,100.35
2021-09-14,13588925,136306,94.98,81.09
2021-09-13,13588925,136306,94.98,94.98
2021-09-12,17484403,2585.07,120.87,94.98
2021-09-11,17285306,263397,119.64,120.87
2021-09-10,19184901,2401187,132.97,119.64
2021-09-09,18050325,2591187,121.50,132.97
2021-09-08,18274511,3449768,126.52,121.50
2021-09-07,21367203,2524185,147.14,126.52
2021-09-06,18403233,2660203,131.09,147.14
2021-09-05,18094458,4118838,126.35,131.09
2021-09-04,11974192,1943717,86.63,126.35
2021-09-03,11394982,1454984,78.57,86.63
2021-09-02,13572324,3256575,93.22,78.57
2021-09-01,9304856,3208344,63.65,93.22
2021-08-31,14794610,10347290,100.23,63.65
2021-08-30,7798150,2236536,54.94,100.23
2021-08-29,3372691,315678,23.57,54.94
2021-08-28,2560569,111041,17.61,23.57
2021-08-27,2400174,286363,16.62,17.61
2021-08-26,2118380,242905,15.00,16.62
2021-08-25,1825470,80738,12.37,15.00
2021-08-24,0.000000000000,145191,14.27,12.37
2021-08-23,0.000000000000,244090,13.98,14.27
2021-08-22,0.000000000000,104053,12.51,13.98
2021-08-21,0.000000000000,100330,11.28,12.51
2021-08-20,0.000000000000,103051,11.09,11.28
2021-08-19,0.000000000000,30065,10.46,11.09
2021-08-18,0.000000000000,78361,10.23,10.46
2021-08-17,0.000000000000,165314,11.40,10.23
2021-08-16,0.000000000000,142558,10.69,11.40
2021-08-15,0.000000000000,33409,11.11,10.69
2021-08-14,0.000000000000,71140,11.76,11.11
2021-08-13,0.000000000000,63797,10.67,11.76
2021-08-12,0.000000000000,78474,11.88,10.67
2021-08-11,0.000000000000,56419,12.62,11.88
2021-08-10,0.000000000000,62717,12.51,12.62
2021-08-09,0.000000000000,212408,12.17,12.51
2021-08-08,0.000000000000,69336,11.00,12.17
2021-08-07,0.000000000000,95526,10.63,11.00
2021-08-06,0.000000000000,190228,10.20,10.63
2021-08-05,0.000000000000,240583,10.62,10.20
2021-08-04,0.000000000000,240583,10.62,10.62
