date,mktcap,vol,open_price,close_price
2021-10-04,57075204,885650,0.173430,0.168818
2021-10-03,57645021,1383764,0.174913,0.173430
2021-10-02,56778182,1482157,0.171842,0.174913
2021-10-01,55881276,904778,0.169272,0.171842
2021-09-30,55370743,952212,0.168028,0.169272
2021-09-29,56472222,1425829,0.168924,0.168028
2021-09-28,55632281,1955437,0.168987,0.168924
2021-09-27,57840226,4237009,0.176836,0.168987
2021-09-26,61141011,1555014,0.189422,0.176836
2021-09-25,67127397,2049437,0.204865,0.189422
2021-09-24,70265844,1393284,0.214110,0.204865
2021-09-23,69286083,2064750,0.210949,0.214110
2021-09-22,68234099,1656667,0.205742,0.210949
2021-09-21,70687432,2074947,0.215877,0.205742
2021-09-20,76349518,1479114,0.233222,0.215877
2021-09-19,76163800,1031316,0.231675,0.233222
2021-09-18,76509681,2488709,0.234212,0.231675
2021-09-17,75836421,1135058,0.231922,0.234212
2021-09-16,76483886,1155102,0.233371,0.231922
2021-09-15,76566640,1521804,0.233294,0.233371
2021-09-14,76405897,2312072,0.233215,0.233294
2021-09-13,76115804,1467668,0.232249,0.233215
2021-09-12,75591693,2687297,0.230664,0.232249
2021-09-11,70697404,2061460,0.216605,0.230664
2021-09-10,72824599,3823328,0.222203,0.216605
2021-09-09,78255292,6239136,0.235732,0.222203
2021-09-08,65101500,2963478,0.199885,0.235732
2021-09-07,67451115,3320467,0.205887,0.199885
2021-09-06,61976191,808735,0.189441,0.205887
2021-09-05,61728820,1058162,0.187934,0.189441
2021-09-04,61088387,1479048,0.187086,0.187934
2021-09-03,61242357,912036,0.187521,0.187086
2021-09-02,60885217,1300529,0.186172,0.187521
2021-09-01,61639473,1563855,0.188482,0.186172
2021-08-31,63268612,3309200,0.193620,0.188482
2021-08-30,59423089,1196604,0.181845,0.193620
2021-08-29,59411339,1535656,0.182149,0.181845
2021-08-28,59993448,3807421,0.184599,0.182149
2021-08-27,58285350,2071846,0.178115,0.184599
2021-08-26,61065063,2553818,0.185348,0.178115
2021-08-25,62932133,1754457,0.192602,0.185348
2021-08-24,65213722,1366817,0.199495,0.192602
2021-08-23,66122831,1053123,0.202105,0.199495
2021-08-22,66670168,966301,0.205082,0.202105
2021-08-21,68441897,1333917,0.210572,0.205082
2021-08-20,68316416,1409498,0.210763,0.210572
2021-08-19,69375150,1527714,0.214007,0.210763
2021-08-18,71020915,2315794,0.218015,0.214007
2021-08-17,67482833,1985586,0.212217,0.218015
2021-08-16,66647605,2076660,0.205121,0.212217
2021-08-15,64022408,1093754,0.196901,0.205121
2021-08-14,65436573,905719,0.200663,0.196901
2021-08-13,65472525,1197287,0.201090,0.200663
2021-08-12,66168799,1193778,0.203731,0.201090
2021-08-11,66850067,1028096,0.205860,0.203731
2021-08-10,66922771,2079642,0.206432,0.205860
2021-08-09,67041298,1429731,0.206997,0.206432
2021-08-08,67401944,1373586,0.207731,0.206997
2021-08-07,67557844,1015614,0.208229,0.207731
2021-08-06,67865278,847694,0.209292,0.208229
2021-08-05,68201564,832589,0.210454,0.209292
2021-08-04,68080074,1020423,0.209975,0.210454
2021-08-03,68199094,1193742,0.210029,0.209975
2021-08-02,68111547,1069541,0.210206,0.210029
2021-08-01,68291983,1044311,0.210889,0.210206
2021-07-31,68812121,1398121,0.212273,0.210889
2021-07-30,69576291,1041819,0.212901,0.212273
2021-07-29,69291698,1276212,0.213810,0.212901
2021-07-28,71445247,896604,0.226303,0.213810
2021-07-27,69825910,1320322,0.214526,0.226303
2021-07-26,76022257,2049562,0.237353,0.214526
2021-07-25,69119280,1382768,0.214087,0.237353
2021-07-24,66280503,902238,0.205111,0.214087
2021-07-23,64719159,1277720,0.200314,0.205111
2021-07-22,57736396,1410242,0.179475,0.200314
2021-07-21,53442531,1225359,0.165764,0.179475
2021-07-20,57593965,673222,0.178157,0.165764
2021-07-19,57114210,783966,0.177654,0.178157
2021-07-18,58800128,650116,0.182215,0.177654
2021-07-17,59512910,815691,0.184668,0.182215
2021-07-16,60382330,763324,0.187287,0.184668
2021-07-15,59385218,867141,0.184636,0.187287
2021-07-14,59425159,1056699,0.185447,0.184636
2021-07-13,63058964,1091147,0.197104,0.185447
