date,mktcap,vol,open_price,close_price
2021-10-04,819474368,35704779,0.01670375,0.01625726
2021-10-03,792375343,31326877,0.01621362,0.01670375
2021-10-02,791233515,51696396,0.01613469,0.01621362
2021-10-01,715799896,48989385,0.01463108,0.01613469
2021-09-30,672311261,43810676,0.01378817,0.01463108
2021-09-29,656786474,39532901,0.01338213,0.01378817
2021-09-28,701475245,41421032,0.01426403,0.01338213
2021-09-27,740260048,59752172,0.01514097,0.01426403
2021-09-26,728024386,37471097,0.01493137,0.01514097
2021-09-25,745846424,52972410,0.01498180,0.01493137
2021-09-24,800206924,40690525,0.01644869,0.01498180
2021-09-23,787366068,45060791,0.01614060,0.01644869
2021-09-22,699286822,56969131,0.01435827,0.01614060
2021-09-21,754636811,83150686,0.01550610,0.01435827
2021-09-20,889951085,42509572,0.01821032,0.01550610
2021-09-19,932626916,51214185,0.01906170,0.01821032
2021-09-18,897417368,52858967,0.01834590,0.01906170
2021-09-17,929451191,51209761,0.01904263,0.01834590
2021-09-16,952764543,47726165,0.01950251,0.01904263
2021-09-15,923576368,56406720,0.01891055,0.01950251
2021-09-14,895049695,72503501,0.01836798,0.01891055
2021-09-13,967487283,77274948,0.01975322,0.01836798
2021-09-12,908415637,55503257,0.01860003,0.01975322
2021-09-11,893819136,85076743,0.01836768,0.01860003
2021-09-10,988874680,109878782,0.02020944,0.01836768
2021-09-09,940017599,132690037,0.01920799,0.02020944
2021-09-08,952682532,187711081,0.01958905,0.01920799
2021-09-07,1196527227,180812702,0.02453121,0.01958905
2021-09-06,1187443484,385090425,0.02446607,0.02453121
2021-09-05,1166424959,155298384,0.02384880,0.02446607
2021-09-04,1041704602,97831918,0.02140291,0.02384880
2021-09-03,1006900750,79550777,0.02069761,0.02140291
2021-09-02,1009477419,88338258,0.02078410,0.02069761
2021-09-01,964442797,84310869,0.01982167,0.02078410
2021-08-31,946393246,73905068,0.01943688,0.01982167
2021-08-30,1017178663,79878052,0.02093170,0.01943688
2021-08-29,1031037625,52149291,0.02129213,0.02093170
2021-08-28,1067094056,98349977,0.02198372,0.02129213
2021-08-27,1045511572,139845454,0.02136392,0.02198372
2021-08-26,1084254115,206449268,0.02228564,0.02136392
2021-08-25,1007718483,249255977,0.02052642,0.02228564
2021-08-24,1008032159,147109201,0.02073111,0.02052642
2021-08-23,939868779,58985244,0.01931253,0.02073111
2021-08-22,909463928,54441317,0.01864016,0.01931253
2021-08-21,920633640,66741333,0.01895939,0.01864016
2021-08-20,859045732,61540246,0.01798352,0.01895939
2021-08-19,855367291,79525464,0.01759945,0.01798352
2021-08-18,876111926,96142475,0.01790556,0.01759945
2021-08-17,951834277,123403270,0.01963302,0.01790556
2021-08-16,949872329,63198813,0.01958093,0.01963302
2021-08-15,945614739,92344613,0.01945716,0.01958093
2021-08-14,919605671,99538086,0.01900600,0.01945716
2021-08-13,855073797,99260142,0.01762745,0.01900600
2021-08-12,878961835,129358009,0.01813298,0.01762745
2021-08-11,834724041,70106466,0.01720264,0.01813298
2021-08-10,811361340,57190808,0.01695234,0.01720264
2021-08-09,797934975,62022233,0.01638741,0.01695234
2021-08-08,849017093,84959940,0.01749395,0.01638741
2021-08-07,841997898,69169515,0.01733450,0.01749395
2021-08-06,787502868,60435750,0.01621650,0.01733450
2021-08-05,767428199,67626492,0.01588739,0.01621650
2021-08-04,737741472,68760332,0.01522055,0.01588739
2021-08-03,773604814,124830588,0.01598348,0.01522055
2021-08-02,768852246,505480639,0.01602355,0.01598348
2021-08-01,739787419,69923663,0.01522991,0.01602355
2021-07-31,681172155,71279066,0.01401849,0.01522991
2021-07-30,652406988,53386933,0.01347018,0.01401849
2021-07-29,615500355,61999980,0.01272128,0.01347018
2021-07-28,593254644,47008618,0.01234868,0.01272128
2021-07-27,582802943,70068485,0.01197820,0.01234868
2021-07-26,564236614,41836300,0.01167561,0.01197820
2021-07-25,546493792,31482938,0.01130790,0.01167561
2021-07-24,536933191,36611528,0.01112219,0.01130790
2021-07-23,523462826,43067479,0.01085845,0.01112219
2021-07-22,517141544,52765208,0.01071853,0.01085845
2021-07-21,474771643,50700029,0.00980756,0.01071853
2021-07-20,525511453,38084439,0.01082541,0.00980756
2021-07-19,549204010,30615472,0.01135617,0.01082541
2021-07-18,533503155,30078284,0.01104560,0.01135617
2021-07-17,523706396,27414723,0.01083536,0.01104560
2021-07-16,549499090,36377380,0.01132241,0.01083536
2021-07-15,570365462,39244092,0.01183215,0.01132241
2021-07-14,592212603,31405711,0.01221389,0.01183215
2021-07-13,618636841,30361217,0.01281490,0.01221389
2021-07-12,636910861,31341813,0.01317254,0.01281490
2021-07-11,626791940,30403056,0.01295378,0.01317254
2021-07-10,644702795,53111406,0.01339205,0.01295378
2021-07-09,645590108,91554668,0.01339609,0.01339205
2021-07-08,689847344,78460186,0.01425804,0.01339609
2021-07-07,673669020,69654882,0.01398027,0.01425804
2021-07-06,656180450,68935941,0.01362929,0.01398027
2021-07-05,680475845,75060483,0.01411799,0.01362929
2021-07-04,665197091,58773022,0.01390505,0.01411799
2021-07-03,642766697,59819189,0.01341793,0.01390505
2021-07-02,631472755,63384070,0.01317765,0.01341793
2021-07-01,640668197,64151098,0.01333133,0.01317765
2021-06-30,624232339,78308976,0.01300599,0.01333133
2021-06-29,585669003,78376287,0.01218888,0.01300599
2021-06-28,543835801,34079148,0.01128341,0.01218888
2021-06-27,520649496,44997334,0.01084861,0.01128341
2021-06-26,523586900,85295742,0.01087220,0.01084861
2021-06-25,561286321,66248227,0.01162112,0.01087220
2021-06-24,501281414,64194277,0.01042679,0.01162112
2021-06-23,446460713,102775192,0.00935191,0.01042679
2021-06-22,485202811,73570093,0.01003534,0.00935191
2021-06-21,641272395,55174901,0.01338563,0.01003534
2021-06-20,648809835,44711829,0.01349515,0.01338563
2021-06-19,683704852,84921867,0.01422558,0.01349515
2021-06-18,720138611,33963221,0.01505064,0.01422558
2021-06-17,729813310,39093463,0.01518338,0.01505064
2021-06-16,775087113,42021367,0.01612677,0.01518338
2021-06-15,780141178,60591391,0.01623324,0.01612677
2021-06-14,758803656,49961492,0.01579061,0.01623324
2021-06-13,727809581,63749339,0.01505361,0.01579061
2021-06-12,742359321,67893946,0.01553351,0.01505361
2021-06-11,793662484,101324389,0.01649464,0.01553351
2021-06-10,811298325,89310750,0.01684448,0.01649464
2021-06-09,780469991,98667475,0.01620204,0.01684448
2021-06-08,800132416,89783395,0.01646064,0.01620204
2021-06-07,907897847,104568324,0.01890562,0.01646064
2021-06-06,881926208,164489464,0.01842322,0.01890562
2021-06-05,896199865,132737337,0.01871627,0.01842322
2021-06-04,904542061,67413461,0.01888967,0.01871627
2021-06-03,847776676,53694499,0.01772761,0.01888967
2021-06-02,829808794,60835385,0.01731813,0.01772761
2021-06-01,858708571,66695788,0.01796709,0.01731813
2021-05-31,823688594,65845346,0.01722502,0.01796709
2021-05-30,793376390,70297603,0.01650984,0.01722502
2021-05-29,813311945,105586370,0.01699609,0.01650984
2021-05-28,920628071,105101544,0.01919491,0.01699609
2021-05-27,1017379781,322649392,0.02122040,0.01919491
2021-05-26,851730871,129078325,0.01773255,0.02122040
2021-05-25,860129685,156573185,0.01801515,0.01773255
2021-05-24,732464030,151815476,0.01538261,0.01801515
2021-05-23,936464356,141789300,0.01958012,0.01538261
2021-05-22,963483765,208894286,0.02014680,0.01958012
2021-05-21,980804340,167594082,0.02059482,0.02014680
2021-05-20,886851689,281437169,0.01829814,0.02059482
2021-05-19,1299369622,117844913,0.02734781,0.01829814
2021-05-18,1280776081,140371172,0.02669582,0.02734781
2021-05-17,1411177678,131479163,0.02952100,0.02669582
2021-05-16,1415663193,119691425,0.02964704,0.02952100
2021-05-15,1568926316,116277919,0.03284702,0.02964704
2021-05-14,1469706034,237567301,0.03104177,0.03284702
2021-05-13,1548562036,173726753,0.03101517,0.03104177
2021-05-12,1822374359,250491415,0.03805465,0.03101517
2021-05-11,1693558860,260591655,0.03526317,0.03805465
2021-05-10,1908306877,229904288,0.03985728,0.03526317
2021-05-09,1955182683,236760742,0.04101343,0.03985728
