date,mktcap,vol,open_price,close_price
2021-10-04,429884120,45070147,0.344389,0.336922
2021-10-03,419698755,45376608,0.337022,0.344389
2021-10-02,402280398,37302884,0.323835,0.337022
2021-10-01,369251278,30722120,0.296434,0.323835
2021-09-30,347536642,26984001,0.279692,0.296434
2021-09-29,333007168,26034227,0.267345,0.279692
2021-09-28,367387166,26073059,0.292402,0.267345
2021-09-27,376921830,28989076,0.302737,0.292402
2021-09-26,385467496,23676091,0.309944,0.302737
2021-09-25,391084039,41594573,0.316426,0.309944
2021-09-24,429862275,28372313,0.345200,0.316426
2021-09-23,426680879,39337541,0.343704,0.345200
2021-09-22,382731981,51779507,0.308632,0.343704
2021-09-21,393995021,74277940,0.317681,0.308632
2021-09-20,477312371,54704393,0.383633,0.317681
2021-09-19,506185494,52571326,0.406701,0.383633
2021-09-18,512120552,65643648,0.411181,0.406701
2021-09-17,556271940,115915779,0.446966,0.411181
2021-09-16,561562355,88967944,0.452078,0.446966
2021-09-15,549401256,151244688,0.442460,0.452078
2021-09-14,469822909,121307991,0.377300,0.442460
2021-09-13,493934526,89072809,0.396222,0.377300
2021-09-12,428949174,34905824,0.344652,0.396222
2021-09-11,433002253,64069735,0.348277,0.344652
2021-09-10,498838589,98250331,0.401430,0.348277
2021-09-09,438672554,84667000,0.350930,0.401430
2021-09-08,432602962,158535458,0.346823,0.350930
2021-09-07,578119179,142072956,0.463126,0.346823
2021-09-06,512771326,48512694,0.412201,0.463126
2021-09-05,520993608,82160980,0.418464,0.412201
2021-09-04,479152621,41970331,0.385629,0.418464
2021-09-03,476898253,40302341,0.383063,0.385629
2021-09-02,498277407,56992555,0.400379,0.383063
2021-09-01,500267617,88978508,0.405337,0.400379
2021-08-31,481510813,109902281,0.387880,0.405337
2021-08-30,505098795,151184806,0.416526,0.387880
2021-08-29,442910090,108888199,0.365407,0.416526
2021-08-28,409832953,43705121,0.337761,0.365407
2021-08-27,387006355,51795326,0.318191,0.337761
2021-08-26,423895136,63873385,0.349294,0.318191
2021-08-25,400443791,61112927,0.328889,0.349294
2021-08-24,444180421,83820335,0.365625,0.328889
2021-08-23,464676220,170796541,0.381164,0.365625
2021-08-22,396642399,41360477,0.326618,0.381164
2021-08-21,404304460,39203438,0.333591,0.326618
2021-08-20,394912500,41835321,0.329353,0.333591
2021-08-19,381195477,48366312,0.313219,0.329353
2021-08-18,388441141,69189166,0.318133,0.313219
2021-08-17,410141323,68359700,0.330680,0.318133
2021-08-16,414275021,50624225,0.341487,0.330680
2021-08-15,417761019,118787669,0.344034,0.341487
2021-08-14,378980561,32981986,0.312758,0.344034
2021-08-13,356717627,42006129,0.294150,0.312758
2021-08-12,368352399,56876843,0.304103,0.294150
2021-08-11,370470186,68937289,0.306060,0.304103
2021-08-10,358780717,38836377,0.291773,0.306060
2021-08-09,335731590,37297603,0.276727,0.291773
2021-08-08,365740552,56395100,0.301649,0.276727
2021-08-07,365992142,56147904,0.305240,0.301649
2021-08-06,335719379,42123019,0.276314,0.305240
2021-08-05,329822036,30076043,0.269770,0.276314
2021-08-04,319293995,50713991,0.263121,0.269770
2021-08-03,343101131,48656420,0.282249,0.263121
