date,mktcap,vol,open_price,close_price
2021-10-04,225775,36670,0.00235868,0.00245140
2021-10-03,221522,42132,0.00240950,0.00235868
2021-10-02,217058,32397,0.00239068,0.00240950
2021-10-01,193579,41416,0.00210556,0.00239068
2021-09-30,193579,41416,0.00210556,0.00210556
2021-09-28,196829,2.16,0.00215596,0.00210556
2021-09-27,196829,2.16,0.00215596,0.00215596
2021-09-18,231700,2.43,0.00252856,0.00215596
2021-09-17,234926,56.58,0.00256745,0.00252856
2021-09-16,234926,56.58,0.00256745,0.00256745
2021-09-06,245519,33.89,0.00267052,0.00256745
2021-09-05,245519,33.89,0.00267052,0.00267052
2021-08-31,210759,11.39,0.00227852,0.00267052
2021-08-30,216162,191.08,0.00235237,0.00227852
2021-08-29,218018,23695,0.00236478,0.00235237
2021-08-28,218987,25112,0.00238676,0.00236478
2021-08-27,210775,27365,0.00228299,0.00238676
2021-08-26,216060,25572,0.00235971,0.00228299
2021-08-25,215607,33548,0.00236524,0.00235971
2021-08-24,223662,30390,0.00246206,0.00236524
2021-08-23,219348,34314,0.00238586,0.00246206
2021-08-22,218423,35661,0.00240760,0.00238586
2021-08-21,221529,22251,0.00239017,0.00240760
2021-08-20,207540,37581,0.00229944,0.00239017
2021-08-19,204548,37972,0.00222488,0.00229944
2021-08-18,207168,29009,0.00221389,0.00222488
2021-08-17,216183,42372,0.00235449,0.00221389
2021-08-16,220999,26547,0.00241554,0.00235449
2021-08-15,218897,24139,0.00238096,0.00241554
2021-08-14,223288,31720,0.00243025,0.00238096
2021-08-13,204935,29232,0.00225488,0.00243025
2021-08-12,213025,42885,0.00234784,0.00225488
2021-08-11,216087,26985,0.00233560,0.00234784
2021-08-10,207236,39104,0.00234543,0.00233560
2021-08-09,205438,30922,0.00223456,0.00234543
2021-08-08,209132,45292,0.00227473,0.00223456
2021-08-07,197221,21177,0.00211337,0.00227473
2021-08-06,189702,39616,0.00207032,0.00211337
2021-08-05,184142,23626,0.00200291,0.00207032
2021-08-04,169987,36522,0.00183725,0.00200291
2021-08-03,176511,44313,0.00192121,0.00183725
2021-08-02,174473,29071,0.00190447,0.00192121
2021-08-01,170056,15997.56,0.00184970,0.00190447
2021-07-31,163528,22480,0.00177870,0.00184970
2021-07-30,155685,32284,0.00173941,0.00177870
2021-07-29,153737,18136.16,0.00167672,0.00173941
2021-07-28,151536,31445,0.00166780,0.00167672
