date,mktcap,vol,open_price,close_price
2021-09-26,115815,132.05,0.00864255,0.00864255
2021-09-25,114043,55.59,0.00881515,0.00864255
2021-09-24,126936,1889.89,0.00956472,0.00881515
2021-09-23,129150,0.000000000000,0.00983015,0.00956472
2021-09-22,154266,330.43,0.00983015,0.00983015
2021-09-21,151536,1305.46,0.01174181,0.00983015
2021-09-20,151536,0.000000000000,0.01153405,0.01174181
2021-09-19,191805,2733.68,0.01153405,0.01153405
2021-09-18,191805,508.62,0.01453199,0.01153405
2021-09-17,185244,0.000000000000,0.01403490,0.01453199
2021-09-16,185244,92.99,0.01403490,0.01403490
2021-09-15,179913,87.69,0.01354840,0.01403490
2021-09-14,179913,0.000000000000,0.01363100,0.01354840
2021-09-13,184454,9.54,0.01363100,0.01363100
2021-09-12,184454,9.54,0.01363100,0.01363100
2021-09-10,184454,0.000000000000,0.01397506,0.01363100
2021-09-09,191372,1974.13,0.01398355,0.01397506
2021-09-08,191372,1974.13,0.01398355,0.01398355
2021-09-03,196845,0.000000000000,0.01491384,0.01398355
2021-09-02,196845,0.000000000000,0.01491384,0.01491384
2021-08-31,200843,729.10,0.01491384,0.01491384
2021-08-30,237828,2826.62,0.01521678,0.01491384
2021-08-29,237828,2826.62,0.01521678,0.01521678
2021-08-28,245033,148.48,0.01801891,0.01521678
2021-08-27,245033,148.48,0.01801891,0.01801891
2021-08-23,247035,220.62,0.01856480,0.01801891
2021-08-22,247035,220.62,0.01856480,0.01856480
2021-08-21,247128,56.15,0.01871649,0.01856480
2021-08-20,229370,98.78,0.01737808,0.01871649
2021-08-19,229370,98.78,0.01737808,0.01737808
2021-08-18,248893,102.05,0.01879575,0.01737808
2021-08-17,252371,620.95,0.01912077,0.01879575
2021-08-16,277096,2304.94,0.01916656,0.01912077
2021-08-15,277096,2304.94,0.01916656,0.01916656
2021-08-14,277096,262.43,0.02099404,0.01916656
2021-08-13,277326,537.89,0.02024782,0.02099404
2021-08-12,280687,1078.03,0.02122803,0.02024782
2021-08-11,289850,1148.74,0.02063869,0.02122803
2021-08-10,289850,1148.74,0.02063869,0.02063869
2021-08-09,290520,181.79,0.02067109,0.02063869
2021-08-08,284725,336.46,0.02157204,0.02067109
2021-08-07,254906,805.51,0.01996991,0.02157204
2021-08-06,266172,3816.07,0.02023079,0.01996991
2021-08-05,258191,570.16,0.01950942,0.02023079
2021-08-04,244945,90.54,0.01783293,0.01950942
2021-08-03,243393,185.58,0.01855808,0.01783293
2021-08-02,278467,2620.08,0.01875633,0.01855808
2021-08-01,266728,55.39,0.02022021,0.01875633
2021-07-31,262732,152.24,0.02019426,0.02022021
2021-07-30,254354,5363.90,0.01919112,0.02019426
2021-07-29,213245,13336.53,0.01633804,0.01919112
2021-07-28,213245,13336.53,0.01633804,0.01633804
2021-07-25,538119,184.01,0.04076411,0.01633804
2021-07-24,525952,369.50,0.03930988,0.04076411
2021-07-23,525952,369.50,0.03930988,0.03930988
2021-07-22,452006,28.84,0.03726278,0.03930988
2021-07-21,447889,421.07,0.03426938,0.03726278
2021-07-20,501983,169.20,0.03426272,0.03426938
2021-07-19,501983,169.20,0.03426272,0.03426272
2021-07-15,475122,2034.62,0.03803247,0.03426272
2021-07-14,468243,51.20,0.03547612,0.03803247
2021-07-13,475342,2683.74,0.03642496,0.03547612
2021-07-12,475342,2683.74,0.03642496,0.03642496
2021-07-10,468436,125.05,0.03492010,0.03642496
2021-07-09,465151,26.09,0.03549077,0.03492010
2021-07-08,510816,3144.13,0.03870164,0.03549077
2021-07-07,510816,3144.13,0.03870164,0.03870164
2021-07-06,529469,1529.26,0.03993722,0.03870164
2021-07-05,583131,666.74,0.04309898,0.03993722
2021-07-04,583131,666.74,0.04309898,0.04309898
2021-07-03,521391,19.03,0.04044554,0.04309898
2021-07-02,529415,191.35,0.03996119,0.04044554
2021-07-01,522860,1498.95,0.03961420,0.03996119
2021-06-30,569581,1646.89,0.04332159,0.03961420
2021-06-29,540500,522.58,0.04275402,0.04332159
2021-06-28,500512,149.52,0.03755644,0.04275402
2021-06-27,481700,103.23,0.03612525,0.03755644
2021-06-26,523045,263.57,0.03752728,0.03612525
2021-06-25,549510,23.20,0.04108016,0.03752728
2021-06-24,532270,2101.95,0.04015209,0.04108016
2021-06-23,495565,51.57,0.03761060,0.04015209
2021-06-22,550787,2479.07,0.03771291,0.03761060
2021-06-21,606417,211.97,0.04783573,0.03771291
2021-06-20,663114,2947.80,0.04652409,0.04783573
2021-06-19,660450,8825.15,0.04871149,0.04652409
2021-06-18,894113,183.34,0.064182,0.04871149
2021-06-17,928829,95.67,0.066350,0.064182
2021-06-16,935421,5208.53,0.070538,0.066350
2021-06-15,1023840,6903.28,0.076649,0.070538
2021-06-14,922403,411.17,0.073610,0.076649
2021-06-13,950832,3162.50,0.071322,0.073610
2021-06-12,959713,116260,0.070658,0.071322
2021-06-11,601989,537.02,0.04510198,0.070658
2021-06-10,623886,4164.82,0.04674256,0.04510198
2021-06-09,649292,3096.77,0.04727453,0.04674256
2021-06-08,769216,453.39,0.058298,0.04727453
2021-06-07,727396,8.64,0.055490,0.058298
2021-06-06,722859,309.83,0.053858,0.055490
2021-06-05,746709,2642.81,0.055873,0.053858
2021-06-04,768613,916.77,0.059878,0.055873
2021-06-03,759386,447.81,0.058880,0.059878
2021-06-02,770560,544.78,0.057732,0.058880
2021-06-01,775593,3895.71,0.058757,0.057732
2021-05-31,767548,6919.66,0.056142,0.058757
2021-05-30,734779,9980.12,0.050343,0.056142
2021-05-29,818236,2189.85,0.060968,0.050343
2021-05-28,849317,11692.91,0.063632,0.060968
2021-05-27,1102328,4595.34,0.083904,0.063632
2021-05-26,920416,1542.86,0.073639,0.083904
2021-05-25,907895,1188.71,0.068959,0.073639
2021-05-24,769477,1183.47,0.060743,0.068959
2021-05-23,897394,19633.89,0.067234,0.060743
2021-05-22,905229,11485.93,0.066228,0.067234
2021-05-21,1001740,13673.84,0.074878,0.066228
2021-05-20,955366,163.59,0.067856,0.074878
2021-05-19,1182509,3206.01,0.088943,0.067856
2021-05-18,1178629,5915.16,0.088305,0.088943
2021-05-17,1317240,6252.66,0.094642,0.088305
2021-05-16,1347357,35783,0.109641,0.094642
2021-05-15,1658700,14740.64,0.124986,0.109641
2021-05-14,1848856,137176,0.128575,0.124986
2021-05-13,3419932,15332.78,0.239024,0.128575
2021-05-12,3414072,1261.88,0.257526,0.239024
2021-05-11,3481222,5503.13,0.257741,0.257526
2021-05-10,3458904,3389.34,0.254412,0.257741
2021-05-09,3091808,174.82,0.252147,0.254412
2021-05-08,3034513,4979.68,0.227350,0.252147
2021-05-07,2942533,3712.59,0.223612,0.227350
2021-05-06,3134518,3773.61,0.233602,0.223612
2021-05-05,2932950,2906.28,0.217813,0.233602
2021-05-04,3078438,10960.61,0.234258,0.217813
2021-05-03,2829644,15374.03,0.209697,0.234258
2021-05-02,2935287,24364,0.219149,0.209697
2021-05-01,2787615,3427.26,0.206094,0.219149
2021-04-30,2866671,8162.93,0.207379,0.206094
2021-04-29,2743011,7887.80,0.199841,0.207379
2021-04-28,2857480,6976.22,0.212567,0.199841
2021-04-27,2980262,3067.79,0.224593,0.212567
2021-04-26,2886528,12088.56,0.222431,0.224593
2021-04-25,2810520,2570.68,0.207744,0.222431
2021-04-24,2966304,63965,0.231720,0.207744
2021-04-23,2842220,10864.92,0.213564,0.231720
2021-04-22,2916690,18982.18,0.219207,0.213564
2021-04-21,2736717,51614,0.206437,0.219207
2021-04-20,3358312,7536.36,0.252044,0.206437
2021-04-19,3761275,4033.45,0.274009,0.252044
2021-04-18,4043944,8317.14,0.306792,0.274009
2021-04-17,3963732,19451.86,0.300178,0.306792
2021-04-16,4415356,20280,0.329244,0.300178
2021-04-15,4303671,36424,0.323127,0.329244
2021-04-14,4186215,5049.23,0.296299,0.323127
2021-04-13,3886438,20819,0.293828,0.296299
2021-04-12,3957234,18195.67,0.296954,0.293828
2021-04-11,4204710,13998.74,0.316104,0.296954
2021-04-10,4302981,20971,0.322386,0.316104
2021-04-09,4918594,7191.86,0.372252,0.322386
2021-04-08,4739484,54048,0.365919,0.372252
2021-04-07,4525552,36510,0.342781,0.365919
2021-04-06,4636416,65410,0.347999,0.342781
2021-04-05,5341935,266704,0.402112,0.347999
2021-04-04,3616834,221277,0.267852,0.402112
2021-04-03,3058854,50961,0.246140,0.267852
2021-04-02,2636272,95452,0.197306,0.246140
2021-04-01,1805163,51069,0.153197,0.197306
2021-03-31,3394452,21215,0.253568,0.153197
2021-03-30,3969868,38586,0.283578,0.253568
2021-03-29,2942651,3474.77,0.221609,0.283578
2021-03-28,2899891,62634,0.216006,0.221609
2021-03-27,2801771,33760,0.220430,0.216006
2021-03-26,3435613,52888,0.230785,0.220430
2021-03-25,1914755,24706,0.150203,0.230785
2021-03-24,1357464,15936.85,0.101893,0.150203
2021-03-23,1553120,16193.19,0.112689,0.101893
2021-03-22,2441836,11471.49,0.169794,0.112689
2021-03-21,2095464,34524,0.155587,0.169794
2021-03-20,2564709,26724,0.206085,0.155587
2021-03-19,1762644,23637,0.141666,0.206085
2021-03-18,2140930,53096,0.159527,0.141666
2021-03-17,3239969,114298,0.241430,0.159527
2021-03-16,3756340,134679,0.278580,0.241430
2021-03-15,3166051,236230,0.224277,0.278580
2021-03-14,1123969,23179,0.083696,0.224277
2021-03-13,1220733,56232,0.092964,0.083696
2021-03-12,1306318,101299,0.097069,0.092964
2021-03-11,1126362,87870,0.080874,0.097069
2021-03-10,2731976,608552,0.177852,0.080874
2021-03-09,309566,122888,0.02589423,0.177852
2021-03-08,201510,5412.54,0.01480632,0.02589423
2021-03-07,32071,0.000000000000,0.00235649,0.01480632
2021-03-06,32071,0.000000000000,0.00235649,0.00235649
2021-03-05,32071,0.000000000000,0.00235649,0.00235649
