date,mktcap,vol,open_price,close_price
2021-10-04,1608158,2034.95,0.280165,0.293475
2021-10-03,1628531,949.46,0.278227,0.280165
2021-10-02,1613880,3526.44,0.282730,0.278227
2021-10-01,1619254,822.00,0.280502,0.282730
2021-09-30,1640861,1241.37,0.286251,0.280502
2021-09-29,1644353,2449.59,0.284903,0.286251
2021-09-28,1635703,11405.10,0.284135,0.284903
2021-09-27,1546702,3187.86,0.259911,0.284135
2021-09-26,1578656,4794.52,0.275871,0.259911
2021-09-25,1628676,1011.42,0.282919,0.275871
2021-09-24,1612954,6263.52,0.279492,0.282919
2021-09-23,1619175,5842.18,0.280168,0.279492
2021-09-22,1599171,12423.80,0.292350,0.280168
2021-09-21,1550737,9842.90,0.273666,0.292350
2021-09-20,1613291,1677.46,0.280867,0.273666
2021-09-19,1622820,891.85,0.277939,0.280867
2021-09-18,1516961,1400.38,0.263508,0.277939
2021-09-17,1633753,0.000000000000,0.283796,0.263508
2021-09-16,1636959,2639.06,0.285865,0.283796
2021-09-15,1655134,6029.73,0.287022,0.285865
2021-09-14,1682902,1111.56,0.283509,0.287022
2021-09-13,1650633,2416.96,0.286519,0.283509
2021-09-12,1632411,677.44,0.281902,0.286519
2021-09-11,1515922,6916.04,0.282800,0.281902
2021-09-10,1667074,4285.52,0.289439,0.282800
2021-09-09,1661601,1430.62,0.285847,0.289439
2021-09-08,1628129,5490.81,0.286373,0.285847
2021-09-07,1674895,4582.80,0.292295,0.286373
2021-09-06,1723293,3851.94,0.299350,0.292295
2021-09-05,1724293,2560.53,0.296849,0.299350
2021-09-04,1744732,10200.81,0.304244,0.296849
2021-09-03,1723768,10096.05,0.298521,0.304244
2021-09-02,1822289,6680.83,0.304564,0.298521
2021-09-01,1796863,4026.80,0.310483,0.304564
2021-08-31,2055791,7546.14,0.333808,0.310483
2021-08-30,2005872,2614.29,0.347081,0.333808
2021-08-29,1841777,13668.69,0.315504,0.347081
2021-08-28,1954335,2973.47,0.343095,0.315504
2021-08-27,1844713,9220.95,0.319581,0.343095
2021-08-26,1848718,10923.91,0.321792,0.319581
2021-08-25,1729213,9395.01,0.303439,0.321792
2021-08-24,1808810,21065,0.313537,0.303439
2021-08-23,1927673,24573,0.309650,0.313537
2021-08-22,1940378,12913.09,0.336005,0.309650
2021-08-21,1931905,36580,0.335605,0.336005
2021-08-20,1735636,35612,0.306291,0.335605
2021-08-19,1681988,30681,0.291776,0.306291
2021-08-18,1615446,173254,0.285084,0.291776
2021-08-17,1166302,4388.06,0.200396,0.285084
2021-08-16,1220034,1764.97,0.205488,0.200396
2021-08-15,1153712,839.56,0.200829,0.205488
2021-08-14,1135446,2293.16,0.200181,0.200829
2021-08-13,1237370,1786.07,0.214941,0.200181
2021-08-12,1170813,1919.73,0.202105,0.214941
2021-08-11,1117989,1384.71,0.194368,0.202105
2021-08-10,1144963,1987.89,0.197791,0.194368
2021-08-09,1213391,1766.36,0.210776,0.197791
2021-08-08,1229280,6492.43,0.209569,0.210776
2021-08-07,1218068,671.50,0.211168,0.209569
2021-08-06,1289415,286.48,0.223172,0.211168
2021-08-05,1228733,2984.99,0.215880,0.223172
2021-08-04,1255870,7295.19,0.217500,0.215880
2021-08-03,1257145,4994.14,0.219864,0.217500
2021-08-02,1210035,3065.80,0.207175,0.219864
2021-08-01,1172631,2464.38,0.205494,0.207175
2021-07-31,1163382,1448.57,0.211759,0.205494
2021-07-30,1182198,3477.00,0.209624,0.211759
2021-07-29,1212582,3364.39,0.210356,0.209624
2021-07-28,1257513,2047.10,0.218551,0.210356
2021-07-27,1254121,4746.91,0.219683,0.218551
2021-07-26,1197306,3298.87,0.209942,0.219683
2021-07-25,1225197,3606.15,0.213019,0.209942
2021-07-24,1249960,3131.73,0.218489,0.213019
2021-07-23,1211725,20133,0.211979,0.218489
2021-07-22,1276636,12831.61,0.221040,0.211979
2021-07-21,1289494,5662.05,0.222392,0.221040
2021-07-20,1308518,5220.70,0.226827,0.222392
2021-07-19,1307536,1484.58,0.234270,0.226827
2021-07-18,1328307,3279.15,0.230002,0.234270
2021-07-17,1354896,3970.89,0.235356,0.230002
2021-07-16,1384283,2477.10,0.241790,0.235356
2021-07-15,1356160,2371.79,0.235608,0.241790
2021-07-14,1321743,5496.90,0.230035,0.235608
2021-07-13,1372549,1681.38,0.240633,0.230035
2021-07-12,1404255,1742.78,0.246517,0.240633
2021-07-11,1363459,2873.50,0.238726,0.246517
2021-07-10,1368427,2426.63,0.237833,0.238726
2021-07-09,1401318,5777.37,0.239714,0.237833
2021-07-08,1368294,3262.35,0.242360,0.239714
2021-07-07,1350504,14301.97,0.234593,0.242360
2021-07-06,1352095,4910.05,0.236046,0.234593
2021-07-05,1406938,5804.52,0.243809,0.236046
2021-07-04,1425307,798.79,0.245246,0.243809
2021-07-03,1432964,2113.22,0.248446,0.245246
2021-07-02,1425576,2009.16,0.248167,0.248446
2021-07-01,1264434,3926.14,0.250702,0.248167
2021-06-30,1252849,13609.86,0.251784,0.250702
2021-06-29,1281665,3994.08,0.257473,0.251784
2021-06-28,1328009,2496.79,0.260604,0.257473
2021-06-27,1356081,2673.36,0.272263,0.260604
2021-06-26,1319401,2576.88,0.266871,0.272263
2021-06-25,1296799,5358.15,0.263367,0.266871
2021-06-24,1386451,23330,0.279782,0.263367
2021-06-23,1327399,76403,0.266708,0.279782
2021-06-22,1568685,32821,0.319452,0.266708
2021-06-21,1746811,3551.99,0.348894,0.319452
2021-06-20,1815021,7963.79,0.359844,0.348894
2021-06-19,1826383,22216,0.372597,0.359844
2021-06-18,1872973,3762.20,0.381589,0.372597
2021-06-17,1936569,21730,0.388182,0.381589
2021-06-16,2060508,40686,0.414286,0.388182
2021-06-15,2117702,19650.10,0.425275,0.414286
2021-06-14,2114834,33432,0.436578,0.425275
2021-06-13,2283184,9953.27,0.470704,0.436578
2021-06-12,2325707,35792,0.484274,0.470704
2021-06-11,2526223,260941,0.519299,0.484274
2021-06-10,2895838,1080432,0.597805,0.519299
2021-06-09,1906371,62068,0.381406,0.597805
2021-06-08,1787850,128636,0.361892,0.381406
2021-06-07,1548658,12369.13,0.319699,0.361892
2021-06-06,1452898,2352.02,0.300190,0.319699
