date,mktcap,vol,open_price,close_price
2021-10-04,5754768,25899,0.02122925,0.02153731
2021-10-03,6198140,123314,0.02264222,0.02122925
2021-10-02,6568307,92727,0.02421116,0.02264222
2021-10-01,5886892,47368,0.02185559,0.02421116
2021-09-30,6363821,26482,0.02354857,0.02185559
2021-09-29,6557808,84178,0.02407631,0.02354857
2021-09-28,6613935,74703,0.02449420,0.02407631
2021-09-27,6631056,149410,0.02469034,0.02449420
2021-09-26,5860219,87328,0.02168395,0.02469034
2021-09-25,6181312,128666,0.02288205,0.02168395
2021-09-24,5972671,38967,0.02401782,0.02288205
2021-09-23,6144708,137104,0.02474799,0.02401782
2021-09-22,5505310,8040.75,0.02266083,0.02474799
2021-09-21,5811852,15829.83,0.02311166,0.02266083
2021-09-20,6826861,18314.37,0.02756517,0.02311166
2021-09-19,7045420,26732,0.02835805,0.02756517
2021-09-18,7271334,1003975,0.02950365,0.02835805
2021-09-17,7065519,139164,0.02848016,0.02950365
2021-09-16,7546996,417805,0.03030650,0.02848016
2021-09-15,9304341,813163,0.03750150,0.03030650
2021-09-14,7613877,209438,0.03069508,0.03750150
2021-09-13,7120246,25740,0.02876177,0.03069508
2021-09-12,6530253,60727,0.02636653,0.02876177
2021-09-11,6368118,241630,0.02564778,0.02636653
2021-09-10,5493689,63691,0.02209733,0.02564778
2021-09-09,5414151,71272,0.02188707,0.02209733
2021-09-08,5589689,169749,0.02250659,0.02188707
2021-09-07,7022990,121025,0.02736847,0.02250659
2021-09-06,7238810,24848,0.02909733,0.02736847
2021-09-05,7270191,94160,0.02930812,0.02909733
2021-09-04,7183955,58298,0.02899401,0.02930812
2021-09-03,7159809,119124,0.02884761,0.02899401
2021-09-02,7656874,35787,0.03089815,0.02884761
2021-09-01,7327533,66673,0.02951185,0.03089815
2021-08-31,8126476,48207,0.03259813,0.02951185
2021-08-30,8440641,34181,0.03399493,0.03259813
2021-08-29,8946674,70888,0.03603299,0.03399493
2021-08-28,9522998,146601,0.03840464,0.03603299
2021-08-27,8357749,86946,0.03388940,0.03840464
2021-08-26,8718854,84551,0.03524120,0.03388940
2021-08-25,9007960,93948,0.03631082,0.03524120
2021-08-24,9757462,90169,0.03943517,0.03631082
