date,mktcap,vol,open_price,close_price
2021-09-16,42307,9.51,4.77,4.77
2021-09-15,40830,172.21,4.60,4.77
2021-09-14,40830,172.21,4.60,4.60
2021-09-11,35048,0.000000000000,3.95,4.60
2021-09-10,35048,0.000000000000,3.95,3.95
2021-09-09,34486,590.48,3.87,3.95
2021-09-08,34486,590.48,3.87,3.87
2021-09-04,64117,0.000000000000,7.19,3.87
2021-09-03,64117,0.000000000000,7.19,7.19
2021-09-02,64117,0.000000000000,7.19,7.19
2021-09-01,64117,0.000000000000,7.19,7.19
2021-08-23,64636,0.000000000000,7.19,7.19
2021-08-22,64636,0.000000000000,7.19,7.19
2021-08-16,64636,0.000000000000,7.19,7.19
2021-08-15,64636,0.000000000000,7.19,7.19
2021-08-06,65103,0.000000000000,7.19,7.19
2021-08-05,65103,0.000000000000,7.19,7.19
2021-07-31,65103,0.000000000000,7.19,7.19
2021-07-30,65103,0.000000000000,7.19,7.19
2021-07-27,71894,0.000000000000,7.19,7.19
2021-07-26,71894,0.000000000000,7.19,7.19
2021-07-12,71894,0.000000000000,7.19,7.19
2021-07-11,71894,0.000000000000,7.19,7.19
2021-07-10,71894,0.000000000000,7.19,7.19
2021-07-09,71894,0.000000000000,7.19,7.19
2021-07-04,71894,0.000000000000,7.19,7.19
2021-07-03,71894,0.000000000000,7.19,7.19
2021-06-27,71894,0.000000000000,7.19,7.19
2021-06-26,71894,0.000000000000,7.19,7.19
2021-06-15,71894,0.000000000000,7.19,7.19
2021-06-14,71894,0.000000000000,7.19,7.19
2021-06-11,71894,0.000000000000,7.19,7.19
2021-06-10,71894,0.000000000000,7.19,7.19
2021-06-08,71894,0.000000000000,7.19,7.19
2021-06-07,71894,0.000000000000,7.19,7.19
2021-06-06,71894,0.000000000000,7.19,7.19
2021-06-04,76374,35.56,8.79,7.19
2021-06-03,76374,35.56,8.79,8.79
2021-05-31,76374,210.95,7.64,8.79
2021-05-30,76374,210.95,7.64,7.64
2021-05-29,112152,93.11,9.39,7.64
2021-05-28,112152,93.11,9.39,9.39
2021-05-21,166282,336.45,11.22,9.39
2021-05-20,166282,336.45,11.22,11.22
2021-05-19,138237,364.06,16.63,11.22
2021-05-18,138237,364.06,16.63,16.63
2021-05-06,139599,195.15,13.82,16.63
2021-05-05,137732,1593.07,13.96,13.82
2021-05-04,137732,1593.07,13.96,13.96
2021-05-03,134778,651.90,13.66,13.96
2021-05-02,138106,1556.22,13.97,13.66
2021-05-01,138106,1556.22,13.97,13.97
2021-04-24,134974,1192.31,11.92,13.97
2021-04-23,115505,3600.16,13.50,11.92
2021-04-22,126961,694.35,12.70,13.50
2021-04-21,127146,1267.63,12.11,12.70
2021-04-20,127146,1267.63,12.11,12.11
2021-04-18,146911,976.76,15.03,12.11
2021-04-17,161267,1735.96,14.69,15.03
2021-04-16,161267,1735.96,14.69,14.69
2021-04-15,158846,48.09,16.03,14.69
2021-04-14,150483,357.01,15.44,16.03
2021-04-13,148302,320.32,14.86,15.44
2021-04-12,151372,906.79,14.83,14.86
2021-04-11,151372,906.79,14.83,14.83
2021-04-10,160175,568.07,15.14,14.83
2021-04-09,160175,568.07,15.14,15.14
2021-04-08,160175,320.35,16.02,15.14
2021-04-07,165359,417.90,16.59,16.02
2021-04-06,165359,623.20,16.54,16.59
2021-04-05,174922,335.50,16.77,16.54
2021-04-04,173799,699.69,17.49,16.77
2021-04-03,173477,151.45,17.80,17.49
2021-04-02,171677,1508.03,17.01,17.80
2021-04-01,163869,1728.57,16.35,17.01
2021-03-31,140736,1648.78,13.99,16.35
2021-03-30,139439,68.88,13.78,13.99
2021-03-29,139439,68.88,13.78,13.78
2021-03-28,137956,199.46,13.94,13.78
2021-03-27,138671,284.27,13.78,13.94
2021-03-26,131878,132.44,13.24,13.78
2021-03-25,134254,989.90,13.28,13.24
2021-03-24,144291,15153.44,14.26,13.28
2021-03-23,119375,3781.67,11.99,14.26
2021-03-22,157135,13571.85,15.71,11.99
2021-03-21,259249,68761,26.27,15.71
2021-03-20,189909,26774,18.98,26.27
2021-03-19,180661,32491,18.28,18.98
2021-03-18,87754,9778.75,8.42,18.28
2021-03-17,126836,1156.96,11.82,8.42
2021-03-16,131724,2021.11,13.26,11.82
2021-03-15,171484,2209.36,17.18,13.26
2021-03-14,149439,957.95,14.74,17.18
2021-03-13,121569,624.52,12.47,14.74
2021-03-12,133058,18768.83,12.37,12.47
2021-03-11,85588,6024.27,8.40,12.37
2021-03-10,97741,1993.92,9.77,8.40
2021-03-09,70526,1672.97,7.05,9.77
2021-03-08,88656,1735.66,9.09,7.05
2021-03-07,113177,13600.17,11.35,9.09
2021-03-06,53358,35.37,5.34,11.35
2021-03-05,48275,409.71,5.61,5.34
2021-03-04,48275,409.71,5.61,5.61
2021-03-03,43010,386.23,4.83,5.61
2021-03-02,43010,378.52,4.30,4.83
2021-03-01,43010,378.52,4.30,4.30
2021-02-27,40319,401.09,4.00,4.30
2021-02-26,61904,1893.50,4.88,4.00
2021-02-25,61904,1893.50,4.88,4.88
2021-02-23,82095,8.54,8.54,4.88
2021-02-22,94674,10.41,9.46,8.54
2021-02-21,125155,2434.23,9.74,9.46
2021-02-20,125132,1258.82,12.52,9.74
2021-02-19,125250,4018.35,12.53,12.52
2021-02-18,143768,12183.88,13.64,12.53
2021-02-17,143768,12183.88,13.64,13.64
2021-02-14,94843,400.14,9.56,13.64
2021-02-13,94843,523.34,9.48,9.56
2021-02-12,109856,9715.22,9.99,9.48
2021-02-11,109856,9715.22,9.99,9.99
2021-02-10,80236,701.03,8.02,9.99
2021-02-09,83161,1823.05,8.84,8.02
2021-02-08,80949,1201.36,6.26,8.84
2021-02-07,92778,1276.34,8.77,6.26
2021-02-06,92778,1276.34,8.77,8.77
2021-02-05,102728,512.80,10.26,8.77
2021-02-04,100858,4581.94,10.09,10.26
2021-02-03,88914,46.00,9.20,10.09
2021-02-02,91570,10649.47,8.09,9.20
2021-02-01,62807,312.69,6.25,8.09
2021-01-31,57910,580.65,5.81,6.25
2021-01-30,49328,158.87,5.30,5.81
2021-01-29,52131,874.00,5.31,5.30
2021-01-28,38892,1821.09,4.66,5.31
2021-01-27,38892,1821.09,4.66,4.66
2021-01-23,41564,481.82,3.27,4.66
2021-01-22,33622,539.99,4.16,3.27
2021-01-21,33622,539.99,4.16,4.16
2021-01-18,34968,100.87,3.36,4.16
2021-01-17,34968,100.87,3.36,3.36
2021-01-10,29625,263.61,3.50,3.36
2021-01-09,30143,148.13,2.96,3.50
2021-01-08,35211,253.06,3.37,2.96
2021-01-07,35211,334.50,3.52,3.37
2021-01-06,23097,180.75,3.62,3.52
2021-01-05,23097,180.75,3.62,3.62
2021-01-03,23187,4.66,2.31,3.62
2021-01-02,23187,4.66,2.31,2.31
2020-12-30,22370,140.49,2.32,2.31
2020-12-29,22370,140.49,2.32,2.32
2020-12-20,22320,158.36,2.24,2.32
2020-12-19,22320,269.60,2.23,2.24
2020-12-18,26714,112.65,2.68,2.23
2020-12-17,26741,228.42,2.63,2.68
2020-12-16,26741,228.42,2.63,2.63
2020-12-13,26581,8.02,2.67,2.63
2020-12-12,25739,55.30,2.60,2.67
2020-12-11,25739,5.59,2.57,2.60
2020-12-10,26010,5.82,2.65,2.57
2020-12-09,24895,1184.14,2.63,2.65
2020-12-08,24895,1184.14,2.63,2.63
2020-12-02,27198,27.34,2.73,2.63
2020-12-01,27198,27.34,2.73,2.73
2020-11-30,23040,53.83,2.56,2.73
2020-11-29,23024,1.31,2.30,2.56
2020-11-28,22681,210.38,2.27,2.30
2020-11-27,28568,165.39,2.07,2.27
2020-11-26,28528,90.42,2.86,2.07
2020-11-25,28188,281.47,2.82,2.86
2020-11-24,28967,91.46,3.03,2.82
2020-11-23,26143,162.09,2.70,3.03
2020-11-22,26143,162.09,2.70,2.70
2020-11-20,24237,96.99,2.43,2.70
2020-11-19,24808,529.90,2.44,2.43
2020-11-18,21484,108.23,2.16,2.44
2020-11-17,21484,174.98,2.15,2.16
2020-11-16,20964,105.25,2.11,2.15
2020-11-15,20950,63.57,2.11,2.11
2020-11-14,22089,19.88,2.21,2.11
2020-11-13,21173,719.44,2.15,2.21
2020-11-12,18830.98,885.03,1.88,2.15
2020-11-11,20412,1881.41,2.05,1.88
2020-11-10,18760.18,21.67,2.00,2.05
2020-11-09,18760.18,21.67,2.00,2.00
2020-11-06,18790.99,51.78,1.88,2.00
2020-11-05,18165.11,1054.60,1.91,1.88
2020-11-04,18885.60,9.38,1.88,1.91
2020-11-03,18885.60,47.21,1.89,1.88
2020-11-02,19165.92,451.88,1.97,1.89
2020-11-01,19629.49,5590.06,1.97,1.97
2020-10-31,18782.60,1145.83,1.88,1.97
2020-10-30,20368,1052.23,2.01,1.88
2020-10-29,23869,3083.43,2.39,2.01
2020-10-28,26478,11543.41,2.65,2.39
