date,mktcap,vol,open_price,close_price
2021-10-04,763097,1231.74,0.00763097,0.00748556
2021-10-03,775550,1175.33,0.00774352,0.00763097
2021-10-02,735653,2232.57,0.00732537,0.00774352
2021-10-01,663364,2459.00,0.00664565,0.00732537
2021-09-30,624281,983.49,0.00624281,0.00664565
2021-09-29,567455,850.82,0.00564889,0.00624281
2021-09-28,581495,126.44,0.00572891,0.00564889
2021-09-27,589901,1683.22,0.00578373,0.00572891
2021-09-26,583456,1458.74,0.00582609,0.00578373
2021-09-25,589593,101.11,0.00594782,0.00582609
2021-09-24,644404,719.56,0.00644404,0.00594782
2021-09-23,639837,1233.24,0.00641748,0.00644404
2021-09-22,585548,1310.10,0.00584992,0.00641748
2021-09-21,616405,5520.60,0.00613649,0.00584992
2021-09-20,714520,1769.19,0.00718218,0.00613649
2021-09-19,716713,74.25,0.00719599,0.00718218
2021-09-18,709264,1389.56,0.00709264,0.00719599
2021-09-17,742843,1380.88,0.00748473,0.00709264
2021-09-16,790305,1603.03,0.00786076,0.00748473
2021-09-15,754809,499.84,0.00762947,0.00786076
2021-09-14,741262,781.64,0.00736396,0.00762947
2021-09-13,773647,376.35,0.00773612,0.00736396
2021-09-12,753606,363.75,0.00751720,0.00773612
2021-09-11,736304,506.95,0.00737148,0.00751720
2021-09-10,784395,6177.61,0.00784731,0.00737148
2021-09-09,792776,407.08,0.00792427,0.00784731
2021-09-08,787107,2134.25,0.00795566,0.00792427
2021-09-07,960251,6722.76,0.00953926,0.00795566
2021-09-06,991930,1296.26,0.00989201,0.00953926
2021-09-05,992937,1828.40,0.00996646,0.00989201
2021-09-04,982799,1102.95,0.00982165,0.00996646
2021-09-03,986091,2187.96,0.00986596,0.00982165
2021-09-02,998957,2101.71,0.00989806,0.00986596
2021-09-01,953520,2920.35,0.00952178,0.00989806
2021-08-31,998384,2403.95,0.00994095,0.00952178
2021-08-30,1005757,84.49,0.01005680,0.00994095
2021-08-29,1008171,1469.80,0.01012518,0.01005680
2021-08-28,1016298,1104.91,0.01022422,0.01012518
2021-08-27,1015433,1186.61,0.01013542,0.01022422
2021-08-26,1054113,1967.67,0.01050853,0.01013542
2021-08-25,1013755,2213.83,0.01006082,0.01050853
2021-08-24,1079002,2327.83,0.01067871,0.01006082
2021-08-23,931135,970.10,0.00931309,0.01067871
2021-08-22,952352,1130.12,0.00960399,0.00931309
2021-08-21,963492,5252.85,0.00967688,0.00960399
2021-08-20,921784,507.26,0.00938659,0.00967688
2021-08-19,866676,630.71,0.00866676,0.00938659
2021-08-18,885848,1036.91,0.00884178,0.00866676
2021-08-17,924076,646.71,0.00917627,0.00884178
2021-08-16,908381,510.17,0.00908381,0.00917627
2021-08-15,899508,415.21,0.00899152,0.00908381
2021-08-14,892485,2553.98,0.00894302,0.00899152
2021-08-13,853330,937.70,0.00853330,0.00894302
2021-08-12,883452,1288.10,0.00885229,0.00853330
2021-08-11,846200,4720.49,0.00843615,0.00885229
2021-08-10,824816,393.95,0.00827365,0.00843615
2021-08-09,802087,382.44,0.00798965,0.00827365
2021-08-08,825448,810.17,0.00837397,0.00798965
2021-08-07,800707,1649.48,0.00799793,0.00837397
2021-08-06,798814,1222.93,0.00798814,0.00799793
2021-08-05,794221,2173.45,0.00795419,0.00798814
2021-08-04,779501,1071.18,0.00777185,0.00795419
2021-08-03,805149,778.29,0.00804465,0.00777185
2021-08-02,823195,929.87,0.00807779,0.00804465
2021-08-01,811789,7211.52,0.00809807,0.00807779
2021-07-31,741061,4237.35,0.00743296,0.00809807
2021-07-30,751015,4388.39,0.00729408,0.00743296
2021-07-29,752318,1296.39,0.00752307,0.00729408
2021-07-28,746434,1077.74,0.00748246,0.00752307
2021-07-27,738149,927.06,0.00730831,0.00748246
2021-07-26,721803,304.58,0.00734281,0.00730831
2021-07-25,719172,569.28,0.00721259,0.00734281
2021-07-24,714677,3959.28,0.00715809,0.00721259
2021-07-23,732819,4656.75,0.00734949,0.00715809
2021-07-22,746801,1958.10,0.00747422,0.00734949
2021-07-21,689607,843.60,0.00693768,0.00747422
2021-07-20,740618,3309.48,0.00741162,0.00693768
2021-07-19,567233,681.74,0.00815492,0.00741162
2021-07-18,564086,320.78,0.00814111,0.00815492
2021-07-17,572229,2038.08,0.00822069,0.00814111
2021-07-16,604600,1332.67,0.00879632,0.00822069
2021-07-15,593726,3912.10,0.00853181,0.00879632
2021-07-14,614555,1866.85,0.00876609,0.00853181
2021-07-13,636224,3494.33,0.00906775,0.00876609
2021-07-12,652172,1783.92,0.00924620,0.00906775
2021-07-11,638950,5803.49,0.00911948,0.00924620
2021-07-10,649005,4035.46,0.00922392,0.00911948
2021-07-09,0.000000000000,12228.09,0.00916931,0.00922392
2021-07-08,0.000000000000,10221.11,0.01043561,0.00916931
2021-07-07,0.000000000000,8210.22,0.01052034,0.01043561
2021-07-06,0.000000000000,16501.02,0.01039140,0.01052034
2021-07-05,0.000000000000,44027,0.01124348,0.01039140
2021-07-04,0.000000000000,14690.11,0.01051586,0.01124348
2021-07-03,0.000000000000,171580,0.01019775,0.01051586
2021-07-02,0.000000000000,5171.30,0.00703741,0.01019775
2021-07-01,0.000000000000,889.30,0.00724634,0.00703741
2021-06-30,0.000000000000,9401.78,0.00762428,0.00724634
2021-06-29,0.000000000000,10886.75,0.00731376,0.00762428
2021-06-28,0.000000000000,2174.03,0.00687688,0.00731376
2021-06-27,0.000000000000,745.97,0.00660141,0.00687688
2021-06-26,0.000000000000,6436.95,0.00680213,0.00660141
2021-06-25,0.000000000000,16847.40,0.00743304,0.00680213
2021-06-24,0.000000000000,5293.54,0.00745591,0.00743304
2021-06-23,0.000000000000,3150.15,0.00664748,0.00745591
2021-06-22,0.000000000000,3596.58,0.00714111,0.00664748
2021-06-21,0.000000000000,3708.25,0.00878198,0.00714111
2021-06-20,0.000000000000,30427,0.00871919,0.00878198
2021-06-19,0.000000000000,23397,0.00724264,0.00871919
2021-06-18,0.000000000000,5979.41,0.00904406,0.00724264
2021-06-17,0.000000000000,6161.23,0.00905069,0.00904406
2021-06-16,0.000000000000,3370.77,0.00990883,0.00905069
2021-06-15,0.000000000000,4520.96,0.00975035,0.00990883
2021-06-14,0.000000000000,24403,0.00971655,0.00975035
2021-06-13,0.000000000000,12482.99,0.00910210,0.00971655
2021-06-12,0.000000000000,16220.08,0.00936008,0.00910210
2021-06-11,0.000000000000,6048.62,0.00938749,0.00936008
2021-06-10,0.000000000000,14986.99,0.01008334,0.00938749
2021-06-09,0.000000000000,74594,0.00880038,0.01008334
2021-06-08,0.000000000000,19949.98,0.01100642,0.00880038
2021-06-07,0.000000000000,39188,0.01157349,0.01100642
2021-06-06,0.000000000000,34412,0.01247082,0.01157349
