date,mktcap,vol,open_price,close_price
2021-10-04,212298447,2918920,0.542296,0.555983
2021-10-03,210762016,10959256,0.539371,0.542296
2021-10-02,203962912,2052240,0.513917,0.539371
2021-10-01,182922308,2665539,0.468649,0.513917
2021-09-30,167979620,1787935,0.434608,0.468649
2021-09-29,170394935,5877859,0.436613,0.434608
2021-09-28,186404898,6889224,0.476583,0.436613
2021-09-27,189711757,15442417,0.498185,0.476583
2021-09-26,189805494,1487843,0.487425,0.498185
2021-09-25,196570586,2835055,0.495942,0.487425
2021-09-24,204815405,1753462,0.525000,0.495942
2021-09-23,199603513,2478638,0.514330,0.525000
2021-09-22,181569525,3177744,0.462470,0.514330
2021-09-21,196910778,4498240,0.505431,0.462470
2021-09-20,235766067,1798376,0.604431,0.505431
2021-09-19,251993011,2316215,0.633290,0.604431
2021-09-18,253076663,3802370,0.632308,0.633290
2021-09-17,249233931,19082781,0.639074,0.632308
2021-09-16,254728985,6015128,0.652967,0.639074
2021-09-15,237553226,3290699,0.609055,0.652967
2021-09-14,232714514,4223225,0.596608,0.609055
2021-09-13,249108107,3032919,0.638636,0.596608
2021-09-12,250919692,3083719,0.624007,0.638636
2021-09-11,250126905,4066771,0.641248,0.624007
2021-09-10,243479165,2361447,0.619575,0.641248
2021-09-09,229639969,5189123,0.594835,0.619575
2021-09-08,231427245,5459005,0.595799,0.594835
2021-09-07,277653944,28943793,0.716323,0.595799
2021-09-06,268802077,47952463,0.696811,0.716323
2021-09-05,285205729,33692168,0.744333,0.696811
2021-09-04,254192530,38557559,0.655089,0.744333
2021-09-03,238209302,12862934,0.614515,0.655089
2021-09-02,237978039,29433726,0.612597,0.614515
2021-09-01,228059510,33167695,0.586563,0.612597
2021-08-31,221692762,6947431,0.571379,0.586563
2021-08-30,228844974,11643588,0.590517,0.571379
2021-08-29,224852932,6588623,0.579428,0.590517
2021-08-28,229251334,8464151,0.590280,0.579428
2021-08-27,220227904,11094857,0.567506,0.590280
2021-08-26,234889817,14523343,0.604040,0.567506
2021-08-25,228051969,68644511,0.586384,0.604040
2021-08-24,231778637,37408424,0.591330,0.586384
2021-08-23,219255643,11984968,0.564463,0.591330
2021-08-22,221588960,13836468,0.569771,0.564463
2021-08-21,218229623,15821582,0.564016,0.569771
2021-08-20,209078051,7567666,0.543379,0.564016
2021-08-19,207425904,12400247,0.533572,0.543379
2021-08-18,209524438,13883871,0.539411,0.533572
2021-08-17,228360676,10961998,0.589984,0.539411
2021-08-16,232202058,16968774,0.597062,0.589984
2021-08-15,232945339,8597413,0.597160,0.597062
2021-08-14,219467817,13311539,0.563519,0.597160
2021-08-13,207281706,19912078,0.534567,0.563519
2021-08-12,216627778,16065421,0.559439,0.534567
2021-08-11,206498523,11118088,0.533641,0.559439
2021-08-10,205436525,10225646,0.534685,0.533641
2021-08-09,205647781,18190064,0.529015,0.534685
2021-08-08,211413745,24663284,0.545177,0.529015
2021-08-07,200396072,11897179,0.517267,0.545177
2021-08-06,194526923,15505533,0.501391,0.517267
2021-08-05,188591318,10496128,0.491410,0.501391
2021-08-04,187515646,11325564,0.482345,0.491410
2021-08-03,193575133,15973427,0.498889,0.482345
2021-08-02,184564049,18874260,0.481181,0.498889
2021-08-01,197755015,15625599,0.511495,0.481181
2021-07-31,190339926,36365230,0.490859,0.511495
2021-07-30,185347028,8643973,0.476965,0.490859
2021-07-29,169088779,15894952,0.438655,0.476965
