date,mktcap,vol,open_price,close_price
2021-10-03,1993.02,0.182641,0.728386,0.728386
2021-10-02,1997.00,625.65,0.663975,0.728386
2021-10-01,1997.00,625.65,0.663975,0.663975
2021-09-11,1997.00,0.000000000000,0.665299,0.663975
2021-09-10,2132.86,2.00,0.665299,0.665299
2021-09-09,2132.86,2.00,0.665299,0.665299
2021-09-04,2132.86,0.000000000000,0.710562,0.665299
2021-09-03,2130.82,1017.41,0.710562,0.710562
2021-09-02,1997.63,1136.86,0.848118,0.710562
2021-09-01,1997.63,1136.86,0.848118,0.848118
2021-08-27,1822.13,241.65,0.583696,0.848118
2021-08-26,1926.92,59.45,0.620904,0.583696
2021-08-25,1926.92,59.45,0.620904,0.620904
2021-08-23,1926.92,343.38,0.641952,0.620904
2021-08-22,1794.39,373.85,0.698905,0.641952
2021-08-21,1794.39,373.85,0.698905,0.698905
2021-08-19,1402.74,247.49,0.597802,0.698905
2021-08-18,1402.74,247.49,0.597802,0.597802
2021-08-01,1398.78,5.54,0.467322,0.597802
2021-07-31,1382.24,5.47,0.461418,0.467322
2021-07-30,1288.53,9.46,0.428173,0.461418
2021-07-29,1268.87,221.25,0.429291,0.428173
2021-07-28,1268.87,221.25,0.429291,0.429291
2021-07-10,1415.29,4.25,0.424966,0.429291
2021-07-09,1415.29,4.25,0.424966,0.424966
2021-07-08,1265.28,243.01,0.471505,0.424966
2021-07-07,1265.28,243.01,0.471505,0.471505
2021-07-05,1030.88,0.00843054,0.421527,0.471505
2021-07-04,1030.88,0.00843054,0.421527,0.421527
2021-06-28,1031.15,0.428537,0.343437,0.421527
2021-06-27,1031.15,0.428537,0.343437,0.343437
2021-06-21,1199.47,4415.63,0.399604,0.343437
2021-06-20,1199.47,4415.63,0.399604,0.399604
2021-06-10,35002,653.00,11.66,0.399604
2021-06-09,35329,334.05,11.77,11.66
2021-06-08,36847,698.21,12.47,11.77
2021-06-07,36847,698.21,12.47,12.47
2021-05-28,46330,351.92,12.44,12.47
2021-05-27,46330,351.92,12.44,12.44
2021-05-20,46330,97.07,15.43,12.44
2021-05-19,46110,160.75,15.20,15.43
2021-05-18,45424,253.22,15.02,15.20
2021-05-17,45424,253.22,15.02,15.02
2021-04-09,26810,366.51,8.97,15.02
2021-04-08,29179,7574.40,8.90,8.97
2021-04-07,29179,7574.40,8.90,8.90
2021-03-22,18793.09,80.39,8.05,8.90
2021-03-21,18793.09,80.39,8.05,8.05
2021-01-30,16552.77,21.63,6.26,8.05
2021-01-29,16552.77,21.63,6.26,6.26
2021-01-17,16552.77,26.73,5.51,6.26
2021-01-16,16552.77,26.73,5.51,5.51
2021-01-12,16855.33,56.15,5.62,5.51
2021-01-11,16855.33,56.15,5.62,5.62
2021-01-10,16716.51,37.99,5.59,5.62
2021-01-09,16812.26,2380.78,5.55,5.59
2021-01-08,21187,15604.41,7.30,5.55
2021-01-07,112711,11266.73,39.49,7.30
2021-01-06,159181,13574.78,60.09,39.49
2021-01-05,0.000000000000,12644.58,51.57,60.09
2021-01-04,0.000000000000,77366,61.03,51.57
2021-01-03,0.000000000000,285688,55.85,61.03
2021-01-02,0.000000000000,285688,55.85,55.85
