date,mktcap,vol,open_price,close_price
2021-10-04,11165012,226436,2.11,1.79
2021-10-03,11863997,398242,2.19,2.11
2021-10-02,10733942,111752,2.01,2.19
2021-10-01,9420311,107599,1.77,2.01
2021-09-30,9637324,182634,1.81,1.77
2021-09-29,9364009,182304,1.74,1.81
2021-09-28,10450071,132737,1.92,1.74
2021-09-27,10674329,138498,2.00,1.92
2021-09-26,10995837,88044,2.06,2.00
2021-09-25,11045306,195462,2.07,2.06
2021-09-24,12866182,283589,2.41,2.07
2021-09-23,15448888,628170,2.89,2.41
2021-09-22,12523539,139702,2.38,2.89
2021-09-21,13050187,69542,2.45,2.38
2021-09-20,15488809,213145,2.90,2.45
2021-09-19,16552368,354581,3.11,2.90
2021-09-18,16260922,367287,3.05,3.11
2021-09-17,18426958,681024,3.45,3.05
2021-09-16,17029679,205301,3.19,3.45
2021-09-15,15845368,54141,2.97,3.19
2021-09-14,15377305,178045,2.88,2.97
2021-09-13,15567996,25853,2.93,2.88
2021-09-12,15187890,2904.84,2.84,2.93
2021-09-11,14532930,357739,2.73,2.84
2021-09-10,16805049,171947,3.14,2.73
2021-09-09,17319182,105542,3.24,3.14
2021-09-08,17039104,392308,3.20,3.24
2021-09-07,21146977,728389,3.97,3.20
2021-09-06,26256952,280002,4.95,3.97
2021-09-05,25244858,269962,4.75,4.95
2021-09-04,26274562,1893484,4.94,4.75
2021-09-03,24273571,59711,4.56,4.94
2021-09-02,23875313,305168,4.49,4.56
2021-09-01,21890885,292922,4.12,4.49
2021-08-31,21577539,94657,4.04,4.12
2021-08-30,21240505,96154,3.93,4.04
2021-08-29,22089645,291087,4.14,3.93
2021-08-28,20132614,486351,3.79,4.14
2021-08-27,16795447,187233,3.15,3.79
2021-08-26,17018999,128097,3.21,3.15
2021-08-25,16997665,76673,3.17,3.21
2021-08-24,17227849,109936,3.22,3.17
2021-08-23,15837237,58778,3.00,3.22
2021-08-22,15824039,457488,2.96,3.00
2021-08-21,17098359,261700,3.21,2.96
2021-08-20,14960129,61916,2.85,3.21
2021-08-19,15027139,65610,2.82,2.85
2021-08-18,14701985,80473,2.76,2.82
2021-08-17,15508773,95397,2.90,2.76
2021-08-16,16754789,168194,3.15,2.90
2021-08-15,17574936,207990,3.29,3.15
2021-08-14,17849744,240137,3.36,3.29
2021-08-13,15040977,194177,2.86,3.36
2021-08-12,14610225,240075,2.76,2.86
2021-08-11,13666925,263277,2.56,2.76
2021-08-10,13788401,161324,2.63,2.56
2021-08-09,14229426,85157,2.67,2.63
2021-08-08,15930022,66832,3.02,2.67
2021-08-07,15482317,148579,2.90,3.02
2021-08-06,16855089,50908,3.05,2.90
2021-08-05,16925247,352462,3.17,3.05
2021-08-04,12449693,66424,2.32,3.17
2021-08-03,12879258,21863,2.42,2.32
2021-08-02,12624708,31277,2.36,2.42
2021-08-01,12699630,21828,2.38,2.36
2021-07-31,12475191,28532,2.34,2.38
2021-07-30,12588227,71746,2.37,2.34
2021-07-29,12743881,48054,2.39,2.37
2021-07-28,13675992,16949.81,2.58,2.39
2021-07-27,13232342,148891,2.49,2.58
2021-07-26,12476360,13674.60,2.38,2.49
2021-07-25,12378051,63029,2.33,2.38
2021-07-24,11617045,24654,2.19,2.33
