date,mktcap,vol,open_price,close_price
2021-10-04,2958966,28071,0.00396180,0.00393062
2021-10-03,2985884,41293,0.00398709,0.00396180
2021-10-02,2999377,29119,0.00402239,0.00398709
2021-10-01,2848142,20864,0.00380947,0.00402239
2021-09-30,2817392,34311,0.00377926,0.00380947
2021-09-29,2877344,50440,0.00383977,0.00377926
2021-09-28,2722731,40384,0.00364172,0.00383977
2021-09-27,2788864,34315,0.00373601,0.00364172
2021-09-26,2979958,44691,0.00399318,0.00373601
2021-09-25,3453464,46572,0.00457576,0.00399318
2021-09-24,3339470,45122,0.00446664,0.00457576
2021-09-23,3246877,37587,0.00435038,0.00446664
2021-09-22,3532134,42642,0.00472191,0.00435038
2021-09-21,3773554,31486,0.00506262,0.00472191
2021-09-20,4177093,46743,0.00557209,0.00506262
2021-09-19,4086896,53301,0.00550391,0.00557209
2021-09-18,4436945,86340,0.00731066,0.00550391
2021-09-17,4254247,63013,0.00570342,0.00731066
2021-09-16,3943906,50749,0.00526624,0.00570342
2021-09-15,4252164,54139,0.00570285,0.00526624
2021-09-14,4453547,58951,0.00596317,0.00570285
2021-09-13,3988393,56929,0.00522876,0.00596317
2021-09-12,4557967,139577,0.00635047,0.00522876
2021-09-11,2557260,87632,0.00342605,0.00635047
2021-09-10,4450753,23321,0.00617272,0.00342605
2021-09-09,4700142,11538.59,0.00615893,0.00617272
2021-09-08,4485017,18707.67,0.00604707,0.00615893
2021-09-07,6778208,30706,0.00885481,0.00604707
2021-09-06,5720415,61643,0.00766501,0.00885481
2021-09-05,4681026,8958.85,0.00626730,0.00766501
2021-09-04,3912803,7427.27,0.00525508,0.00626730
2021-09-03,3872304,6990.50,0.00518497,0.00525508
2021-09-02,3466575,5626.22,0.00464871,0.00518497
2021-09-01,3146861,27527,0.00425170,0.00464871
2021-08-31,2885022,14627.52,0.00385591,0.00425170
2021-08-30,2912666,12952.23,0.00389119,0.00385591
2021-08-29,2964886,18335.55,0.00396952,0.00389119
2021-08-28,2973277,21573,0.00399970,0.00396952
2021-08-27,3094042,28234,0.00414162,0.00399970
2021-08-26,2786222,31521,0.00373086,0.00414162
2021-08-25,2937869,36066,0.00392453,0.00373086
2021-08-24,2847945,33673,0.00381719,0.00392453
2021-08-23,2912380,33054,0.00391687,0.00381719
2021-08-22,2869467,28687,0.00382424,0.00391687
2021-08-21,2514519,24535,0.00337056,0.00382424
2021-08-20,2462542,34316,0.00332829,0.00337056
2021-08-19,2474039,28431,0.00331521,0.00332829
2021-08-18,2416291,28546,0.00323906,0.00331521
2021-08-17,2537315,28692,0.00334909,0.00323906
2021-08-16,2479146,13210.91,0.00333065,0.00334909
2021-08-15,2673840,26561,0.00355917,0.00333065
2021-08-14,2270987,28799,0.00304464,0.00355917
2021-08-13,2232019,33634,0.00299070,0.00304464
2021-08-12,2170487,31667,0.00290289,0.00299070
2021-08-11,2033509,29815,0.00275371,0.00290289
2021-08-10,1962175,32825,0.00262929,0.00275371
2021-08-09,2042989,18728.12,0.00273806,0.00262929
2021-08-08,1933527,19355.70,0.00259301,0.00273806
2021-08-07,2021422,14492.02,0.00270024,0.00259301
2021-08-06,1957184,14282.32,0.00261646,0.00270024
2021-08-05,1921706,19947.98,0.00256710,0.00261646
2021-08-04,1971262,23370,0.00264404,0.00256710
