date,mktcap,vol,open_price,close_price
2021-10-04,2115961,64540,0.256098,0.273961
2021-10-03,2126977,49695,0.251913,0.256098
2021-10-02,2106319,73708,0.251271,0.251913
2021-10-01,2030482,90116,0.241439,0.251271
2021-09-30,1966323,92774,0.233667,0.241439
2021-09-29,1949144,63605,0.231060,0.233667
2021-09-28,1955262,66228,0.232115,0.231060
2021-09-27,2023010,62120,0.238911,0.232115
2021-09-26,1999617,45098,0.236099,0.238911
2021-09-25,1959954,69922,0.231761,0.236099
2021-09-24,2057315,63239,0.244465,0.231761
2021-09-23,1980794,64003,0.236721,0.244465
2021-09-22,1937772,69976,0.222269,0.236721
2021-09-21,1964189,84882,0.232777,0.222269
2021-09-20,2104500,75273,0.251997,0.232777
2021-09-19,2080220,71537,0.248315,0.251997
2021-09-18,1831408,68536,0.220867,0.248315
2021-09-17,1841956,72106,0.216147,0.220867
2021-09-16,1813629,72826,0.217074,0.216147
2021-09-15,1823690,63816,0.216765,0.217074
2021-09-14,1773813,83367,0.212969,0.216765
2021-09-13,1798808,70453,0.209346,0.212969
2021-09-12,1725441,64325,0.204978,0.209346
2021-09-11,1468889,66700,0.174834,0.204978
2021-09-10,1522616,57531,0.180705,0.174834
2021-09-09,1509513,46709,0.178657,0.180705
2021-09-08,1760519,74227,0.208753,0.178657
2021-09-07,1944098,82868,0.230978,0.208753
2021-09-06,1916120,72541,0.226735,0.230978
2021-09-05,2729396,70823,0.321537,0.226735
2021-09-04,1789280,70029,0.215175,0.321537
2021-09-03,2590542,86795,0.305425,0.215175
2021-09-02,2169921,85999,0.270472,0.305425
2021-09-01,2256215,85084,0.271438,0.270472
2021-08-31,2267319,88567,0.269709,0.271438
2021-08-30,2137472,71978,0.256807,0.269709
2021-08-29,2451920,213585,0.292248,0.256807
2021-08-28,2477709,202898,0.298523,0.292248
2021-08-27,2555821,185411,0.303895,0.298523
2021-08-26,2652127,158136,0.315126,0.303895
2021-08-25,2315919,137594,0.274349,0.315126
2021-08-24,2685098,169578,0.320587,0.274349
2021-08-23,2649727,150964,0.314859,0.320587
2021-08-22,2565963,163251,0.304728,0.314859
2021-08-21,2306523,144661,0.273333,0.304728
2021-08-20,2177282,128413,0.268589,0.273333
2021-08-19,2431707,221893,0.291468,0.268589
2021-08-18,2493160,156297,0.390919,0.291468
2021-08-17,2589181,148981,0.300537,0.390919
2021-08-16,2990748,166513,0.355135,0.300537
2021-08-15,2691979,159087,0.319522,0.355135
2021-08-14,2683082,195210,0.321838,0.319522
2021-08-13,2819178,109470,0.339356,0.321838
2021-08-12,3160337,81863,0.375693,0.339356
2021-08-11,3558069,382239,0.421614,0.375693
2021-08-10,4188892,354820,0.500473,0.421614
2021-08-09,3906005,398264,0.464037,0.500473
2021-08-08,4213630,138306,0.500766,0.464037
2021-08-07,4192113,442460,0.498581,0.500766
2021-08-06,4204558,524576,0.502140,0.498581
2021-08-05,3865178,409583,0.450049,0.502140
2021-08-04,3755552,501785,0.446258,0.450049
2021-08-03,4334717,319016,0.489028,0.446258
2021-08-02,4536300,566628,0.542221,0.489028
2021-08-01,4623890,367711,0.549443,0.542221
2021-07-31,4464158,410235,0.530536,0.549443
2021-07-30,4331771,341351,0.514731,0.530536
2021-07-29,4193871,184127,0.497480,0.514731
2021-07-28,4235673,200925,0.505778,0.497480
2021-07-27,3851593,171464,0.457673,0.505778
2021-07-26,3835439,127475,0.453247,0.457673
2021-07-25,3744336,124726,0.444937,0.453247
2021-07-24,3505174,62585,0.426861,0.444937
2021-07-23,3459649,67335,0.410163,0.426861
2021-07-22,3530783,110228,0.420816,0.410163
2021-07-21,3306479,161028,0.392737,0.420816
2021-07-20,3373408,161860,0.402167,0.392737
2021-07-19,3382460,96889,0.401397,0.402167
2021-07-18,3399682,87273,0.403968,0.401397
2021-07-17,3464613,604549,0.411776,0.403968
2021-07-16,2768201,96251,0.327616,0.411776
2021-07-15,2585107,61397,0.307097,0.327616
2021-07-14,2406863,30534,0.285841,0.307097
2021-07-13,2883679,39902,0.342366,0.285841
2021-07-12,2618384,39116,0.308929,0.342366
2021-07-11,2613895,38507,0.304124,0.308929
2021-07-10,2850081,29884,0.335955,0.304124
2021-07-09,2772917,26267,0.330458,0.335955
2021-07-08,2956282,32240,0.351286,0.330458
2021-07-07,2788378,31459,0.332708,0.351286
2021-07-06,2765547,30800,0.329777,0.332708
2021-07-05,2842471,33861,0.337982,0.329777
2021-07-04,2648119,32024,0.315915,0.337982
2021-07-03,2858700,39109,0.342118,0.315915
2021-07-02,2826633,36316,0.343402,0.342118
2021-07-01,2940139,33740,0.356173,0.343402
2021-06-30,2662818,34392,0.317146,0.356173
2021-06-29,2821724,33083,0.332631,0.317146
2021-06-28,2552640,29086,0.306357,0.332631
2021-06-27,2332846,28266,0.278341,0.306357
2021-06-26,2604253,31959,0.309507,0.278341
2021-06-25,2746781,49820,0.328171,0.309507
2021-06-24,2801169,49396,0.335939,0.328171
2021-06-23,2615964,43764,0.307672,0.335939
2021-06-22,2594110,31583,0.310273,0.307672
2021-06-21,2876926,34431,0.341856,0.310273
2021-06-20,2870648,49154,0.342374,0.341856
2021-06-19,2896477,35870,0.343847,0.342374
2021-06-18,3352747,54632,0.402693,0.343847
2021-06-17,3292971,61937,0.393126,0.402693
2021-06-16,3740169,48756,0.444190,0.393126
2021-06-15,3582062,37319,0.418108,0.444190
2021-06-14,3442869,45376,0.409107,0.418108
2021-06-13,3304024,39547,0.390466,0.409107
2021-06-12,3443809,99094,0.407618,0.390466
2021-06-11,3355807,38170,0.398638,0.407618
2021-06-10,4055182,61046,0.482675,0.398638
2021-06-09,3904341,55359,0.461132,0.482675
2021-06-08,3851744,71067,0.453806,0.461132
2021-06-07,4151451,50267,0.492305,0.453806
2021-06-06,3840882,42502,0.456540,0.492305
2021-06-05,3897502,44191,0.462752,0.456540
2021-06-04,4365377,68758,0.518981,0.462752
2021-06-03,4301793,54407,0.516444,0.518981
2021-06-02,3905064,49790,0.460910,0.516444
2021-06-01,4061368,42298,0.481847,0.460910
2021-05-31,3538408,41953,0.421056,0.481847
2021-05-30,3253235,36660,0.380281,0.421056
2021-05-29,3556099,42097,0.427671,0.380281
2021-05-28,4067845,50629,0.482656,0.427671
2021-05-27,4284025,54324,0.511463,0.482656
2021-05-26,3832629,45763,0.455884,0.511463
2021-05-25,3891781,55719,0.461177,0.455884
2021-05-24,3050909,42811,0.364234,0.461177
2021-05-23,3499875,46673,0.415892,0.364234
2021-05-22,3529984,38848,0.419785,0.415892
2021-05-21,4169433,103663,0.496210,0.419785
2021-05-20,3854379,51902,0.446886,0.496210
2021-05-19,4955816,53377,0.593831,0.446886
2021-05-18,4870336,34360,0.577405,0.593831
2021-05-17,5652632,3872.98,0.656133,0.577405
2021-05-16,5726658,65446,0.682506,0.656133
2021-05-15,6125391,79213,0.735489,0.682506
2021-05-14,5539999,68702,0.676513,0.735489
2021-05-13,6138024,58301,0.706662,0.676513
2021-05-12,6393955,61412,0.760561,0.706662
2021-05-11,6049144,68867,0.716416,0.760561
2021-05-10,6124535,85086,0.726565,0.716416
2021-05-09,6449687,455453,0.767230,0.726565
2021-05-08,5492488,88918,0.652707,0.767230
2021-05-07,5448909,95772,0.646973,0.652707
2021-05-06,5714774,314926,0.679198,0.646973
2021-05-05,4468761,66633,0.531007,0.679198
2021-05-04,4825023,117814,0.579336,0.531007
2021-05-03,4081517,46348,0.485105,0.579336
2021-05-02,4005376,43780,0.469386,0.485105
2021-05-01,3830095,50601,0.459536,0.469386
2021-04-30,3871657,61409,0.457345,0.459536
2021-04-29,3954837,90716,0.467878,0.457345
2021-04-28,3856709,47564,0.458146,0.467878
2021-04-27,3708580,48495,0.440037,0.458146
2021-04-26,3339291,61335,0.397534,0.440037
2021-04-25,3285194,38179,0.389700,0.397534
2021-04-24,3968971,52206,0.467714,0.389700
2021-04-23,3833043,94995,0.455798,0.467714
2021-04-22,3742539,101297,0.441681,0.455798
2021-04-21,3593581,69685,0.424274,0.441681
2021-04-20,3342862,54172,0.397222,0.424274
