date,mktcap,vol,open_price,close_price
2021-09-28,189969,174.16,37.11,37.11
2021-09-27,189969,174.16,37.11,37.11
2021-09-21,189969,0.000000000000,40.92,37.11
2021-09-20,201100,328.56,40.92,40.92
2021-09-18,201100,0.000000000000,43.31,40.92
2021-09-17,186862,215.62,43.31,43.31
2021-09-16,186862,215.62,43.31,43.31
2021-09-14,186862,0.000000000000,40.25,43.31
2021-09-13,191226,1626.93,41.05,40.25
2021-09-12,187814,0.000000000000,40.45,41.05
2021-09-11,219339,605.44,40.45,40.45
2021-09-10,219339,605.44,40.45,40.45
2021-09-06,219339,0.000000000000,47.24,40.45
2021-09-05,219225,3430.23,47.17,47.24
2021-09-04,219225,3430.23,47.17,47.17
2021-09-03,184941,0.000000000000,39.83,47.17
2021-09-02,184941,0.000000000000,39.83,39.83
2021-08-30,182885,26.13,39.83,39.83
2021-08-29,184431,119.36,39.79,39.83
2021-08-28,184450,490.37,39.72,39.79
2021-08-27,184450,490.37,39.72,39.72
2021-08-26,186766,154.14,39.73,39.72
2021-08-25,186766,154.14,39.73,39.73
2021-08-22,184171,1193.20,40.23,39.73
2021-08-21,186171,1495.34,39.67,40.23
2021-08-20,186171,1495.34,39.67,39.67
2021-08-14,156177,467.65,40.06,39.67
2021-08-13,156177,467.65,40.06,40.06
2021-08-05,139630,316.50,33.64,40.06
2021-08-04,139630,316.50,33.64,33.64
2021-07-31,133485,344.23,30.07,33.64
2021-07-30,133333,502.99,28.75,30.07
2021-07-29,133333,502.99,28.75,28.75
2021-07-27,139097,386.52,28.09,28.75
2021-07-26,126616,1180.25,27.01,28.09
2021-07-25,126863,1962.60,27.54,27.01
2021-07-24,126863,1962.60,27.54,27.54
2021-07-20,109010,1977.26,23.48,27.54
2021-07-19,109010,1977.26,23.48,23.48
2021-07-13,124751,408.72,26.87,23.48
2021-07-12,124751,408.72,26.87,26.87
2021-07-10,145087,2252.05,28.18,26.87
2021-07-09,145087,2252.05,28.18,28.18
2021-07-07,138550,72.00,31.25,28.18
2021-07-06,142350,110.99,29.84,31.25
2021-07-05,142350,110.99,29.84,29.84
2021-07-03,133360,45.91,27.91,29.84
2021-07-02,131781,97.66,28.72,27.91
2021-07-01,131927,1015.87,30.30,28.72
2021-06-30,129479,2057.10,28.81,30.30
2021-06-29,129479,2057.10,28.81,28.81
2021-06-25,127803,390.52,27.89,28.81
2021-06-24,124598,932.17,26.84,27.89
2021-06-23,137078,405.27,26.48,26.84
2021-06-22,137078,405.27,26.48,26.48
2021-06-21,137335,42.43,29.52,26.48
2021-06-20,143855,1717.92,30.98,29.52
2021-06-19,141779,4034.43,31.31,30.98
2021-06-18,158475,494.14,34.58,31.31
2021-06-17,166916,1800.03,35.06,34.58
2021-06-16,178438,2263.42,38.31,35.06
2021-06-15,161498,1216.73,37.25,38.31
2021-06-14,164913,1427.47,34.78,37.25
2021-06-13,164913,1427.47,34.78,34.78
2021-06-12,173669,194.54,37.33,34.78
2021-06-11,180735,366.27,38.93,37.33
2021-06-10,177394,2333.49,37.22,38.93
2021-06-09,177145,5439.54,38.21,37.22
2021-06-08,191138,927.58,40.87,38.21
2021-06-07,196531,458.68,42.26,40.87
2021-06-06,191875,773.67,41.29,42.26
2021-06-05,196089,1188.43,42.23,41.29
2021-06-04,204371,4605.14,45.39,42.23
2021-06-03,197921,5094.81,42.85,45.39
2021-06-02,194549,2719.60,42.21,42.85
2021-06-01,201425,2971.27,43.22,42.21
2021-05-31,188470,128.41,41.11,43.22
2021-05-30,190363,626.74,37.43,41.11
2021-05-29,195210,4396.14,42.41,37.43
2021-05-28,222434,48.32,49.38,42.41
2021-05-27,221243,117.32,47.91,49.38
2021-05-26,207533,3110.40,44.14,47.91
2021-05-25,210629,751.10,45.37,44.14
2021-05-24,171646,6893.60,36.46,45.37
2021-05-23,202779,1004.01,43.62,36.46
2021-05-22,243524,1625.37,50.79,43.62
2021-05-21,243463,2896.57,52.45,50.79
2021-05-20,233235,6105.11,48.78,52.45
