date,mktcap,vol,open_price,close_price
2021-10-04,29818569,319884,5.30,5.46
2021-10-03,29460099,281154,5.24,5.30
2021-10-02,28678012,182269,5.09,5.24
2021-10-01,28625337,188427,5.07,5.09
2021-09-30,28257255,532631,5.03,5.07
2021-09-29,31501709,466258,5.61,5.03
2021-09-28,31874033,305638,5.65,5.61
2021-09-27,28104609,220482,5.02,5.65
2021-09-26,28750321,251540,5.11,5.02
2021-09-25,28665478,582810,5.10,5.11
2021-09-24,30496553,192011,5.42,5.10
2021-09-23,30823502,474892,5.48,5.42
2021-09-22,29159355,564284,5.19,5.48
2021-09-21,30690661,273236,5.50,5.19
2021-09-20,32526619,140235,5.76,5.50
2021-09-19,32094909,134864,5.71,5.76
2021-09-18,31928828,377621,5.66,5.71
2021-09-17,33560115,212819,5.97,5.66
2021-09-16,34166109,376824,6.08,5.97
2021-09-15,35372716,239793,6.30,6.08
2021-09-14,36205661,1240799,6.44,6.30
2021-09-13,40303967,456223,7.16,6.44
2021-09-12,39515012,823197,7.02,7.16
2021-09-11,37651325,978856,6.70,7.02
2021-09-10,0.000000000000,2656090,6.64,6.70
2021-09-09,0.000000000000,1212979,6.15,6.64
2021-09-08,0.000000000000,1344707,4.93,6.15
2021-09-07,0.000000000000,620914,4.67,4.93
2021-09-06,0.000000000000,709061,4.41,4.67
2021-09-05,0.000000000000,356897,4.10,4.41
2021-09-04,0.000000000000,501367,3.80,4.10
2021-09-03,0.000000000000,257574,3.61,3.80
2021-09-02,0.000000000000,177568,3.55,3.61
2021-09-01,0.000000000000,294222,3.57,3.55
2021-08-31,0.000000000000,191487,3.57,3.57
2021-08-30,0.000000000000,340858,3.57,3.57
2021-08-29,0.000000000000,736566,3.50,3.57
2021-08-28,0.000000000000,515842,3.31,3.50
2021-08-27,0.000000000000,248210,3.42,3.31
2021-08-26,0.000000000000,219668,3.46,3.42
2021-08-25,0.000000000000,348834,3.42,3.46
2021-08-24,0.000000000000,297257,3.44,3.42
2021-08-23,0.000000000000,122970,3.27,3.44
2021-08-22,0.000000000000,204769,3.22,3.27
2021-08-21,0.000000000000,493462,3.16,3.22
2021-08-20,0.000000000000,315797,2.84,3.16
2021-08-19,0.000000000000,748708,2.84,2.84
2021-08-18,0.000000000000,664779,2.70,2.84
2021-08-17,0.000000000000,653069,2.59,2.70
2021-08-16,0.000000000000,198265,2.78,2.59
2021-08-15,0.000000000000,207068,2.62,2.78
2021-08-14,0.000000000000,136382,2.52,2.62
2021-08-13,0.000000000000,11739.66,2.37,2.52
2021-08-12,0.000000000000,15741.00,2.37,2.37
2021-08-11,0.000000000000,55656,2.37,2.37
2021-08-10,0.000000000000,222669,2.38,2.37
2021-08-09,0.000000000000,41527,2.33,2.38
2021-08-08,0.000000000000,95772,2.30,2.33
2021-08-07,0.000000000000,14205.59,2.26,2.30
2021-08-06,0.000000000000,65113,2.25,2.26
2021-08-05,0.000000000000,47420,2.29,2.25
2021-08-04,0.000000000000,22151,2.26,2.29
2021-08-03,0.000000000000,92245,2.23,2.26
2021-08-02,0.000000000000,7847.01,2.17,2.23
2021-08-01,0.000000000000,33439,2.17,2.17
2021-07-31,0.000000000000,35114,2.15,2.17
2021-07-30,0.000000000000,5627.75,2.09,2.15
2021-07-29,0.000000000000,7480.18,2.08,2.09
2021-07-28,0.000000000000,74856,2.09,2.08
2021-07-27,0.000000000000,2690.50,2.11,2.09
2021-07-26,0.000000000000,9564.84,2.12,2.11
2021-07-25,0.000000000000,7727.42,2.12,2.12
2021-07-24,0.000000000000,14951.55,2.12,2.12
2021-07-23,0.000000000000,31606,2.11,2.12
2021-07-22,0.000000000000,17261.91,2.10,2.11
2021-07-21,0.000000000000,1066.35,2.13,2.10
2021-07-20,0.000000000000,2562.67,2.20,2.13
2021-07-19,0.000000000000,3926.88,2.18,2.20
2021-07-18,0.000000000000,9507.02,2.20,2.18
2021-07-17,0.000000000000,32424,2.17,2.20
2021-07-16,0.000000000000,8517.65,2.09,2.17
2021-07-15,0.000000000000,639.88,2.05,2.09
2021-07-14,0.000000000000,7888.80,2.06,2.05
2021-07-13,0.000000000000,659.01,2.07,2.06
2021-07-12,0.000000000000,2373.43,2.07,2.07
2021-07-11,0.000000000000,14058.93,2.08,2.07
2021-07-10,0.000000000000,5063.50,2.07,2.08
2021-07-09,0.000000000000,10647.06,2.08,2.07
2021-07-08,0.000000000000,7844.65,2.09,2.08
2021-07-07,0.000000000000,32409,2.09,2.09
2021-07-06,0.000000000000,6517.06,2.10,2.09
2021-07-05,0.000000000000,25940,2.14,2.10
2021-07-04,0.000000000000,25461,2.20,2.14
2021-07-03,0.000000000000,127531,2.21,2.20
2021-07-02,0.000000000000,285377,2.58,2.21
2021-07-01,0.000000000000,2406295,2.55,2.58
2021-06-30,0.000000000000,2406295,2.55,2.55
