date,mktcap,vol,open_price,close_price
2021-10-04,35893680,11547744,49.54,45.89
2021-10-03,35893680,10756409,53.02,49.54
2021-10-02,35893680,14251267,52.60,53.02
2021-10-01,235149656,30949466,52.14,52.60
2021-09-30,393871000,23562993,46.31,52.14
2021-09-29,193702692,19264984,42.92,46.31
2021-09-28,185948469,16839269,41.20,42.92
2021-09-27,170946552,9630940,37.85,41.20
2021-09-26,156822135,6426678,34.75,37.85
2021-09-25,152282514,5285223,33.20,34.75
2021-09-24,157108396,9054747,36.85,33.20
2021-09-23,143075579,8755741,33.56,36.85
2021-09-22,125789505,6037000,29.63,33.56
2021-09-21,133869483,5715040,31.52,29.63
2021-09-20,155112552,4914094,36.48,31.52
2021-09-19,157501930,8924318,36.89,36.48
2021-09-18,149228504,11459566,35.03,36.89
2021-09-17,157316358,8937722,36.76,35.03
2021-09-16,141772339,6252319,35.32,36.76
2021-09-15,130381595,5802297,32.54,35.32
2021-09-14,122146301,6023279,30.43,32.54
2021-09-13,127297977,8692902,31.69,30.43
2021-09-12,128674233,8146186,32.05,31.69
2021-09-11,127720868,16211852,31.83,32.05
2021-09-10,153066165,17415096,38.10,31.83
2021-09-09,159276157,17270713,42.07,38.10
2021-09-08,158108834,20400948,42.08,42.07
2021-09-07,190473629,22537328,50.17,42.08
2021-09-06,182527410,18208977,47.80,50.17
2021-09-05,183770693,21717057,48.34,47.80
2021-09-04,169361164,22181515,48.06,48.34
2021-09-03,176715609,26828464,49.77,48.06
2021-09-02,184515069,25319069,51.99,49.77
2021-09-01,159613787,22449042,44.96,51.99
2021-08-31,143118613,16013361,40.59,44.96
2021-08-30,143259613,16812418,40.30,40.59
2021-08-29,136703075,29420679,38.49,40.30
2021-08-28,144942547,25283832,43.87,38.49
2021-08-27,143102645,24044753,43.27,43.87
2021-08-26,109394017,15644944,33.09,43.27
2021-08-25,104824101,13806643,31.69,33.09
2021-08-24,104665361,14725931,31.66,31.69
2021-08-23,101297422,15518179,30.61,31.66
2021-08-22,99753039,23000224,30.18,30.61
2021-08-21,95205951,25177426,31.18,30.18
2021-08-20,66010287,9428981,21.73,31.18
2021-08-19,61967552,13745324,20.22,21.73
2021-08-18,75227263,16131201,24.47,20.22
2021-08-17,72739695,4265719,23.62,24.47
2021-08-16,65465080,6119149,21.45,23.62
2021-08-15,58335526,7612428,18.99,21.45
2021-08-14,52014845,6733699,18.53,18.99
2021-08-13,44433150,5197562,15.89,18.53
2021-08-12,52686711,12793534,18.82,15.89
2021-08-11,50366774,14205747,18.02,18.82
2021-08-10,60830089,34798985,22.00,18.02
2021-08-09,54196494,20633264,18.75,22.00
2021-08-08,0.000000000000,8680732,10.23,18.75
2021-08-07,0.000000000000,8680732,10.23,10.23
