date,mktcap,vol,open_price,close_price
2021-10-04,1995461,34023,36.87,37.39
2021-10-03,2079075,89717,38.33,36.87
2021-10-02,2112668,177471,39.10,38.33
2021-10-01,2135924,96125,39.60,39.10
2021-09-30,2191715,33778,41.87,39.60
2021-09-29,1964041,43134,36.16,41.87
2021-09-28,1986488,106587,36.63,36.16
2021-09-27,2290486,57689,41.56,36.63
2021-09-26,2417780,177205,44.42,41.56
2021-09-25,2727326,133523,49.93,44.42
2021-09-24,2772101,161620,51.11,49.93
2021-09-23,2573140,130110,47.24,51.11
2021-09-22,2162316,70762,39.79,47.24
2021-09-21,2224319,55476,40.94,39.79
2021-09-20,2657795,70502,48.99,40.94
2021-09-19,2619206,155973,48.32,48.99
2021-09-18,2500084,40617,45.93,48.32
2021-09-17,2566347,91597,47.33,45.93
2021-09-16,2623819,75415,48.30,47.33
2021-09-15,2353335,42903,43.39,48.30
2021-09-14,2393556,14343.66,44.12,43.39
2021-09-13,2578940,31020,47.55,44.12
2021-09-12,2621290,82766,48.33,47.55
2021-09-11,2693932,33759,49.67,48.33
2021-09-10,2965375,213916,54.62,49.67
2021-09-09,2908097,82022,53.96,54.62
2021-09-08,2882327,250782,53.13,53.96
2021-09-07,3422175,277173,63.09,53.13
2021-09-06,2791032,140416,51.43,63.09
2021-09-05,2588521,128295,47.69,51.43
2021-09-04,2544752,46486,46.90,47.69
2021-09-03,2480556,194700,45.83,46.90
2021-09-02,2895551,157529,53.46,45.83
2021-09-01,2626748,125129,48.41,53.46
2021-08-31,2725940,259005,50.20,48.41
2021-08-30,2336449,41315,43.00,50.20
2021-08-29,2347432,205949,43.31,43.00
2021-08-28,2532104,252327,46.24,43.31
2021-08-27,2333142,251103,43.00,46.24
2021-08-26,2556214,91190,45.56,43.00
2021-08-25,2311683,210038,42.64,45.56
2021-08-24,2599229,254724,47.78,42.64
2021-08-23,2388732,212482,47.59,47.78
2021-08-22,2391242,266107,44.05,47.59
2021-08-21,2463745,266790,45.77,44.05
2021-08-20,2113381,108146,40.20,45.77
2021-08-19,2122575,73505,39.60,40.20
2021-08-18,2027240,147743,38.03,39.60
2021-08-17,2169040,253886,40.39,38.03
2021-08-16,2096218,194847,39.74,40.39
2021-08-15,2258479,60631,42.59,39.74
2021-08-14,2278217,224941,42.80,42.59
2021-08-13,2188094,130031,41.14,42.80
2021-08-12,2283202,213530,42.94,41.14
2021-08-11,2268436,213433,42.50,42.94
2021-08-10,2397718,327701,45.61,42.50
2021-08-09,2314736,403552,43.60,45.61
2021-08-08,2396761,426579,45.74,43.60
2021-08-07,2335806,550429,44.15,45.74
2021-08-06,2471862,390184,46.73,44.15
2021-08-05,2541731,77219,47.81,46.73
2021-08-04,2493570,362705,46.72,47.81
2021-08-03,2767434,589619,51.84,46.72
2021-08-02,2693427,373222,50.85,51.84
2021-08-01,2663576,367692,49.89,50.85
2021-07-31,2646188,397242,50.12,49.89
2021-07-30,2774821,422320,52.24,50.12
