date,mktcap,vol,open_price,close_price
2021-10-04,1347518593,64912086,1.00,0.999944
2021-10-03,1345489056,65079426,1.00,1.00
2021-10-02,1342884632,138405908,1.00,1.00
2021-10-01,1340066695,138263896,1.00,1.00
2021-09-30,1404665529,99666339,1.00,1.00
2021-09-29,1460183889,97533801,0.996570,1.00
2021-09-28,1451386972,111532690,0.999323,0.996570
2021-09-27,1463750300,116634144,1.01,0.999323
2021-09-26,1461127212,85694855,1.00,1.01
2021-09-25,1451313607,130572013,1.00,1.00
2021-09-24,1440031325,105258901,1.00,1.00
2021-09-23,1417555645,141159524,1.00,1.00
2021-09-22,1397554379,146513508,0.997121,1.00
2021-09-21,1393913806,143995083,1.00,0.997121
2021-09-20,1406056334,63402211,1.00,1.00
2021-09-19,1399492996,73425116,1.00,1.00
2021-09-18,1406253255,87755107,1.00,1.00
2021-09-17,1408761376,87886517,1.00,1.00
2021-09-16,1404233150,89338025,1.00,1.00
2021-09-15,1414564702,87780881,1.00,1.00
2021-09-14,1406201619,100316581,1.00,1.00
2021-09-13,1447163145,60306910,0.998862,1.00
2021-09-12,1447345414,55369251,1.00,0.998862
2021-09-11,1442077044,86868811,1.00,1.00
2021-09-10,1433854956,80700663,1.00,1.00
2021-09-09,1422782358,137514225,1.00,1.00
2021-09-08,1419944803,185499138,1.00,1.00
2021-09-07,1405446557,65683685,1.00,1.00
2021-09-06,1394539126,56252762,0.999182,1.00
2021-09-05,1394206457,53896014,1.00,0.999182
2021-09-04,1390412507,66953684,1.00,1.00
2021-09-03,1381929883,78570198,1.00,1.00
2021-09-02,1417404545,59611442,1.00,1.00
2021-09-01,1406752307,72258915,1.00,1.00
2021-08-31,1396343174,61468890,0.995807,1.00
2021-08-30,1393061259,51355844,0.999416,0.995807
2021-08-29,1405387357,50342753,1.00,0.999416
2021-08-28,1402274741,62336526,0.999854,1.00
2021-08-27,1391509807,54079293,1.00,0.999854
2021-08-26,1380257757,48012235,1.00,1.00
2021-08-25,1399062706,77212533,0.999072,1.00
2021-08-24,1397334682,80556744,0.998553,0.999072
2021-08-23,1375654557,49128929,1.00,0.998553
2021-08-22,1366902784,78065094,0.996842,1.00
2021-08-21,1351094656,64406446,0.999474,0.996842
2021-08-20,1375058256,54745406,1.00,0.999474
2021-08-19,1350284841,70328846,0.999869,1.00
2021-08-18,1287920961,73392113,0.998451,0.999869
2021-08-17,1294971750,80931053,0.999154,0.998451
2021-08-16,1291519497,76165371,0.998793,0.999154
2021-08-15,1295482831,81051774,1.00,0.998793
2021-08-14,1292704541,82183252,1.00,1.00
2021-08-13,1286899027,92653695,1.00,1.00
2021-08-12,1269052065,92629209,0.999086,1.00
2021-08-11,1271409893,85193243,1.00,0.999086
2021-08-10,1264344444,97338166,1.00,1.00
2021-08-09,1251585716,92656310,0.995319,1.00
2021-08-08,1260319719,99131551,1.00,0.995319
2021-08-07,1253482900,103704788,1.00,1.00
2021-08-06,1234937093,95244978,0.999107,1.00
2021-08-05,1223657648,82822909,1.00,0.999107
2021-08-04,1275595593,82808344,1.00,1.00
2021-08-03,1258361311,72799101,0.998706,1.00
2021-08-02,1248468545,71577621,0.997430,0.998706
2021-08-01,1254874958,73312396,0.999415,0.997430
2021-07-31,1261941512,97998853,1.00,0.999415
2021-07-30,1249107859,70572775,0.997134,1.00
2021-07-29,1240410324,86240934,1.00,0.997134
2021-07-28,1242035384,95754674,1.00,1.00
2021-07-27,1243667055,104596611,0.995472,1.00
2021-07-26,1291367059,51217181,1.01,0.995472
2021-07-25,1280043986,54893272,1.00,1.01
2021-07-24,1281158833,78471556,1.00,1.00
2021-07-23,1275379862,80860861,1.00,1.00
2021-07-22,1267062645,88682948,1.01,1.00
2021-07-21,1266615014,57107339,1.01,1.01
2021-07-20,1335628923,43026244,1.00,1.01
2021-07-19,1333559124,32885430,1.01,1.00
2021-07-18,1337981009,34062149,1.00,1.01
2021-07-17,1333969973,45247072,0.999391,1.00
2021-07-16,1389290264,45130659,1.00,0.999391
2021-07-15,1533875416,35754103,1.00,1.00
2021-07-14,1525178948,64481229,1.00,1.00
2021-07-13,1505562979,84334742,1.00,1.00
2021-07-12,1510173998,58907456,1.00,1.00
2021-07-11,1511227787,73527761,1.00,1.00
2021-07-10,1528349418,89982878,1.00,1.00
2021-07-09,1510440683,97234926,1.00,1.00
2021-07-08,1532750191,93061065,1.00,1.00
2021-07-07,1534144592,66771414,1.00,1.00
2021-07-06,1525457072,65202946,0.998529,1.00
2021-07-05,1520582029,60847062,1.00,0.998529
2021-07-04,1525922532,56788506,1.01,1.00
2021-07-03,1515360217,54313949,1.00,1.01
2021-07-02,1512483386,56329034,1.00,1.00
2021-07-01,1508997193,61442364,1.00,1.00
2021-06-30,1496905704,66017281,0.999184,1.00
2021-06-29,1410712186,60090026,1.00,0.999184
2021-06-28,1440389741,60363720,1.01,1.00
2021-06-27,1434886812,72952058,1.01,1.01
2021-06-26,1426798279,88603420,1.00,1.01
2021-06-25,1408603012,85745332,0.999854,1.00
2021-06-24,1452300784,91297153,1.00,0.999854
2021-06-23,1442546142,129948435,1.00,1.00
2021-06-22,1435446034,111812313,1.00,1.00
2021-06-21,1455193433,66294001,1.00,1.00
2021-06-20,1425361279,64359937,0.999151,1.00
2021-06-19,1431445032,75060543,1.00,0.999151
2021-06-18,1426010844,73735802,1.00,1.00
2021-06-17,1426815308,65907854,0.999634,1.00
2021-06-16,1420362289,70433295,1.00,0.999634
2021-06-15,1451709649,82762001,1.00,1.00
2021-06-14,1439668077,75401999,1.00,1.00
2021-06-13,1441872117,72236675,1.00,1.00
2021-06-12,1438877622,68876247,1.00,1.00
2021-06-11,1436207591,81762731,0.996135,1.00
2021-06-10,1680372512,101102394,1.00,0.996135
2021-06-09,1507741594,111311243,1.00,1.00
2021-06-08,1470059579,84637157,0.992629,1.00
2021-06-07,1473620699,63887471,1.00,0.992629
2021-06-06,1460220785,109841669,1.00,1.00
2021-06-05,1417773280,107750895,1.00,1.00
2021-06-04,1409462901,93511843,1.00,1.00
2021-06-03,1377721238,99053354,0.999978,1.00
2021-06-02,1377731223,98347545,1.00,0.999978
2021-06-01,1285137906,111614223,1.00,1.00
2021-05-31,1278591320,82448027,0.998594,1.00
2021-05-30,1288686824,98307130,0.999438,0.998594
2021-05-29,1285984733,155225343,1.00,0.999438
2021-05-28,1281581912,119932619,1.00,1.00
2021-05-27,1270274013,151704470,1.00,1.00
2021-05-26,1260935609,170731593,0.998882,1.00
2021-05-25,1256356746,222359682,0.998164,0.998882
2021-05-24,1248602265,228646711,1.00,0.998164
2021-05-23,1237847072,211032679,0.993983,1.00
2021-05-22,1231866294,239784037,0.996721,0.993983
2021-05-21,1197036725,290076821,0.997566,0.996721
2021-05-20,1197796071,412088020,0.982465,0.997566
2021-05-19,1199967047,143843883,0.998284,0.982465
2021-05-18,1218788785,280397705,0.997743,0.998284
2021-05-17,1228615638,348760491,1.01,0.997743
2021-05-16,1179846812,289162286,0.996400,1.01
2021-05-15,1188549830,208556225,0.997688,0.996400
2021-05-14,1196491798,250208584,1.01,0.997688
2021-05-13,1161214561,202886774,0.980712,1.01
2021-05-12,1168313749,160240792,1.00,0.980712
2021-05-11,1031513572,171417720,1.00,1.00
2021-05-10,1029624232,157452052,0.997680,1.00
2021-05-09,1029616944,146126121,1.00,0.997680
2021-05-08,1032051788,164973020,1.00,1.00
2021-05-07,1029432290,171743715,1.00,1.00
2021-05-06,1029630143,147531152,1.00,1.00
2021-05-05,1025243293,160947606,0.995603,1.00
2021-05-04,919678568,108162139,0.999478,0.995603
2021-05-03,665361180,75371343,0.999495,0.999478
2021-05-02,623886247,86727025,1.00,0.999495
2021-05-01,624612214,89989113,1.00,1.00
2021-04-30,468648681,83353171,0.999744,1.00
2021-04-29,364011913,91620224,0.999966,0.999744
2021-04-28,345940143,98950875,0.998793,0.999966
2021-04-27,328686229,133057095,1.00,0.998793
2021-04-26,313936597,100940776,1.00,1.00
2021-04-25,304317831,102327756,0.997332,1.00
2021-04-24,317933710,248280145,1.00,0.997332
2021-04-23,332671250,178002142,1.00,1.00
2021-04-22,337120953,114223731,0.997955,1.00
2021-04-21,322883693,148907993,0.998053,0.997955
2021-04-20,301015149,149010286,0.997608,0.998053
2021-04-19,330691374,201302664,0.997954,0.997608
2021-04-18,322408573,143861803,0.997576,0.997954
2021-04-17,322414701,191493327,0.998965,0.997576
2021-04-16,328830539,132844687,0.999395,0.998965
2021-04-15,304370625,186621313,1.00,0.999395
2021-04-14,297605188,153711056,1.00,1.00
2021-04-13,291807603,130112423,0.999844,1.00
2021-04-12,293973859,102991601,1.00,0.999844
2021-04-11,288892416,111737329,1.00,1.00
2021-04-10,298345797,81302770,1.00,1.00
2021-04-09,312631943,107293239,1.00,1.00
2021-04-08,322628979,147330995,0.998717,1.00
2021-04-07,316618047,132023837,1.00,0.998717
