date,mktcap,vol,open_price,close_price
2021-10-04,4018305,77387,0.600246,0.613471
2021-10-03,4058323,79566,0.607263,0.600246
2021-10-02,4086959,79744,0.611548,0.607263
2021-10-01,4009429,79963,0.601925,0.611548
2021-09-30,4092300,78248,0.610777,0.601925
2021-09-29,4161545,79415,0.617517,0.610777
2021-09-28,4100417,79829,0.611992,0.617517
2021-09-27,4023461,82965,0.597488,0.611992
2021-09-26,3983136,83797,0.603895,0.597488
2021-09-25,3945838,98840,0.589238,0.603895
2021-09-24,2138110,43479,0.318760,0.589238
2021-09-23,2099634,43572,0.315207,0.318760
2021-09-22,2030172,42004,0.303500,0.315207
2021-09-21,2031782,40469,0.308433,0.303500
2021-09-20,2041601,41646,0.307573,0.308433
2021-09-19,2039404,41691,0.305107,0.307573
2021-09-18,1997254,41242,0.301195,0.305107
2021-09-17,2045081,42435,0.306650,0.301195
2021-09-16,2081488,42109,0.311461,0.306650
2021-09-15,2068256,41120,0.307689,0.311461
2021-09-14,2108361,41329,0.315771,0.307689
2021-09-13,2111224,31502,0.314321,0.315771
2021-09-12,2135178,23740,0.319278,0.314321
2021-09-11,2130289,41516,0.318737,0.319278
2021-09-10,2105705,41379,0.313701,0.318737
2021-09-09,1775399,36942,0.273260,0.313701
2021-09-08,1731593,34860,0.255547,0.273260
2021-09-07,1888915,38135,0.284060,0.255547
2021-09-06,1883559,37269,0.285455,0.284060
2021-09-05,1903285,38140,0.282829,0.285455
2021-09-04,1889710,37707,0.285490,0.282829
2021-09-03,1911154,37842,0.283567,0.285490
2021-09-02,1882683,37728,0.284877,0.283567
2021-09-01,1931151,38150,0.285008,0.284877
2021-08-31,1881239,36961,0.278829,0.285008
2021-08-30,1843176,37270,0.272972,0.278829
2021-08-29,1839833,35323,0.276618,0.272972
2021-08-28,1822874,32223,0.271439,0.276618
2021-08-27,1875781,36673,0.272138,0.271439
2021-08-26,1863440,33157,0.274002,0.272138
2021-08-25,1844533,35412,0.275146,0.274002
2021-08-24,1887811,38312,0.280285,0.275146
2021-08-23,1918384,36553,0.287010,0.280285
2021-08-22,1829814,38076,0.276918,0.287010
2021-08-21,1814747,38693,0.270297,0.276918
2021-08-20,1700415,34270,0.253697,0.270297
2021-08-19,1821624,35.14,0.272577,0.253697
