date,mktcap,vol,open_price,close_price
2021-10-04,3987234,28862,0.520582,0.547125
2021-10-03,4020608,35487,0.537476,0.520582
2021-10-02,4268564,39254,0.564369,0.537476
2021-10-01,3546783,56028,0.481866,0.564369
2021-09-30,3335944,16489.92,0.440081,0.481866
2021-09-29,3381316,45723,0.442325,0.440081
2021-09-28,3838924,39748,0.506749,0.442325
2021-09-27,3942678,18793.94,0.522591,0.506749
2021-09-26,3847678,26293,0.515804,0.522591
2021-09-25,3965041,47697,0.528573,0.515804
2021-09-24,4610088,105052,0.617934,0.528573
2021-09-23,4470359,42476,0.602177,0.617934
2021-09-22,3483466,94959,0.464098,0.602177
2021-09-21,4230384,87591,0.545882,0.464098
2021-09-20,4345221,40584,0.586575,0.545882
2021-09-19,4347253,54708,0.599957,0.586575
2021-09-18,4137132,39942,0.577142,0.599957
2021-09-17,4576437,107729,0.638016,0.577142
2021-09-16,4176220,93396,0.590380,0.638016
2021-09-15,3909332,144438,0.558195,0.590380
2021-09-14,3729605,122642,0.538146,0.558195
2021-09-13,3937600,69812,0.575305,0.538146
2021-09-12,4569252,61228,0.679989,0.575305
2021-09-11,3884520,100163,0.581515,0.679989
2021-09-10,4502609,85030,0.779578,0.581515
2021-09-09,4208419,145590,0.644935,0.779578
2021-09-08,4221529,143742,0.658154,0.644935
2021-09-07,4898482,45766,0.768236,0.658154
2021-09-06,5064633,83409,0.809330,0.768236
2021-09-05,4782261,81360,0.794643,0.809330
2021-09-04,4985943,183867,0.867099,0.794643
2021-09-03,4264801,427089,0.837149,0.867099
2021-09-02,4050917,115590,0.842336,0.837149
2021-09-01,4491285,222746,0.939479,0.842336
2021-08-31,4931422,257560,1.00,0.939479
2021-08-30,5718115,93536,1.19,1.00
2021-08-29,5592123,1309031,1.18,1.19
2021-08-28,5887831,1370109,1.25,1.18
2021-08-27,5117843,1095742,1.09,1.25
2021-08-26,5288079,1208864,1.14,1.09
2021-08-25,6246554,1801271,1.32,1.14
2021-08-24,6541395,1751944,1.40,1.32
2021-08-23,4853738,1556609,1.08,1.40
2021-08-22,4299850,1246712,0.940344,1.08
2021-08-21,4229919,933470,0.940734,0.940344
2021-08-20,4755428,816807,1.04,0.940734
2021-08-19,5229757,1249489,1.16,1.04
2021-08-18,4578803,604171,1.05,1.16
2021-08-17,4091009,1251014,0.911274,1.05
2021-08-16,3993022,1568007,0.913567,0.911274
2021-08-15,3034716,803015,0.689790,0.913567
2021-08-14,3161705,1194487,0.713366,0.689790
2021-08-13,2934988,337664,0.692619,0.713366
2021-08-12,3016026,664371,0.697694,0.692619
2021-08-11,3297599,1126622,0.750501,0.697694
2021-08-10,3233677,2008636,0.766291,0.750501
2021-08-09,3179284,1523131,0.726671,0.766291
2021-08-08,3659043,3229695,0.859345,0.726671
2021-08-07,2930365,2575287,0.718523,0.859345
2021-08-06,3051448,2039619,0.735816,0.718523
2021-08-05,2963020,1709185,0.694947,0.735816
2021-08-04,2688429,2325899,0.653170,0.694947
2021-08-03,2795191,2071027,0.673721,0.653170
2021-08-02,2974335,2418421,0.692321,0.673721
2021-08-01,2948284,2554117,0.719581,0.692321
2021-07-31,2662761,2157723,0.651298,0.719581
2021-07-30,2555890,2051611,0.625398,0.651298
2021-07-29,2798713,1064905,0.724523,0.625398
2021-07-28,2365837,360754,0.596295,0.724523
2021-07-27,2258578,363861,0.539082,0.596295
2021-07-26,2079643,362251,0.512142,0.539082
2021-07-25,1898439,348481,0.494553,0.512142
2021-07-24,1852335,267804,0.489803,0.494553
2021-07-23,1986518,245275,0.514515,0.489803
2021-07-22,1894950,317934,0.498281,0.514515
2021-07-21,1693750,315266,0.457058,0.498281
2021-07-20,2045987,294195,0.519904,0.457058
2021-07-19,2388620,371580,0.652722,0.519904
2021-07-18,2046082,314187,0.542089,0.652722
2021-07-17,2058704,302613,0.550207,0.542089
2021-07-16,2271734,326154,0.615930,0.550207
2021-07-15,2387314,316467,0.651170,0.615930
2021-07-14,2482096,307713,0.661264,0.651170
2021-07-13,2708359,279118,0.715007,0.661264
2021-07-12,2923828,831822,0.805667,0.715007
2021-07-11,2355266,325245,0.686946,0.805667
2021-07-10,2417179,372869,0.650396,0.686946
2021-07-09,2407802,791186,0.700900,0.650396
2021-07-08,2089508,281181,0.626383,0.700900
2021-07-07,2011533,139868,0.574372,0.626383
2021-07-06,1852210,110633,0.541640,0.574372
2021-07-05,2213749,142211,0.629972,0.541640
2021-07-04,2144492,149806,0.651922,0.629972
2021-07-03,2267878,154410,0.671916,0.651922
2021-07-02,2114681,167030,0.660685,0.671916
2021-07-01,2439697,167892,0.757915,0.660685
2021-06-30,2534342,180086,0.753028,0.757915
2021-06-29,2555725,190951,0.773526,0.753028
2021-06-28,2309016,179119,0.738465,0.773526
2021-06-27,2073567,138683,0.643693,0.738465
2021-06-26,2128190,237831,0.650293,0.643693
2021-06-25,2192165,203833,0.685515,0.650293
2021-06-24,2107536,199692,0.688488,0.685515
2021-06-23,2209820,515433,0.712578,0.688488
2021-06-22,2424448,352995,0.788987,0.712578
2021-06-21,3107881,305141,1.02,0.788987
