date,mktcap,vol,open_price,close_price
2021-10-04,3720464,2553.34,0.02343549,0.02244596
2021-10-03,3718863,27735,0.02326936,0.02343549
2021-10-02,3747401,47576,0.02329870,0.02326936
2021-10-01,3377029,11902.50,0.02131202,0.02329870
2021-09-30,3280100,11379.83,0.02070679,0.02131202
2021-09-29,3381405,47831,0.02099213,0.02070679
2021-09-28,3673723,202510,0.02307725,0.02099213
2021-09-27,3399588,112867,0.02107586,0.02307725
2021-09-26,3201878,5667.31,0.02026146,0.02107586
2021-09-25,3232958,28246,0.02056581,0.02026146
2021-09-24,3450339,19877.51,0.02161294,0.02056581
2021-09-23,3402112,8310.49,0.02135941,0.02161294
2021-09-22,3135204,3847.63,0.01968369,0.02135941
2021-09-21,3343095,48977,0.02098889,0.01968369
2021-09-20,3771033,10713.88,0.02377890,0.02098889
2021-09-19,3885607,6786.85,0.02453846,0.02377890
2021-09-18,3887017,15714.32,0.02440378,0.02453846
2021-09-17,4112181,11017.63,0.02580802,0.02440378
2021-09-16,4094003,113989,0.02570330,0.02580802
2021-09-15,4064242,394251,0.02553303,0.02570330
2021-09-14,3982931,12853.65,0.02500596,0.02553303
2021-09-13,4083726,5800.29,0.02536496,0.02500596
2021-09-12,3977270,121652,0.02487322,0.02536496
2021-09-11,3960497,23791,0.02500301,0.02487322
2021-09-10,4232809,117393,0.02666736,0.02500301
2021-09-09,4681672,174069,0.02930317,0.02666736
2021-09-08,4470553,66076,0.02802113,0.02930317
2021-09-07,5225121,47124,0.03285179,0.02802113
2021-09-06,5057481,196340,0.03157759,0.03285179
2021-09-05,5167525,70285,0.03235903,0.03157759
2021-09-04,5219168,49343,0.03273207,0.03235903
2021-09-03,5188271,75608,0.03257757,0.03273207
2021-09-02,5226959,430260,0.03281631,0.03257757
2021-09-01,5788986,66729,0.03634912,0.03281631
2021-08-31,5893221,92753,0.03712973,0.03634912
2021-08-30,5623758,42671,0.03530232,0.03712973
2021-08-29,5604005,41916,0.03510189,0.03530232
2021-08-28,5980432,46594,0.03812420,0.03510189
2021-08-27,5242980,57634,0.03293711,0.03812420
2021-08-26,5703091,54134,0.03583909,0.03293711
2021-08-25,5691902,119152,0.03570590,0.03583909
2021-08-24,5970114,109618,0.03747335,0.03570590
2021-08-23,5955047,66996,0.03743898,0.03747335
2021-08-22,6078506,78924,0.03781128,0.03743898
2021-08-21,6019663,90414,0.03769144,0.03781128
2021-08-20,5893642,67365,0.03754805,0.03769144
2021-08-19,5777346,124783,0.03619440,0.03754805
2021-08-18,5839238,60062,0.03666037,0.03619440
2021-08-17,6183378,96561,0.03863191,0.03666037
