date,mktcap,vol,open_price,close_price
2021-10-04,2912997,48454,0.110492,0.101767
2021-10-03,2819965,82544,0.106740,0.110492
2021-10-02,2751233,223993,0.104574,0.106740
2021-10-01,2525321,66377,0.096255,0.104574
2021-09-30,2181932,204399,0.083234,0.096255
2021-09-29,2831691,86714,0.107462,0.083234
2021-09-28,3194213,43208,0.120513,0.107462
2021-09-27,3499495,57270,0.130498,0.120513
2021-09-26,3625168,39048,0.134863,0.130498
2021-09-25,3626087,227335,0.137363,0.134863
2021-09-24,3199571,164998,0.128540,0.137363
2021-09-23,2997854,376415,0.117358,0.128540
2021-09-22,3416985,443331,0.130009,0.117358
2021-09-21,4473967,325920,0.169320,0.130009
2021-09-20,5252657,283604,0.200551,0.169320
2021-09-19,5926448,1173151,0.225827,0.200551
2021-09-18,4649457,529532,0.173361,0.225827
2021-09-17,3580580,477962,0.136068,0.173361
2021-09-16,2765411,258487,0.104946,0.136068
2021-09-15,1866047,102621,0.070193,0.104946
2021-09-14,1775275,147500,0.066676,0.070193
2021-09-13,2118557,80060,0.079264,0.066676
2021-09-12,1907509,48484,0.070483,0.079264
2021-09-11,1933491,43635,0.072025,0.070483
2021-09-10,2162780,67114,0.079850,0.072025
2021-09-09,2483138,61496,0.093737,0.079850
2021-09-08,0.000000000000,117065,0.087651,0.093737
2021-09-07,0.000000000000,270974,0.108043,0.087651
2021-09-06,0.000000000000,82418,0.119492,0.108043
2021-09-05,0.000000000000,254284,0.112487,0.119492
2021-09-04,0.000000000000,251911,0.108099,0.112487
2021-09-03,0.000000000000,1365188,0.115008,0.108099
2021-09-02,0.000000000000,1365188,0.115008,0.115008
