date,mktcap,vol,open_price,close_price
2021-10-04,4592026,2413819,0.911425,0.916458
2021-10-03,4678168,2544177,0.927395,0.911425
2021-10-02,4723979,4030588,0.936700,0.927395
2021-10-01,4548716,4429519,0.902976,0.936700
2021-09-30,4325114,4735572,0.851002,0.902976
2021-09-29,4144386,4859658,0.820013,0.851002
2021-09-28,4708515,3583207,0.931712,0.820013
2021-09-27,4778020,7726513,0.951371,0.931712
2021-09-26,6153322,4277973,1.22,0.951371
2021-09-25,6599191,5416775,1.30,1.22
2021-09-24,7479048,6145570,1.48,1.30
2021-09-23,7960541,6434560,1.58,1.48
2021-09-22,7015085,5578864,1.41,1.58
2021-09-21,7177727,6364070,1.43,1.41
2021-09-20,8317883,3673049,1.65,1.43
2021-09-19,8836934,4350418,1.75,1.65
2021-09-18,8653025,3283188,1.72,1.75
2021-09-17,8761586,4181578,1.74,1.72
2021-09-16,9041820,4614998,1.79,1.74
2021-09-15,8968930,3168966,1.77,1.79
2021-09-14,8527592,4720461,1.70,1.77
2021-09-13,9004157,2814441,1.79,1.70
2021-09-12,8548009,3146774,1.69,1.79
2021-09-11,8250769,4313009,1.64,1.69
2021-09-10,8742367,3004308,1.73,1.64
2021-09-09,8733274,6093921,1.73,1.73
2021-09-08,8831117,7395122,1.75,1.73
2021-09-07,10749989,4759267,2.15,1.75
2021-09-06,10383532,5331800,2.16,2.15
2021-09-05,10281175,5474816,2.14,2.16
2021-09-04,9718422,4661497,2.04,2.14
2021-09-03,9883377,3438205,2.06,2.04
2021-09-02,9902018,4418091,2.08,2.06
2021-09-01,9643040,4473314,2.01,2.08
2021-08-31,10044314,4153219,2.10,2.01
2021-08-30,10281825,4495071,2.15,2.10
2021-08-29,10203519,3887690,2.12,2.15
2021-08-28,10747403,5336162,2.17,2.12
2021-08-27,10445157,7814932,2.17,2.17
2021-08-26,10238266,5354597,2.12,2.17
2021-08-25,10120204,4857014,2.10,2.12
2021-08-24,10285075,4259450,2.14,2.10
2021-08-23,10108475,4500474,2.10,2.14
2021-08-22,10059681,4817543,2.09,2.10
