date,mktcap,vol,open_price,close_price
2021-10-04,4728242,39626,0.112307,0.165223
2021-10-03,7219189,88649,0.171547,0.112307
2021-10-02,6648332,124233,0.158494,0.171547
2021-10-01,6806003,88634,0.163204,0.158494
2021-09-30,5697197,224558,0.137155,0.163204
2021-09-29,6254768,174397,0.147789,0.137155
2021-09-28,6447786,78666,0.153126,0.147789
2021-09-27,6434448,135237,0.153872,0.153126
2021-09-26,6975854,55600,0.164642,0.153872
2021-09-25,7173738,139456,0.168758,0.164642
2021-09-24,7559802,94920,0.178646,0.168758
2021-09-23,6727747,61021,0.159556,0.178646
2021-09-22,6261750,67705,0.147826,0.159556
2021-09-21,7131853,228083,0.169035,0.147826
2021-09-20,8776478,128443,0.206560,0.169035
2021-09-19,8655961,151699,0.204231,0.206560
2021-09-18,12199235,64794,0.286038,0.204231
2021-09-17,13231840,78601,0.311189,0.286038
2021-09-16,9531385,233155,0.223645,0.311189
2021-09-15,9521173,108975,0.222431,0.223645
2021-09-14,9065141,175327,0.211700,0.222431
2021-09-13,9000764,187425,0.210337,0.211700
2021-09-12,8619742,130105,0.201882,0.210337
2021-09-11,8260070,256764,0.194282,0.201882
2021-09-10,8662605,190008,0.203493,0.194282
2021-09-09,8715858,188927,0.204148,0.203493
2021-09-08,8899406,111173,0.209740,0.204148
2021-09-07,10330806,113595,0.238658,0.209740
2021-09-06,9963884,230436,0.234427,0.238658
2021-09-05,9971420,195826,0.233398,0.234427
2021-09-04,9442634,127945,0.222691,0.233398
2021-09-03,12127903,80644,0.284580,0.222691
2021-09-02,10241420,245998,0.240601,0.284580
2021-09-01,10276929,78162,0.253262,0.240601
2021-08-31,9508937,504167,0.220098,0.253262
2021-08-30,9989684,145280,0.230558,0.220098
2021-08-29,10553067,1149822,0.243371,0.230558
2021-08-28,11224522,1268889,0.258434,0.243371
2021-08-27,10454330,1327421,0.240722,0.258434
2021-08-26,11120810,1188627,0.254939,0.240722
2021-08-25,11141195,1692870,0.255017,0.254939
2021-08-24,13117984,2003562,0.297693,0.255017
2021-08-23,12179137,1278344,0.276506,0.297693
2021-08-22,12217286,1434616,0.276270,0.276506
2021-08-21,12444439,1414297,0.282186,0.276270
2021-08-20,11876362,1408684,0.272784,0.282186
2021-08-19,12079940,1460729,0.273202,0.272784
2021-08-18,12383966,940818,0.277806,0.273202
2021-08-17,12424949,2143809,0.280545,0.277806
2021-08-16,10326382,1472223,0.237624,0.280545
2021-08-15,10564598,1350019,0.241866,0.237624
2021-08-14,10818588,1395860,0.248108,0.241866
2021-08-13,10671991,480373,0.244622,0.248108
2021-08-12,11484727,1385640,0.262761,0.244622
2021-08-11,11139949,1254499,0.253421,0.262761
2021-08-10,12562628,2578324,0.290421,0.253421
2021-08-09,11697743,2985733,0.265940,0.290421
2021-08-08,11699838,3180507,0.268445,0.265940
2021-08-07,12581724,3304522,0.285517,0.268445
2021-08-06,12348253,3084052,0.279204,0.285517
2021-08-05,10522729,3031047,0.237966,0.279204
