date,mktcap,vol,open_price,close_price
2021-10-04,817215,234.18,0.00153061,0.00133937
2021-10-03,955469,237.14,0.00178298,0.00153061
2021-10-02,890991,183.40,0.00166725,0.00178298
2021-10-01,735041,166.54,0.00137638,0.00166725
2021-09-30,682976,266.69,0.00148991,0.00137638
2021-09-29,764072,253.71,0.00126857,0.00148991
2021-09-28,825157,6.16,0.00154107,0.00126857
2021-09-27,700503,141.00,0.00130556,0.00154107
2021-09-26,825813,64.04,0.00130694,0.00130556
2021-09-25,837519,183.02,0.00157779,0.00130694
2021-09-24,863110,94.24,0.00162482,0.00157779
2021-09-23,852218,52.42,0.00145613,0.00162482
2021-09-22,811877,217.25,0.00151921,0.00145613
2021-09-21,703590,283.07,0.00131658,0.00151921
2021-09-20,795248,326.22,0.00148960,0.00131658
2021-09-19,853514,275.71,0.00159372,0.00148960
2021-09-18,925961,406.62,0.00173032,0.00159372
2021-09-17,1009355,260.80,0.00188989,0.00173032
2021-09-16,920962,1924.80,0.00168546,0.00188989
2021-09-15,1023612,1359.67,0.00192315,0.00168546
2021-09-14,788958,358.75,0.00147633,0.00192315
2021-09-13,1052057,46.12,0.00200526,0.00147633
2021-09-12,1009459,2501.74,0.00175192,0.00200526
2021-09-11,898352,107.08,0.00167306,0.00175192
2021-09-10,1119689,976.36,0.00210423,0.00167306
2021-09-09,828015,1349.54,0.00154941,0.00210423
2021-09-08,706319,1097.00,0.00132169,0.00154941
2021-09-07,1035802,389.11,0.00194553,0.00132169
2021-09-06,1163150,226.24,0.00217537,0.00194553
2021-09-05,1111107,313.63,0.00207703,0.00217537
2021-09-04,1083659,129.78,0.00202778,0.00207703
2021-09-03,1147617,38.65,0.00214746,0.00202778
2021-09-02,1264513,470.87,0.00236620,0.00214746
2021-09-01,1111109,106.41,0.00208653,0.00236620
2021-08-31,1130849,175.63,0.00211608,0.00208653
2021-08-30,1179923,138.56,0.00219944,0.00211608
2021-08-29,1180796,1387.60,0.00220955,0.00219944
2021-08-28,1278559,198.58,0.00239249,0.00220955
2021-08-27,1413641,1065.27,0.00264992,0.00239249
2021-08-26,1290087,91.87,0.00241757,0.00264992
2021-08-25,1477082,308.99,0.00275886,0.00241757
2021-08-24,1297899,720.98,0.00240326,0.00275886
2021-08-23,1143861,144.37,0.00215484,0.00240326
2021-08-22,1422770,156.81,0.00265777,0.00215484
2021-08-21,1435270,1385.84,0.00268573,0.00265777
2021-08-20,1319880,348.23,0.00252342,0.00268573
2021-08-19,1343914,128.25,0.00251478,0.00252342
2021-08-18,1300841,314.75,0.00233149,0.00251478
2021-08-17,1380091,278.20,0.00233780,0.00233149
2021-08-16,1471629,1322.20,0.00276033,0.00233780
2021-08-15,1411928,942.85,0.00273289,0.00276033
2021-08-14,1101010,216.86,0.00193626,0.00273289
2021-08-13,1113848,275.08,0.00208396,0.00193626
2021-08-12,1449421,1171.64,0.00265678,0.00208396
2021-08-11,1359058,399.80,0.00212659,0.00265678
2021-08-10,1110273,800.26,0.00230624,0.00212659
2021-08-09,915772,426.22,0.00172557,0.00230624
2021-08-08,887222,894.83,0.00190943,0.00172557
2021-08-07,85601,1185.75,0.00016061,0.00190943
2021-08-06,105847,4374.05,0.00019826,0.00016061
2021-08-05,123999,606.81,0.00023119,0.00019826
2021-08-04,88486,1783.31,0.00020099,0.00023119
2021-08-03,98115,475.74,0.00018389,0.00020099
2021-08-02,971438,973.34,0.00181779,0.00018389
2021-08-01,107544,583.82,0.00020046,0.00181779
2021-07-31,133723,444.51,0.00025276,0.00020046
2021-07-30,666077,151.34,0.00121851,0.00025276
2021-07-29,177799,191.15,0.00033138,0.00121851
2021-07-28,166617,361.23,0.00031187,0.00033138
2021-07-27,109765,1975.90,0.00020540,0.00031187
2021-07-26,113305,795.51,0.00021289,0.00020540
2021-07-25,150935,3224.42,0.00027154,0.00021289
2021-07-24,188065,2364.77,0.00033449,0.00027154
2021-07-23,633202,254.67,0.00119180,0.00033449
2021-07-22,649823,551.64,0.00138603,0.00119180
2021-07-21,557505,202.47,0.00103245,0.00138603
2021-07-20,676983,184.83,0.00108723,0.00103245
2021-07-19,695700,242.67,0.00129771,0.00108723
2021-07-18,710397,688.59,0.00132932,0.00129771
2021-07-17,558257,704.52,0.00104219,0.00132932
2021-07-16,640098,595.46,0.00120454,0.00104219
2021-07-15,625851,211.68,0.00116811,0.00120454
2021-07-14,483291,128.60,0.00089869,0.00116811
2021-07-13,598247,721.45,0.00136639,0.00089869
2021-07-12,595655,605.18,0.00111246,0.00136639
2021-07-11,619130,336.79,0.00126138,0.00111246
2021-07-10,647794,787.65,0.00121364,0.00126138
2021-07-09,628496,788.81,0.00115830,0.00121364
2021-07-08,526854,1301.35,0.00098587,0.00115830
2021-07-07,683601,622.57,0.00130518,0.00098587
2021-07-06,699835,1217.43,0.00131569,0.00130518
2021-07-05,746406,76.89,0.00139804,0.00131569
2021-07-04,727322,213.64,0.00123490,0.00139804
2021-07-03,755744,2537.89,0.00141782,0.00123490
2021-07-02,854971,2651.37,0.00160300,0.00141782
2021-07-01,867168,1174.69,0.00164063,0.00160300
2021-06-30,383208,179.41,0.00072017,0.00164063
2021-06-29,760273,587.48,0.00142593,0.00072017
2021-06-28,714867,420.03,0.00133768,0.00142593
2021-06-27,539676,1138.52,0.00097548,0.00133768
2021-06-26,529757,1392.70,0.00098052,0.00097548
2021-06-25,402094,851.20,0.00081970,0.00098052
2021-06-24,354210,517.16,0.00066464,0.00081970
2021-06-23,311156,814.04,0.00058200,0.00066464
2021-06-22,519438,428.31,0.00098236,0.00058200
2021-06-21,518149,1097.95,0.00097195,0.00098236
2021-06-20,235472,1059.66,0.00043975,0.00097195
2021-06-19,529028,197.31,0.00104467,0.00043975
2021-06-18,547620,268.83,0.00102607,0.00104467
2021-06-17,653015,1720.05,0.00110472,0.00102607
2021-06-16,725225,132.97,0.00116411,0.00110472
2021-06-15,565953,989.82,0.00105903,0.00116411
2021-06-14,561551,287.63,0.00105812,0.00105903
2021-06-13,658537,3109.80,0.00122690,0.00105812
2021-06-12,629774,51.32,0.00116630,0.00122690
2021-06-11,578702,186.43,0.00108434,0.00116630
2021-06-10,612489,317.92,0.00114105,0.00108434
2021-06-09,541072,450.40,0.00120339,0.00114105
2021-06-08,647816,598.49,0.00120516,0.00120339
2021-06-07,700160,1593.68,0.00132696,0.00120516
2021-06-06,569069,671.23,0.00107875,0.00132696
2021-06-05,669532,344.44,0.00124087,0.00107875
2021-06-04,744441,644.60,0.00140550,0.00124087
2021-06-03,711970,323.25,0.00133226,0.00140550
2021-06-02,557619,394.43,0.00104344,0.00133226
2021-06-01,596608,327.71,0.00112830,0.00104344
2021-05-31,562277,456.16,0.00104560,0.00112830
2021-05-30,532235,179.45,0.00076360,0.00104560
2021-05-29,562812,1335.09,0.00105315,0.00076360
2021-05-28,577306,205.55,0.00107499,0.00105315
2021-05-27,761705,689.44,0.00142533,0.00107499
2021-05-26,615437,1337.71,0.00115098,0.00142533
2021-05-25,647741,1149.57,0.00120948,0.00115098
2021-05-24,520692,5450.96,0.00102481,0.00120948
2021-05-23,567412,396.53,0.00106176,0.00102481
2021-05-22,747300,2651.52,0.00139837,0.00106176
2021-05-21,588367,1128.20,0.00110856,0.00139837
2021-05-20,627567,1573.43,0.00112936,0.00110856
2021-05-19,959786,3471.52,0.00158887,0.00112936
2021-05-18,850937,2055.97,0.00158889,0.00158887
2021-05-17,964119,1231.72,0.00180915,0.00158889
2021-05-16,977028,9718.98,0.00182759,0.00180915
2021-05-15,885268,470.93,0.00150101,0.00182759
2021-05-14,969691,2692.02,0.00183646,0.00150101
2021-05-13,1049198,5253.25,0.00197557,0.00183646
2021-05-12,1090131,12044.06,0.00204954,0.00197557
2021-05-11,921524,3955.88,0.00172484,0.00204954
2021-05-10,1397985,6614.83,0.00299914,0.00172484
2021-05-09,1170887,4166.65,0.00213318,0.00299914
2021-05-08,1338748,3261.75,0.00252065,0.00213318
2021-05-07,1296874,5583.22,0.00237225,0.00252065
2021-05-06,988686,3038.05,0.00185349,0.00237225
2021-05-05,878489,4096.91,0.00164386,0.00185349
2021-05-04,1195724,12423.09,0.00222954,0.00164386
2021-05-03,1713401,2934.47,0.00322435,0.00222954
2021-05-02,1756257,2666.56,0.00326784,0.00322435
2021-05-01,925902,1637.34,0.00174649,0.00326784
2021-04-30,1403709,4733.24,0.00263847,0.00174649
2021-04-29,1294105,6780.97,0.00219005,0.00263847
2021-04-28,890820,2028.16,0.00166418,0.00219005
2021-04-27,874257,960.10,0.00163957,0.00166418
2021-04-26,1075567,1200.87,0.00202273,0.00163957
2021-04-25,1044460,2791.95,0.00234513,0.00202273
2021-04-24,1055417,2173.73,0.00208621,0.00234513
2021-04-23,1127894,7579.89,0.00211535,0.00208621
2021-04-22,1541693,4966.67,0.00290618,0.00211535
2021-04-21,972287,2823.75,0.00180655,0.00290618
2021-04-20,985335,1669.36,0.00183430,0.00180655
2021-04-19,919654,8491.75,0.00256773,0.00183430
2021-04-18,1235627,4527.24,0.00231215,0.00256773
2021-04-17,1033988,6740.76,0.00193402,0.00231215
2021-04-16,1267771,2812.67,0.00231380,0.00193402
2021-04-15,1061938,4350.96,0.00198714,0.00231380
2021-04-14,1228118,17051.34,0.00229810,0.00198714
2021-04-13,963064,6666.45,0.00180212,0.00229810
2021-04-12,1234718,8604.74,0.00231309,0.00180212
2021-04-11,1091050,19881.74,0.00196116,0.00231309
2021-04-10,1846528,4489.33,0.00255563,0.00196116
2021-04-09,1004748,6854.91,0.00187932,0.00255563
2021-04-08,1133800,4688.77,0.00211902,0.00187932
2021-04-07,1167290,8384.03,0.00208899,0.00211902
2021-04-06,1515906,7180.49,0.00199750,0.00208899
2021-04-05,1622027,3259.65,0.00300595,0.00199750
2021-04-04,1222842,4021.80,0.00227673,0.00300595
2021-04-03,1350960,1858.79,0.00254122,0.00227673
2021-04-02,1315650,3780.04,0.00245704,0.00254122
2021-04-01,1234568,19756.86,0.00231313,0.00245704
2021-03-31,1152462,8770.13,0.00221276,0.00231313
2021-03-30,1296563,14841.57,0.00243215,0.00221276
2021-03-29,963081,5068.57,0.00180351,0.00243215
2021-03-28,925759,7384.95,0.00172246,0.00180351
2021-03-27,926085,2587.99,0.00173456,0.00172246
2021-03-26,1129950,5525.53,0.00210257,0.00173456
2021-03-25,1128850,7533.45,0.00211301,0.00210257
2021-03-24,881888,20819,0.00164470,0.00211301
2021-03-23,839118,8887.04,0.00157042,0.00164470
2021-03-22,867132,3757.96,0.00162211,0.00157042
2021-03-21,905313,5266.86,0.00170561,0.00162211
2021-03-20,1248282,2244.85,0.00233815,0.00170561
2021-03-19,673062,1438.74,0.00125550,0.00233815
2021-03-18,1381527,4139.29,0.00263209,0.00125550
2021-03-17,764498,795.56,0.00142585,0.00263209
2021-03-16,881574,13968.85,0.00163486,0.00142585
2021-03-15,1923064,4361.23,0.00358124,0.00163486
2021-03-14,779988,2156.46,0.00148927,0.00358124
2021-03-13,577050,2464.61,0.00111432,0.00148927
2021-03-12,1709408,5515.14,0.00318218,0.00111432
2021-03-11,772867,6922.38,0.00144586,0.00318218
2021-03-10,779149,2672.43,0.00146153,0.00144586
2021-03-09,557128,5167.43,0.00104435,0.00146153
2021-03-08,537907,3798.42,0.00101650,0.00104435
2021-03-07,3750029,1711.25,0.00439652,0.00101650
2021-03-06,3090818,6249.23,0.00578365,0.00439652
2021-03-05,3353504,5320.42,0.00686063,0.00578365
2021-03-04,3779052,6855.46,0.00707150,0.00686063
2021-03-03,2635166,5433.59,0.00801832,0.00707150
2021-03-02,6340045,14194.00,0.01191270,0.00801832
2021-03-01,4914487,7754.50,0.00938351,0.01191270
2021-02-28,3749211,3515.76,0.00697986,0.00938351
2021-02-27,796214,702.52,0.00412035,0.00697986
2021-02-26,2145096,3398.80,0.00400330,0.00412035
2021-02-25,2275743,1979.59,0.00417281,0.00400330
2021-02-24,806154,946.99,0.00126917,0.00417281
2021-02-23,865049,1898.08,0.00159421,0.00126917
2021-02-22,709221,2188.78,0.00132905,0.00159421
2021-02-21,759235,1416.53,0.00143847,0.00132905
2021-02-20,875019,9003.73,0.00164518,0.00143847
2021-02-19,843290,1315.18,0.00157799,0.00164518
2021-02-18,816215,6528.90,0.00152403,0.00157799
2021-02-17,896350,7132.48,0.00186828,0.00152403
2021-02-16,778967,5831.10,0.00144880,0.00186828
2021-02-15,789687,1295.63,0.00146858,0.00144880
2021-02-14,772290,3718.62,0.00093926,0.00146858
2021-02-13,763553,6392.22,0.00142512,0.00093926
2021-02-12,921434,592.50,0.00111008,0.00142512
2021-02-11,472653,3208.05,0.00087833,0.00111008
2021-02-10,530160,2113.60,0.00099790,0.00087833
2021-02-09,511626,6147.14,0.00095123,0.00099790
2021-02-08,601745,4125.32,0.00112601,0.00095123
2021-02-07,421043,2128.39,0.00079016,0.00112601
2021-02-06,403855,2436.89,0.00075650,0.00079016
2021-02-05,409659,3189.04,0.00075526,0.00075650
2021-02-04,314001,223.19,0.00058639,0.00075526
2021-02-03,380977,93.19,0.00112242,0.00058639
2021-02-02,347370,1209.72,0.00065001,0.00112242
