date,mktcap,vol,open_price,close_price
2021-10-04,1631716,64204,61.14,97.80
2021-10-03,1579501,74981,63.00,61.14
2021-10-02,1127318,36129,41.20,63.00
2021-10-01,935663,57706,35.90,41.20
2021-09-30,902015,75930,34.10,35.90
2021-09-29,829529,81421,33.19,34.10
2021-09-28,910517,38850,35.92,33.19
2021-09-27,923857,28310,36.75,35.92
2021-09-26,912606,24225,36.84,36.75
2021-09-25,845419,59561,39.39,36.84
2021-09-24,1044021,37937,43.57,39.39
2021-09-23,827250,59104,34.61,43.57
2021-09-22,812560,49959,33.53,34.61
2021-09-21,786435,72868,33.32,33.53
2021-09-20,966575,63574,41.39,33.32
2021-09-19,1155065,51966,48.46,41.39
2021-09-18,1091957,52820,47.43,48.46
2021-09-17,1182406,80125,51.64,47.43
2021-09-16,1179932,51961,51.03,51.64
2021-09-15,1345406,42543,58.57,51.03
2021-09-14,0.000000000000,51292,46.41,58.57
2021-09-13,702097,48351,50.25,46.41
2021-09-12,771586,110417,56.93,50.25
2021-09-11,792289,65415,58.53,56.93
2021-09-10,1172644,89980,86.31,58.53
2021-09-09,1145407,142122,85.46,86.31
2021-09-08,1290922,511314,95.41,85.46
2021-09-07,1242494,455047,89.76,95.41
2021-09-06,707022,241775,54.12,89.76
2021-09-05,443930,122089,32.15,54.12
2021-09-04,239912,39395,17.53,32.15
2021-09-03,206217,48836,15.23,17.53
2021-09-02,191007,45113,13.99,15.23
2021-09-01,184501,52633,13.60,13.99
2021-08-31,168471,41957,12.92,13.60
2021-08-30,199736,48065,14.60,12.92
2021-08-29,212054,39535,14.85,14.60
2021-08-28,227824,221241,16.53,14.85
2021-08-27,239974,248188,17.70,16.53
2021-08-26,219947,232181,16.19,17.70
2021-08-25,241491,238079,17.52,16.19
2021-08-24,246764,239260,18.20,17.52
2021-08-23,256094,250250,18.87,18.20
2021-08-22,247514,267945,18.26,18.87
2021-08-21,222275,231755,16.17,18.26
2021-08-20,220848,72159,18.21,16.17
2021-08-19,262824,49126,19.39,18.21
2021-08-18,287454,52298,21.17,19.39
2021-08-17,256693,250366,18.88,21.17
2021-08-16,242128,257979,19.80,18.88
2021-08-15,289270,243696,21.23,19.80
2021-08-14,282516,280264,20.16,21.23
2021-08-13,355291,123253,25.79,20.16
2021-08-12,268836,233220,19.62,25.79
2021-08-11,319622,45489,23.86,19.62
2021-08-10,315693,41299,22.06,23.86
2021-08-09,288341,58667,19.82,22.06
2021-08-08,268577,461707,19.86,19.82
2021-08-07,288065,445819,20.20,19.86
2021-08-06,272877,464033,21.53,20.20
2021-08-05,243324,441859,19.52,21.53
2021-08-04,250839,396527,19.34,19.52
2021-08-03,237388,390634,17.52,19.34
2021-08-02,309019,438982,22.64,17.52
2021-08-01,315020,435845,23.16,22.64
2021-07-31,359374,1167294,26.44,23.16
2021-07-30,270903,288559,19.94,26.44
2021-07-29,158804,11056.19,11.72,19.94
2021-07-28,178936,37479,13.34,11.72
2021-07-27,185482,55542,13.18,13.34
2021-07-26,177369,95070,13.09,13.18
2021-07-25,162672,31380,11.49,13.09
2021-07-24,106670,70742,10.98,11.49
2021-07-23,161048,70305,13.11,10.98
2021-07-22,195696,141394,14.48,13.11
2021-07-21,180233,95357,12.68,14.48
2021-07-20,170889,72424,12.62,12.68
2021-07-19,161990,97481,12.00,12.62
2021-07-18,189316,93251,13.97,12.00
2021-07-17,167605,113446,13.03,13.97
2021-07-16,164946,112737,12.20,13.03
2021-07-15,216224,110104,15.95,12.20
2021-07-14,171277,93101,14.54,15.95
2021-07-13,252641,127808,17.85,14.54
2021-07-12,252814,116330,18.65,17.85
2021-07-11,201571,48711,14.90,18.65
2021-07-10,235734,67102,17.52,14.90
2021-07-09,264956,99381,19.72,17.52
2021-07-08,284981,38370,21.00,19.72
2021-07-07,303720,55981,22.09,21.00
2021-07-06,293172,9383.35,20.50,22.09
2021-07-05,340799,72081,25.34,20.50
2021-07-04,312844,3821.82,23.12,25.34
2021-07-03,306799,87416,25.11,23.12
2021-07-02,375187,68946,27.84,25.11
2021-07-01,375313,65024,27.77,27.84
2021-06-30,384261,76688,28.40,27.77
2021-06-29,376702,69446,26.98,28.40
2021-06-28,407524,64075,30.07,26.98
2021-06-27,394416,58865,29.09,30.07
2021-06-26,396341,72962,29.25,29.09
2021-06-25,385166,48081,28.42,29.25
2021-06-24,345782,429532,26.68,28.42
2021-06-23,312092,420453,24.03,26.68
2021-06-22,367869,190094,28.01,24.03
2021-06-21,382768,75806,29.91,28.01
2021-06-20,375496,145927,27.95,29.91
2021-06-19,379779,149533,27.93,27.95
2021-06-18,437087,99653,32.66,27.93
2021-06-17,454290,145323,33.93,32.66
2021-06-16,496635,123418,36.47,33.93
2021-06-15,528701,194587,40.52,36.47
2021-06-14,536281,296584,44.10,40.52
2021-06-13,540178,137281,43.82,44.10
2021-06-12,588474,124886,47.76,43.82
2021-06-11,583434,170956,46.81,47.76
2021-06-10,566422,275937,46.33,46.81
2021-06-09,495866,202566,40.32,46.33
2021-06-08,494433,162919,40.50,40.32
2021-06-07,573615,174536,47.19,40.50
2021-06-06,575296,170155,47.31,47.19
2021-06-05,570131,203097,46.78,47.31
2021-06-04,608207,202306,49.71,46.78
2021-06-03,547649,81902,44.45,49.71
2021-06-02,576334,240249,46.87,44.45
2021-06-01,533961,280522,45.58,46.87
2021-05-31,520290,190135,58.74,45.58
2021-05-30,707856,194132,58.63,58.74
2021-05-29,720161,142394,57.23,58.63
2021-05-28,748871,124057,59.82,57.23
2021-05-27,761628,293284,65.68,59.82
2021-05-26,686837,163359,56.32,65.68
2021-05-25,683337,201700,59.14,56.32
2021-05-24,640859,172912,55.47,59.14
2021-05-23,786174,167283,67.81,55.47
2021-05-22,739781,195441,63.96,67.81
2021-05-21,930303,217368,80.44,63.96
2021-05-20,699903,148566,60.52,80.44
2021-05-19,1100987,270891,96.35,60.52
2021-05-18,1038573,282142,92.07,96.35
2021-05-17,1124792,185503,100.37,92.07
2021-05-16,1138704,203498,107.84,100.37
2021-05-15,1163720,238917,109.90,107.84
2021-05-14,1133068,226299,107.46,109.90
2021-05-13,1151364,199351,108.62,107.46
2021-05-12,1254226,303349,118.18,108.62
2021-05-11,1204714,249156,114.60,118.18
2021-05-10,1187569,241414,113.22,114.60
2021-05-09,1149420,215516,110.77,113.22
2021-05-08,1079036,211011,104.03,110.77
2021-05-07,1246065,299757,121.52,104.03
2021-05-06,1213604,313766,119.60,121.52
2021-05-05,1146996,340920,117.49,119.60
2021-05-04,1236471,327632,123.66,117.49
2021-05-03,1077273,232414,108.77,123.66
2021-05-02,1188462,232834,121.34,108.77
2021-05-01,1104059,280774,110.91,121.34
2021-04-30,1103874,396346,115.16,110.91
2021-04-29,1050686,283128,112.02,115.16
2021-04-28,1076798,254102,114.53,112.02
2021-04-27,1119957,363527,119.44,114.53
2021-04-26,998712,375280,111.44,119.44
2021-04-25,1011083,295425,112.23,111.44
2021-04-24,1086205,435819,121.65,112.23
2021-04-23,1049801,205912,117.19,121.65
2021-04-22,1153659,440311,129.88,117.19
2021-04-21,1249056,459005,140.80,129.88
2021-04-20,1270299,371995,143.69,140.80
2021-04-19,1271475,432111,146.36,143.69
2021-04-18,1379379,400779,160.56,146.36
2021-04-17,1358232,436610,157.50,160.56
2021-04-16,1547704,403632,184.30,157.50
2021-04-15,1628673,539038,195.09,184.30
2021-04-14,1621307,456331,195.88,195.09
2021-04-13,1338904,477344,165.77,195.88
2021-04-12,1234889,465193,154.15,165.77
2021-04-11,1177185,371319,150.07,154.15
2021-04-10,1082003,256239,139.16,150.07
2021-04-09,1125336,84943,151.79,139.16
2021-04-08,902417,314137,152.58,151.79
2021-04-07,944496,386037,159.18,152.58
2021-04-06,912041,470547,153.56,159.18
2021-04-05,1026853,365012,171.75,153.56
2021-04-04,1215939,702744,204.55,171.75
2021-04-03,1623794,642020,263.31,204.55
2021-04-02,2129181,1174166,345.67,263.31
2021-04-01,2212471,2097541,343.06,345.67
2021-03-31,2579172,3653514,465.62,343.06
2021-03-30,891173,513613,162.54,465.62
2021-03-29,747209,215523,131.20,162.54
2021-03-28,752770,677671,135.55,131.20
2021-03-27,721063,488264,128.32,135.55
2021-03-26,645923,346868,117.64,128.32
2021-03-25,560845,239283,100.77,117.64
2021-03-24,559641,278520,103.16,100.77
2021-03-23,583621,312738,103.32,103.16
2021-03-22,586633,237008,102.48,103.32
2021-03-21,633902,208914,112.07,102.48
2021-03-20,583399,237796,101.81,112.07
2021-03-19,599957,291391,102.66,101.81
2021-03-18,766398,378647,129.24,102.66
2021-03-17,810375,386161,136.39,129.24
2021-03-16,1027641,209688,164.18,136.39
2021-03-15,940535,226115,153.42,164.18
2021-03-14,935666,152351,156.37,153.42
2021-03-13,854381,153864,138.41,156.37
2021-03-12,871468,119554,140.97,138.41
2021-03-11,917458,111633,145.74,140.97
2021-03-10,932818,192266,149.46,145.74
2021-03-09,933955,207829,149.71,149.46
2021-03-08,938189,252552,145.66,149.71
2021-03-07,798675,142343,123.08,145.66
2021-03-06,825260,123504,129.05,123.08
2021-03-05,714190,93271,110.63,129.05
