date,mktcap,vol,open_price,close_price
2021-09-28,595447,2.76,2.13,2.13
2021-09-22,596137,45.63,2.24,2.13
2021-09-21,495658,115.79,2.32,2.24
2021-09-20,546392,0.205259,2.05,2.32
2021-09-19,546392,0.205259,2.05,2.05
2021-09-18,638926,0.240506,2.41,2.05
2021-09-17,602578,2.94,2.26,2.41
2021-09-16,749322,45.34,2.81,2.26
2021-09-15,749949,45.38,2.81,2.81
2021-09-14,620877,82.47,2.82,2.81
2021-09-13,739862,2.72,2.74,2.82
2021-09-12,739862,2.72,2.74,2.74
2021-09-11,689118,45.90,2.59,2.74
2021-09-10,689118,45.90,2.59,2.59
2021-09-08,758687,17.16,2.35,2.59
2021-09-07,748238,2.81,2.81,2.35
2021-09-06,677021,5.68,2.58,2.81
2021-09-05,576234,508.96,2.55,2.58
2021-09-04,573029,136.60,2.15,2.55
2021-09-03,594351,4847.76,2.23,2.15
2021-09-02,562576,142.56,1.42,2.23
2021-09-01,566300,834.10,2.11,1.42
2021-08-31,393421,134.79,1.48,2.11
2021-08-30,335230,85.45,1.22,1.48
2021-08-29,335230,85.45,1.22,1.22
2021-08-28,334502,52.77,1.26,1.22
2021-08-27,336602,654.77,1.24,1.26
2021-08-26,336602,654.77,1.24,1.24
2021-08-25,293499,188.43,1.10,1.24
2021-08-24,384585,1.81,1.15,1.10
2021-08-23,386811,0.145350,1.45,1.15
2021-08-22,280149,31.88,1.05,1.45
2021-08-21,280149,31.88,1.05,1.05
2021-08-19,290480,20.33,1.09,1.05
2021-08-18,296101,482.38,1.11,1.09
2021-08-17,296101,482.38,1.11,1.11
2021-08-15,190412,0.071478,0.714779,1.11
2021-08-14,209807,1.72,0.714624,0.714779
2021-08-13,190029,46.03,0.744119,0.714624
2021-08-12,262693,13.70,0.978525,0.744119
2021-08-11,166628,163.25,0.625961,0.978525
2021-08-10,263879,263.09,0.991296,0.625961
2021-08-09,263294,232.24,0.731641,0.991296
2021-08-08,170145,193.45,0.639097,0.731641
2021-08-07,183259,13.20,0.684041,0.639097
2021-08-06,182378,28.64,0.685126,0.684041
2021-08-05,197696,23.86,0.679837,0.685126
2021-08-04,176228,29.21,0.662378,0.679837
2021-08-03,178526,994.17,0.674491,0.662378
2021-08-02,178526,994.17,0.674491,0.674491
2021-08-01,233810,536.83,0.875413,0.674491
2021-07-31,217223,500.41,0.816026,0.875413
2021-07-30,190577,22.98,0.567877,0.816026
2021-07-29,190577,22.98,0.567877,0.567877
2021-07-26,191623,22.46,0.722058,0.567877
2021-07-25,190393,12.22,0.706232,0.722058
2021-07-24,189072,7.75,0.711101,0.706232
2021-07-23,184445,8.77,0.690470,0.711101
2021-07-22,200674,1.43,0.714130,0.690470
2021-07-21,200674,1.43,0.714130,0.714130
2021-07-20,204569,1.51,0.753859,0.714130
2021-07-19,204569,1.51,0.753859,0.753859
2021-07-18,204569,5.07,0.768490,0.753859
2021-07-17,206933,6.19,0.774582,0.768490
2021-07-16,295743,1487.23,0.774430,0.774582
2021-07-15,275002,8.91,0.999119,0.774430
2021-07-14,352687,1250.38,1.32,0.999119
2021-07-13,389406,676.36,1.08,1.32
2021-07-12,270244,2.03,1.01,1.08
2021-07-11,267875,9.36,1.01,1.01
2021-07-10,277479,3.13,1.04,1.01
2021-07-09,277479,3.13,1.04,1.04
2021-07-08,436624,15.85,1.63,1.04
2021-07-07,433937,15.84,1.63,1.63
2021-07-06,416553,118.42,1.55,1.63
2021-07-05,372930,21.82,1.40,1.55
2021-07-04,295090,460.73,1.11,1.40
2021-07-03,217162,5.93,0.812386,1.11
2021-07-02,288868,165.29,0.805884,0.812386
2021-07-01,368996,27196,1.73,0.805884
2021-06-30,153497,22.73,0.574261,1.73
2021-06-29,149582,257.02,0.561925,0.574261
2021-06-28,152412,0.609329,0.553935,0.561925
2021-06-27,143784,1.24,0.540326,0.553935
2021-06-26,134352,19.38,0.504593,0.540326
2021-06-25,144089,82.81,0.553252,0.504593
2021-06-24,154437,23.14,0.580163,0.553252
2021-06-23,169405,8.84,0.631696,0.580163
2021-06-22,168522,5.73,0.622730,0.631696
2021-06-21,201280,15.42,0.756134,0.622730
2021-06-20,203464,65.60,0.758423,0.756134
2021-06-19,235117,0.971571,0.883246,0.758423
2021-06-18,271296,40.20,1.02,0.883246
2021-06-17,228770,51.97,0.888264,1.02
