date,mktcap,vol,open_price,close_price
2021-10-04,29370027,136211,0.553178,0.557943
2021-10-03,26793868,91010,0.501958,0.553178
2021-10-02,24866474,262447,0.483889,0.501958
2021-10-01,22100481,171759,0.414870,0.483889
2021-09-30,21144289,165141,0.395889,0.414870
2021-09-29,18487875,70872,0.345131,0.395889
2021-09-28,20191623,43781,0.377663,0.345131
2021-09-27,19644785,54313,0.370335,0.377663
2021-09-26,19861106,33618,0.372855,0.370335
2021-09-25,19753541,42211,0.378823,0.372855
2021-09-24,20069217,112596,0.381736,0.378823
2021-09-23,20666319,58220,0.389820,0.381736
2021-09-22,18657817,86555,0.364133,0.389820
2021-09-21,21142490,79612,0.400515,0.364133
2021-09-20,21965363,48435,0.415066,0.400515
2021-09-19,21978608,44293,0.418088,0.415066
2021-09-18,22036165,37704,0.420487,0.418088
2021-09-17,22224025,73598,0.442117,0.420487
2021-09-16,22757037,110280,0.434147,0.442117
2021-09-15,22815858,71043,0.429698,0.434147
2021-09-14,21105191,62188,0.400544,0.429698
2021-09-13,21347712,40933,0.400341,0.400544
2021-09-12,20846649,87592,0.394204,0.400341
2021-09-11,20311207,57705,0.386715,0.394204
2021-09-10,22459187,69684,0.426558,0.386715
2021-09-09,24562165,122505,0.461803,0.426558
2021-09-08,21356680,176009,0.407962,0.461803
2021-09-07,23602750,109233,0.450720,0.407962
2021-09-06,25566941,108870,0.472347,0.450720
2021-09-05,24912701,113237,0.475610,0.472347
2021-09-04,23466165,244071,0.449460,0.475610
2021-09-03,28120385,213384,0.537733,0.449460
2021-09-02,26714994,167211,0.499313,0.537733
2021-09-01,20716178,231830,0.401533,0.499313
2021-08-31,25245481,300632,0.483066,0.401533
2021-08-30,30856640,195796,0.591234,0.483066
2021-08-29,32304419,261130,0.628027,0.591234
2021-08-28,31437191,221920,0.595032,0.628027
2021-08-27,27578145,226280,0.528435,0.595032
2021-08-26,25242984,86213,0.485116,0.528435
2021-08-25,23259871,126619,0.446635,0.485116
2021-08-24,21230888,73209,0.414373,0.446635
2021-08-23,21099121,87708,0.404105,0.414373
2021-08-22,23354739,89840,0.449654,0.404105
2021-08-21,23678294,139209,0.452499,0.449654
2021-08-20,20707327,52219,0.411407,0.452499
2021-08-19,20637780,83126,0.398064,0.411407
2021-08-18,18554605,115207,0.346877,0.398064
2021-08-17,17215505,84418,0.334187,0.346877
2021-08-16,18074696,73930,0.338450,0.334187
2021-08-15,15661872,32353,0.304781,0.338450
2021-08-14,14703825,32542,0.285797,0.304781
2021-08-13,13674829,31387,0.264996,0.285797
2021-08-12,13106051,62485,0.254465,0.264996
2021-08-11,13764013,22873,0.268276,0.254465
2021-08-10,14803818,23447,0.288229,0.268276
2021-08-09,14289317,15133.73,0.275049,0.288229
2021-08-08,14253697,31982,0.278300,0.275049
2021-08-07,13812242,48282,0.272027,0.278300
2021-08-06,12937944,25062,0.251565,0.272027
2021-08-05,12626337,18280.86,0.245783,0.251565
2021-08-04,11982728,29361,0.233212,0.245783
2021-08-03,12631652,38533,0.246882,0.233212
2021-08-02,13151958,38914,0.254901,0.246882
2021-08-01,12943345,30967,0.247428,0.254901
2021-07-31,12198769,119696,0.240456,0.247428
2021-07-30,11133572,92230,0.217368,0.240456
2021-07-29,9740338,25386,0.190442,0.217368
2021-07-28,9196274,16989.74,0.181981,0.190442
2021-07-27,8993246,28480,0.175791,0.181981
2021-07-26,8492357,15458.53,0.166999,0.175791
2021-07-25,8201824,30469,0.161911,0.166999
2021-07-24,8001939,10804.68,0.156742,0.161911
