date,mktcap,vol,open_price,close_price
2021-10-04,446444,548.67,0.02154292,0.02118194
2021-10-03,543374,354.76,0.02632292,0.02154292
2021-10-02,489126,311.08,0.02366806,0.02632292
2021-10-01,394704,79.38,0.01905223,0.02366806
2021-09-30,366434,183.71,0.01785380,0.01905223
2021-09-29,447435,228.35,0.02142737,0.01785380
2021-09-28,467714,1018.87,0.02267178,0.02142737
2021-09-27,476226,1141.14,0.02275952,0.02267178
2021-09-26,432819,1050.22,0.02104537,0.02275952
2021-09-25,441825,604.63,0.02132668,0.02104537
2021-09-24,470326,1442.33,0.02279573,0.02132668
2021-09-23,444767,2299.95,0.02157540,0.02279573
2021-09-22,435349,2399.29,0.02102203,0.02157540
2021-09-21,439559,2150.93,0.02214512,0.02102203
2021-09-20,476819,2819.02,0.02574475,0.02214512
2021-09-19,519880,2845.01,0.02714177,0.02574475
2021-09-18,473798,869.91,0.02299534,0.02714177
2021-09-17,480961,297.77,0.02343883,0.02299534
2021-09-16,516522,93.88,0.02504252,0.02343883
2021-09-15,533940,426.34,0.02592414,0.02504252
2021-09-14,521109,637.55,0.02588935,0.02592414
2021-09-13,581479,1225.21,0.02847176,0.02588935
2021-09-12,466838,331.11,0.02267461,0.02847176
2021-09-11,445031,444.98,0.02435091,0.02267461
2021-09-10,576835,1150.48,0.02755881,0.02435091
2021-09-09,602702,570.18,0.02914246,0.02755881
2021-09-08,613525,94.48,0.02981404,0.02914246
2021-09-07,620418,648.87,0.03508750,0.02981404
2021-09-06,702272,418.54,0.03448984,0.03508750
2021-09-05,671688,626.98,0.02902392,0.03448984
2021-09-04,628746,1655.06,0.02826739,0.02902392
2021-09-03,579634,902.77,0.02818495,0.02826739
2021-09-02,520592,1945.73,0.02535129,0.02818495
2021-09-01,529685,1312.38,0.02633986,0.02535129
2021-08-31,581548,1025.61,0.02829538,0.02633986
2021-08-30,510461,2261.71,0.02464675,0.02829538
2021-08-29,508073,522.56,0.02425033,0.02464675
2021-08-28,584181,926.00,0.02833432,0.02425033
2021-08-27,435485,1642.31,0.02587787,0.02833432
2021-08-26,529429,3110.44,0.02574382,0.02587787
2021-08-25,554175,1528.58,0.02738522,0.02574382
2021-08-24,563618,1348.28,0.02702741,0.02738522
2021-08-23,520599,173.15,0.02586026,0.02702741
2021-08-22,517805,631.03,0.02484672,0.02586026
2021-08-21,503441,934.61,0.02337085,0.02484672
2021-08-20,623030,439.34,0.02543204,0.02337085
2021-08-19,498337,306.61,0.02427729,0.02543204
2021-08-18,505187,210.49,0.02454490,0.02427729
2021-08-17,529459,1544.53,0.02440063,0.02454490
2021-08-16,550272,1421.84,0.02632070,0.02440063
2021-08-15,522399,1461.24,0.02545967,0.02632070
2021-08-14,563009,1583.05,0.02744503,0.02545967
2021-08-13,545246,253.90,0.03165385,0.02744503
2021-08-12,675083,441.60,0.03249201,0.03165385
2021-08-11,493179,613.33,0.02405025,0.03249201
2021-08-10,745409,1471.50,0.03593270,0.02405025
2021-08-09,523369,36.05,0.02503345,0.03593270
2021-08-08,471771,452.23,0.02298613,0.02503345
2021-08-07,469657,975.79,0.02291455,0.02298613
2021-08-06,445472,1711.09,0.02176186,0.02291455
2021-08-05,501705,1100.36,0.01974216,0.02176186
2021-08-04,399333,1518.41,0.02288848,0.01974216
2021-08-03,521222,483.51,0.02492750,0.02288848
2021-08-02,447960,1662.03,0.02144357,0.02492750
2021-08-01,490096,1522.54,0.02401286,0.02144357
2021-07-31,486232,1328.25,0.02355721,0.02401286
2021-07-30,544404,1508.06,0.02648575,0.02355721
2021-07-29,484762,1052.38,0.02369261,0.02648575
2021-07-28,514306,1602.05,0.02512456,0.02369261
2021-07-27,501474,1262.86,0.02051609,0.02512456
2021-07-26,484555,1738.46,0.02465279,0.02051609
2021-07-25,470783,1579.10,0.02410079,0.02465279
2021-07-24,550020,1184.43,0.02393999,0.02410079
2021-07-23,526108,1480.36,0.02609992,0.02393999
2021-07-22,532285,1205.44,0.02195003,0.02609992
2021-07-21,354930,1940.77,0.01742235,0.02195003
2021-07-20,348057,767.64,0.01704166,0.01742235
2021-07-19,379338,431.39,0.01873643,0.01704166
2021-07-18,372551,301.42,0.01822250,0.01873643
2021-07-17,464110,123.16,0.02034103,0.01822250
2021-07-16,508510,195.53,0.02463183,0.02034103
2021-07-15,446563,112.00,0.02322384,0.02463183
2021-07-14,511718,180.44,0.02097186,0.02322384
2021-07-13,433281,17.11,0.02120634,0.02097186
