date,mktcap,vol,open_price,close_price
2021-10-04,1613546531,7926766,0.130976,0.126712
2021-10-03,1668188777,5501577,0.135637,0.130976
2021-10-02,1623399879,9557591,0.132522,0.135637
2021-10-01,1528230347,8155793,0.124557,0.132522
2021-09-30,1555872323,8327400,0.127220,0.124557
2021-09-29,1597507813,10933883,0.130982,0.127220
2021-09-28,1669694724,15952988,0.136283,0.130982
2021-09-27,1714869555,9668582,0.140004,0.136283
2021-09-26,1525658843,5142937,0.125179,0.140004
2021-09-25,1524423068,9928325,0.124601,0.125179
2021-09-24,1532914172,9162538,0.125239,0.124601
2021-09-23,1490100487,10780571,0.122202,0.125239
2021-09-22,1375485416,19918602,0.113151,0.122202
2021-09-21,1227847424,11635791,0.099862,0.113151
2021-09-20,1399688462,8933690,0.112426,0.099862
2021-09-19,1451484849,5846213,0.118646,0.112426
2021-09-18,1478743614,8377779,0.120820,0.118646
2021-09-17,1497178801,8662612,0.121847,0.120820
2021-09-16,1564471079,10116855,0.128185,0.121847
2021-09-15,1504124787,12222488,0.123161,0.128185
2021-09-14,1462012870,8853981,0.119205,0.123161
2021-09-13,1554751644,6020318,0.126996,0.119205
2021-09-12,1536429898,8026317,0.125921,0.126996
2021-09-11,1485630463,8725087,0.121459,0.125921
2021-09-10,1650617320,8372977,0.134817,0.121459
2021-09-09,1636026957,9409654,0.133722,0.134817
2021-09-08,1630186229,14386504,0.133566,0.133722
2021-09-07,1778807426,10330633,0.145376,0.133566
2021-09-06,1766074074,7599835,0.144423,0.145376
2021-09-05,1743224910,6648651,0.142164,0.144423
2021-09-04,1810749132,8951255,0.146304,0.142164
2021-09-03,1824565872,13189048,0.149318,0.146304
2021-09-02,1835221626,15086758,0.150166,0.149318
2021-09-01,1577123977,7867198,0.129449,0.150166
2021-08-31,1606791153,9968417,0.130049,0.129449
2021-08-30,1694636205,8040177,0.140287,0.130049
2021-08-29,1748277905,8817002,0.142682,0.140287
2021-08-28,1884164980,11898891,0.155799,0.142682
2021-08-27,1717885422,14414710,0.140337,0.155799
2021-08-26,1895214569,10433818,0.154829,0.140337
2021-08-25,1975284456,12038572,0.161267,0.154829
2021-08-24,2157274507,12615763,0.176443,0.161267
2021-08-23,2192884777,13565840,0.179398,0.176443
2021-08-22,2156009278,21211346,0.176199,0.179398
2021-08-21,2228726814,20791588,0.182745,0.176199
2021-08-20,1922554688,16104114,0.158629,0.182745
2021-08-19,1864755850,19883638,0.152144,0.158629
2021-08-18,1750996976,22736955,0.143266,0.152144
2021-08-17,1557146081,12207996,0.125682,0.143266
2021-08-16,1729468355,13585953,0.141840,0.125682
2021-08-15,1813581616,16978546,0.147160,0.141840
2021-08-14,1781541409,22122835,0.144794,0.147160
2021-08-13,1439471587,36505095,0.117985,0.144794
2021-08-12,1361037279,15331032,0.111804,0.117985
2021-08-11,1179286933,5780935,0.096381,0.111804
2021-08-10,1175333335,18166964,0.094925,0.096381
2021-08-09,1294394761,19525580,0.104177,0.094925
2021-08-08,956234885,5099558,0.079443,0.104177
2021-08-07,955683217,3941956,0.078025,0.079443
2021-08-06,953402118,4218701,0.079477,0.078025
2021-08-05,956617652,3554879,0.077943,0.079477
2021-08-04,884514306,4054473,0.072082,0.077943
2021-08-03,966547189,4994805,0.078886,0.072082
2021-08-02,964065285,5360755,0.079153,0.078886
2021-08-01,976083864,3544013,0.079684,0.079153
2021-07-31,990172662,7025312,0.080660,0.079684
2021-07-30,962753674,6311204,0.078502,0.080660
2021-07-29,955492252,5548686,0.077573,0.078502
2021-07-28,977675513,4451560,0.079935,0.077573
2021-07-27,974273312,13289488,0.079577,0.079935
2021-07-26,970502193,4749393,0.079520,0.079577
2021-07-25,982652366,5084994,0.080076,0.079520
2021-07-24,920453653,3679024,0.076038,0.080076
2021-07-23,882158163,3257340,0.072087,0.076038
2021-07-22,879081824,5004506,0.072090,0.072087
2021-07-21,854978010,4735796,0.069904,0.072090
2021-07-20,919727698,3137637,0.074957,0.069904
2021-07-19,985068570,4367142,0.080639,0.074957
2021-07-18,959543395,3623722,0.078397,0.080639
2021-07-17,974439193,3519440,0.079432,0.078397
2021-07-16,1023421831,5136323,0.084078,0.079432
2021-07-15,1087464541,6164742,0.089129,0.084078
2021-07-14,1028031938,4354287,0.084187,0.089129
2021-07-13,1084058803,4736599,0.088632,0.084187
2021-07-12,1125846182,3810085,0.091970,0.088632
2021-07-11,1136651543,5504471,0.092868,0.091970
2021-07-10,1181499319,6689117,0.096569,0.092868
2021-07-09,1089829024,7832082,0.089068,0.096569
2021-07-08,1159722305,9946164,0.096035,0.089068
2021-07-07,1238726171,8294639,0.101205,0.096035
2021-07-06,1245757971,12677424,0.101998,0.101205
2021-07-05,1454971293,12903854,0.118936,0.101998
2021-07-04,1246974315,22193233,0.102077,0.118936
2021-07-03,1352195501,31015190,0.111708,0.102077
2021-07-02,1087394515,17858859,0.088816,0.111708
2021-07-01,979350500,8309135,0.079832,0.088816
2021-06-30,977745813,12336836,0.079565,0.079832
2021-06-29,868115943,8455821,0.071071,0.079565
2021-06-28,833776321,9235574,0.068058,0.071071
2021-06-27,690176189,5743506,0.056537,0.068058
2021-06-26,659007740,5627389,0.053790,0.056537
2021-06-25,711160664,4953576,0.058047,0.053790
2021-06-24,694593665,6654064,0.056892,0.058047
2021-06-23,647844036,11110327,0.053040,0.056892
2021-06-22,739251415,8503012,0.060126,0.053040
2021-06-21,886070015,9719310,0.072696,0.060126
2021-06-20,881560777,7707716,0.071760,0.072696
2021-06-19,858794740,14787451,0.069967,0.071760
2021-06-18,914249182,17119874,0.075836,0.069967
2021-06-17,662399170,5174535,0.054126,0.075836
2021-06-16,652535434,5002441,0.053428,0.054126
2021-06-15,652212717,4503852,0.053346,0.053428
2021-06-14,642631937,4657172,0.052476,0.053346
2021-06-13,615023705,5747569,0.050152,0.052476
2021-06-12,579656789,3408014,0.04745487,0.050152
2021-06-11,605224555,4066958,0.04853196,0.04745487
2021-06-10,653084987,4348224,0.053312,0.04853196
2021-06-09,601514021,5494885,0.04899234,0.053312
2021-06-08,648888215,4200885,0.052464,0.04899234
2021-06-07,667022545,3220332,0.054829,0.052464
2021-06-06,644890321,3739651,0.052804,0.054829
2021-06-05,700662450,5237934,0.057102,0.052804
2021-06-04,741357857,4294615,0.060275,0.057102
2021-06-03,717184981,4057534,0.058602,0.060275
2021-06-02,705767677,5336486,0.057558,0.058602
2021-06-01,697809306,5834219,0.057379,0.057558
2021-05-31,657683410,4332591,0.053541,0.057379
2021-05-30,612641734,5186024,0.04973063,0.053541
2021-05-29,613480753,6467570,0.050191,0.04973063
2021-05-28,684730137,6395310,0.056072,0.050191
2021-05-27,679060820,6531413,0.055515,0.056072
2021-05-26,644925797,8050024,0.052567,0.055515
2021-05-25,652988747,7117446,0.053208,0.052567
2021-05-24,567326272,8432659,0.04681548,0.053208
2021-05-23,665441752,12551597,0.054127,0.04681548
2021-05-22,696196711,9303863,0.057348,0.054127
2021-05-21,774162962,11183559,0.063221,0.057348
2021-05-20,699907623,15450541,0.055442,0.063221
2021-05-19,862040200,7179811,0.072037,0.055442
2021-05-18,865906391,9666013,0.070232,0.072037
2021-05-17,949991224,11026734,0.077625,0.070232
2021-05-16,935917495,5944986,0.077033,0.077625
2021-05-15,980141637,10145277,0.080254,0.077033
2021-05-14,943881174,10353009,0.076978,0.080254
2021-05-13,967299163,9998445,0.077529,0.076978
2021-05-12,1049692756,8677624,0.086095,0.077529
2021-05-11,1082386541,9245448,0.088127,0.086095
2021-05-10,1174282938,7135169,0.094368,0.088127
2021-05-09,1243347681,10223652,0.101800,0.094368
2021-05-08,1313531706,15985719,0.107452,0.101800
2021-05-07,1347559976,23531551,0.108187,0.107452
2021-05-06,1117123022,8359036,0.091214,0.108187
2021-05-05,1016597353,7998386,0.082456,0.091214
2021-05-04,1108248905,7334750,0.090844,0.082456
2021-05-03,1092672654,5459996,0.089293,0.090844
2021-05-02,1144352405,6909037,0.093776,0.089293
2021-05-01,1083626205,7374841,0.088983,0.093776
2021-04-30,1055307099,6927209,0.086231,0.088983
2021-04-29,1106159436,7830488,0.091924,0.086231
2021-04-28,1130118070,9192080,0.092344,0.091924
2021-04-27,1138310876,10926863,0.093694,0.092344
2021-04-26,931377377,6533497,0.076104,0.093694
2021-04-25,966864280,8439018,0.079191,0.076104
2021-04-24,984047146,15338214,0.080289,0.079191
2021-04-23,968048829,9431159,0.080188,0.080289
2021-04-22,1129289116,9343118,0.092034,0.080188
2021-04-21,1235093083,11045827,0.100766,0.092034
2021-04-20,1196846247,11086590,0.097553,0.100766
2021-04-19,1314936339,25717685,0.107312,0.097553
2021-04-18,1361072385,11890818,0.110941,0.107312
2021-04-17,1472760908,18484344,0.121111,0.110941
2021-04-16,1601165593,38793184,0.131448,0.121111
2021-04-15,1338566864,25218454,0.111333,0.131448
2021-04-14,1027205672,14774300,0.084015,0.111333
2021-04-13,829294012,11375730,0.068574,0.084015
2021-04-12,880642650,10355590,0.071811,0.068574
2021-04-11,915825060,17120778,0.074827,0.071811
2021-04-10,897494808,20239048,0.073451,0.074827
2021-04-09,786058378,12755749,0.063915,0.073451
2021-04-08,675558932,10382227,0.055856,0.063915
2021-04-07,663340185,8285917,0.054221,0.055856
2021-04-06,643944096,6851495,0.052905,0.054221
2021-04-05,629736384,6457035,0.051369,0.052905
2021-04-04,576823991,4965752,0.04720401,0.051369
2021-04-03,588576202,8443025,0.04802368,0.04720401
2021-04-02,558315236,10258380,0.04560966,0.04802368
2021-04-01,467789130,7088188,0.03816134,0.04560966
2021-03-31,480780856,7993361,0.03925133,0.03816134
2021-03-30,400999026,2419381,0.03281010,0.03925133
2021-03-29,392693101,2209932,0.03217028,0.03281010
2021-03-28,390465054,2094454,0.03208474,0.03217028
2021-03-27,396466602,2686117,0.03218387,0.03208474
2021-03-26,374152224,2797739,0.03066916,0.03218387
2021-03-25,385239270,5291311,0.03138300,0.03066916
2021-03-24,395323808,3804807,0.03251734,0.03138300
2021-03-23,368352149,3934925,0.03026887,0.03251734
2021-03-22,373517839,3643111,0.03002082,0.03026887
2021-03-21,402024240,4531776,0.03282138,0.03002082
2021-03-20,425243578,2743933,0.03499777,0.03282138
2021-03-19,433342132,3101306,0.03502596,0.03499777
2021-03-18,451902671,3552022,0.03692043,0.03502596
2021-03-17,459151841,4727737,0.03784411,0.03692043
2021-03-16,498924562,5644892,0.04064841,0.03784411
2021-03-15,443063141,4156910,0.03569402,0.04064841
2021-03-14,481288027,5457271,0.03929043,0.03569402
2021-03-13,461280748,4538883,0.03766578,0.03929043
2021-03-12,445643442,4069362,0.03648698,0.03766578
2021-03-11,441693979,4196131,0.03610389,0.03648698
2021-03-10,430053422,4145510,0.03514042,0.03610389
2021-03-09,448915325,4306094,0.03639121,0.03514042
2021-03-08,466524345,4816900,0.03781387,0.03639121
2021-03-07,442871725,4695380,0.03618782,0.03781387
2021-03-06,441592402,6175583,0.03651311,0.03618782
2021-03-05,436122767,10317832,0.03526909,0.03651311
2021-03-04,455677938,9565147,0.03703303,0.03526909
2021-03-03,497039672,19964670,0.04058571,0.03703303
2021-03-02,505635007,16953052,0.04147162,0.04058571
2021-03-01,406900125,8658462,0.03290521,0.04147162
2021-02-28,372574267,6721105,0.03055585,0.03290521
2021-02-27,351520225,7550342,0.02825813,0.03055585
2021-02-26,308662253,4615897,0.02506971,0.02825813
2021-02-25,274450408,4098821,0.02234597,0.02506971
2021-02-24,275519313,5817033,0.02282939,0.02234597
2021-02-23,305506744,6029928,0.02519570,0.02282939
2021-02-22,343050571,5844040,0.02724056,0.02519570
2021-02-21,290341077,5332723,0.02381799,0.02724056
2021-02-20,306510263,6076045,0.02434255,0.02381799
2021-02-19,357497644,9502842,0.02925061,0.02434255
2021-02-18,299244574,8675149,0.02483173,0.02925061
2021-02-17,339511805,20544458,0.02708964,0.02483173
2021-02-16,234087764,9887996,0.01907387,0.02708964
2021-02-15,208659091,9595998,0.01711057,0.01907387
2021-02-14,132604133,3622622,0.01088828,0.01711057
2021-02-13,130020645,3464592,0.01055972,0.01088828
2021-02-12,118791327,2762751,0.00959092,0.01055972
2021-02-11,112279723,2182643,0.00917457,0.00959092
2021-02-10,118666495,1880816,0.00938980,0.00917457
2021-02-09,111627163,3470551,0.00908451,0.00938980
2021-02-08,109925536,3649016,0.00940017,0.00908451
2021-02-07,121300732,2407228,0.00998984,0.00940017
2021-02-06,124038176,2644203,0.01023673,0.00998984
2021-02-05,116301116,3246130,0.00946080,0.01023673
2021-02-04,101142566,2474131,0.00833892,0.00946080
2021-02-03,97697442,2560594,0.00790912,0.00833892
2021-02-02,89950093,2420372,0.00731955,0.00790912
2021-02-01,76810935,1713816,0.00619207,0.00731955
2021-01-31,76197288,1821921,0.00621073,0.00619207
2021-01-30,74257358,1581863,0.00606433,0.00621073
2021-01-29,78254224,1602334,0.00630279,0.00606433
2021-01-28,73970871,1444757,0.00622000,0.00630279
2021-01-27,78549507,1593459,0.00642478,0.00622000
2021-01-26,74421468,1408289,0.00612094,0.00642478
2021-01-25,87898216,1391914,0.00707163,0.00612094
2021-01-24,78618213,1359354,0.00641117,0.00707163
2021-01-23,78888745,1292140,0.00644485,0.00641117
2021-01-22,73098592,1510748,0.00591416,0.00644485
2021-01-21,80755059,1573479,0.00661608,0.00591416
2021-01-20,81701643,1561259,0.00688508,0.00661608
2021-01-19,86363015,1688612,0.00704270,0.00688508
2021-01-18,74590888,1566585,0.00601523,0.00704270
2021-01-17,72734634,1406467,0.00595128,0.00601523
2021-01-16,0.000000000000,1221385,0.00582198,0.00595128
2021-01-15,0.000000000000,1680717,0.00619887,0.00582198
2021-01-14,0.000000000000,1571296,0.00641249,0.00619887
2021-01-13,0.000000000000,2032505,0.00601171,0.00641249
2021-01-12,0.000000000000,1817523,0.00612003,0.00601171
2021-01-11,0.000000000000,2036316,0.00707110,0.00612003
2021-01-10,0.000000000000,2354086,0.00740614,0.00707110
2021-01-09,0.000000000000,1588548,0.00722594,0.00740614
2021-01-08,0.000000000000,2948112,0.00748908,0.00722594
2021-01-07,0.000000000000,3235319,0.00739917,0.00748908
2021-01-06,0.000000000000,1949295,0.00574938,0.00739917
2021-01-05,0.000000000000,1768475,0.00535183,0.00574938
2021-01-04,0.000000000000,1616646,0.00514606,0.00535183
2021-01-03,0.000000000000,949802,0.00477177,0.00514606
2021-01-02,0.000000000000,1475923,0.00532875,0.00477177
2021-01-01,0.000000000000,1298345,0.00546319,0.00532875
2020-12-31,0.000000000000,911720,0.00499742,0.00546319
2020-12-30,0.000000000000,1481431,0.00550262,0.00499742
2020-12-29,0.000000000000,1446084,0.00612592,0.00550262
2020-12-28,0.000000000000,1375843,0.00539375,0.00612592
2020-12-27,0.000000000000,1173791,0.00523160,0.00539375
2020-12-26,0.000000000000,1219210,0.00523654,0.00523160
2020-12-25,0.000000000000,986496,0.00509982,0.00523654
2020-12-24,0.000000000000,805870,0.00509623,0.00509982
2020-12-23,0.000000000000,852103,0.00579072,0.00509623
2020-12-22,0.000000000000,1032342,0.00614758,0.00579072
2020-12-21,0.000000000000,816152,0.00620392,0.00614758
2020-12-20,0.000000000000,630513,0.00627023,0.00620392
2020-12-19,0.000000000000,834674,0.00677023,0.00627023
2020-12-18,0.000000000000,831387,0.00693352,0.00677023
2020-12-17,0.000000000000,942498,0.00665435,0.00693352
2020-12-16,0.000000000000,657956,0.00654406,0.00665435
2020-12-15,0.000000000000,1000131,0.00659157,0.00654406
2020-12-14,0.000000000000,1140708,0.00664215,0.00659157
2020-12-13,0.000000000000,1246961,0.00643605,0.00664215
2020-12-12,0.000000000000,906023,0.00586146,0.00643605
2020-12-11,0.000000000000,875159,0.00677822,0.00586146
2020-12-10,0.000000000000,847856,0.00678730,0.00677822
2020-12-09,0.000000000000,954486,0.00680069,0.00678730
2020-12-08,0.000000000000,911661,0.00711782,0.00680069
2020-12-07,0.000000000000,736913,0.00750825,0.00711782
2020-12-06,0.000000000000,878851,0.00789384,0.00750825
2020-12-05,0.000000000000,1114281,0.00768422,0.00789384
2020-12-04,0.000000000000,2233134,0.00677543,0.00768422
2020-12-03,0.000000000000,1992864,0.00868057,0.00677543
2020-12-02,0.000000000000,2097951,0.00868734,0.00868057
2020-12-01,0.000000000000,2660148,0.00945459,0.00868734
2020-11-30,0.000000000000,2460232,0.00878143,0.00945459
2020-11-29,0.000000000000,2124581,0.00856308,0.00878143
2020-11-28,0.000000000000,2382231,0.00864487,0.00856308
2020-11-27,0.000000000000,2429934,0.00763299,0.00864487
2020-11-26,0.000000000000,2586983,0.00826549,0.00763299
2020-11-25,0.000000000000,2985481,0.00815429,0.00826549
2020-11-24,0.000000000000,2707622,0.00823088,0.00815429
2020-11-23,0.000000000000,2446665,0.00832416,0.00823088
2020-11-22,0.000000000000,2359316,0.00882465,0.00832416
2020-11-21,0.000000000000,2028564,0.00843885,0.00882465
2020-11-20,0.000000000000,2286361,0.00810553,0.00843885
2020-11-19,0.000000000000,2533139,0.00831893,0.00810553
2020-11-18,0.000000000000,2927325,0.00840042,0.00831893
2020-11-17,0.000000000000,3421648,0.00795848,0.00840042
2020-11-16,0.000000000000,2901335,0.00755638,0.00795848
2020-11-15,0.000000000000,2041295,0.00588726,0.00755638
2020-11-14,0.000000000000,1618152,0.00531949,0.00588726
2020-11-13,0.000000000000,2388306,0.00559362,0.00531949
2020-11-12,0.000000000000,1873609,0.00577948,0.00559362
2020-11-11,0.000000000000,1983882,0.00562913,0.00577948
2020-11-10,0.000000000000,1881383,0.00579790,0.00562913
2020-11-09,0.000000000000,1895488,0.00591892,0.00579790
2020-11-08,0.000000000000,1686369,0.00561883,0.00591892
2020-11-07,0.000000000000,2049793,0.00588347,0.00561883
2020-11-06,0.000000000000,2149578,0.00597161,0.00588347
2020-11-05,0.000000000000,2123782,0.00619536,0.00597161
2020-11-04,0.000000000000,2104781,0.00628389,0.00619536
2020-11-03,0.000000000000,2836005,0.00583571,0.00628389
2020-11-02,0.000000000000,1698174,0.00643307,0.00583571
2020-11-01,0.000000000000,2140997,0.00616354,0.00643307
2020-10-31,0.000000000000,1843352,0.00639487,0.00616354
2020-10-30,0.000000000000,2314628,0.00641593,0.00639487
2020-10-29,0.000000000000,2359287,0.00645557,0.00641593
2020-10-28,0.000000000000,3020914,0.00669035,0.00645557
2020-10-27,0.000000000000,3436280,0.00743775,0.00669035
2020-10-26,0.000000000000,1563605,0.00747688,0.00743775
2020-10-25,0.000000000000,2560321,0.00686768,0.00747688
2020-10-24,0.000000000000,1429936,0.00577174,0.00686768
2020-10-23,0.000000000000,1059639,0.00603879,0.00577174
2020-10-22,0.000000000000,3600660,0.00572544,0.00603879
2020-10-21,0.000000000000,3047999,0.00563629,0.00572544
2020-10-20,0.000000000000,3266596,0.00447789,0.00563629
2020-10-19,0.000000000000,4251423,0.00442574,0.00447789
2020-10-18,0.000000000000,4129343,0.00443376,0.00442574
2020-10-17,0.000000000000,5066474,0.00453514,0.00443376
2020-10-16,0.000000000000,4500055,0.00450424,0.00453514
2020-10-15,0.000000000000,4295807,0.00448904,0.00450424
2020-10-14,0.000000000000,4052280,0.00470104,0.00448904
2020-10-13,0.000000000000,2592038,0.00464364,0.00470104
2020-10-12,0.000000000000,3391158,0.00456067,0.00464364
2020-10-11,0.000000000000,3740503,0.00461008,0.00456067
2020-10-10,0.000000000000,3965269,0.00472347,0.00461008
2020-10-09,0.000000000000,4269993,0.00445582,0.00472347
2020-10-08,0.000000000000,4086357,0.00446176,0.00445582
2020-10-07,0.000000000000,4335168,0.00464438,0.00446176
2020-10-06,0.000000000000,4243919,0.00490923,0.00464438
2020-10-05,0.000000000000,2732020,0.00504594,0.00490923
2020-10-04,0.000000000000,4472236,0.00474536,0.00504594
2020-10-03,0.000000000000,2540897,0.00496779,0.00474536
2020-10-02,0.000000000000,5608158,0.00497709,0.00496779
2020-10-01,0.000000000000,4128069,0.00519476,0.00497709
2020-09-30,0.000000000000,3332701,0.00513532,0.00519476
2020-09-29,0.000000000000,3896030,0.00504145,0.00513532
2020-09-28,0.000000000000,2987808,0.00509728,0.00504145
2020-09-27,0.000000000000,3813899,0.00504224,0.00509728
2020-09-26,0.000000000000,4260144,0.00481933,0.00504224
2020-09-25,0.000000000000,3244635,0.00485407,0.00481933
2020-09-24,0.000000000000,3750934,0.00487487,0.00485407
2020-09-23,0.000000000000,3879055,0.00518012,0.00487487
2020-09-22,0.000000000000,3872052,0.00516186,0.00518012
2020-09-21,0.000000000000,3469154,0.00547206,0.00516186
2020-09-20,0.000000000000,3889138,0.00542712,0.00547206
2020-09-19,0.000000000000,4048781,0.00575112,0.00542712
2020-09-18,0.000000000000,4529712,0.00583306,0.00575112
2020-09-17,0.000000000000,4954117,0.00573540,0.00583306
2020-09-16,0.000000000000,5378441,0.00588503,0.00573540
2020-09-15,0.000000000000,4421477,0.00576053,0.00588503
2020-09-14,0.000000000000,4395481,0.00565113,0.00576053
2020-09-13,0.000000000000,4617292,0.00601548,0.00565113
2020-09-12,0.000000000000,5030722,0.00585080,0.00601548
2020-09-11,0.000000000000,5893465,0.00609608,0.00585080
2020-09-10,0.000000000000,4626617,0.00604911,0.00609608
