date,mktcap,vol,open_price,close_price
2021-10-04,11975916,155554,0.074757,0.077883
2021-10-03,10610734,191295,0.066758,0.074757
2021-10-02,11948793,229609,0.076037,0.066758
2021-10-01,10112907,345422,0.063055,0.076037
2021-09-30,9688649,88133,0.061085,0.063055
2021-09-29,8606129,320351,0.053950,0.061085
2021-09-28,9208698,25743,0.057800,0.053950
2021-09-27,10357548,234614,0.064478,0.057800
2021-09-26,11905239,32009,0.075883,0.064478
2021-09-25,10163791,76563,0.064563,0.075883
2021-09-24,10696738,95273,0.074522,0.064563
2021-09-23,10067922,147528,0.071764,0.074522
2021-09-22,7531444,232116,0.053809,0.071764
2021-09-21,9891398,259558,0.069025,0.053809
2021-09-20,12076912,79206,0.088302,0.069025
2021-09-19,10513133,110060,0.086711,0.088302
2021-09-18,11717000,50228,0.085817,0.086711
2021-09-17,11455001,53684,0.085345,0.085817
2021-09-16,12372259,87612,0.093720,0.085345
2021-09-15,10873699,146045,0.085152,0.093720
2021-09-14,11675231,320124,0.092051,0.085152
2021-09-13,10816876,120199,0.094513,0.092051
2021-09-12,11907103,142111,0.104480,0.094513
2021-09-11,10818340,117699,0.095041,0.104480
2021-09-10,11753018,175931,0.103001,0.095041
2021-09-09,12473138,170478,0.108301,0.103001
2021-09-08,10883242,94962,0.095435,0.108301
2021-09-07,13515475,70696,0.118062,0.095435
2021-09-06,13995998,418520,0.123354,0.118062
2021-09-05,11458267,80150,0.100588,0.123354
2021-09-04,12021381,467285,0.105859,0.100588
2021-09-03,12701371,86676,0.111459,0.105859
2021-09-02,13112291,245210,0.115213,0.111459
2021-09-01,14909837,283333,0.130827,0.115213
2021-08-31,13132474,649594,0.115016,0.130827
2021-08-30,13747862,6414382,0.117823,0.115016
2021-08-29,27812658,423171,0.244182,0.117823
2021-08-28,33039770,684836,0.291230,0.244182
2021-08-27,24747394,881218,0.218459,0.291230
2021-08-26,22340674,266896,0.198393,0.218459
2021-08-25,21276355,308896,0.188744,0.198393
2021-08-24,18662368,438097,0.165204,0.188744
2021-08-23,15799335,108629,0.140106,0.165204
2021-08-22,15358379,31250,0.136381,0.140106
2021-08-21,16081442,221300,0.143563,0.136381
2021-08-20,15594248,245544,0.144026,0.143563
2021-08-19,16250049,131739,0.147051,0.144026
2021-08-18,16309580,165889,0.147212,0.147051
2021-08-17,18064715,285781,0.163178,0.147212
2021-08-16,18003974,163019,0.164330,0.163178
2021-08-15,20772977,445571,0.188230,0.164330
2021-08-14,15881214,203670,0.145684,0.188230
2021-08-13,13395802,232774,0.125790,0.145684
2021-08-12,15576658,96593,0.145944,0.125790
2021-08-11,14971200,198649,0.140126,0.145944
2021-08-10,16399613,195241,0.155305,0.140126
2021-08-09,17562310,740208,0.166707,0.155305
2021-08-08,14316507,250570,0.138100,0.166707
2021-08-07,12573009,130421,0.119705,0.138100
2021-08-06,11459051,113172,0.109800,0.119705
2021-08-05,11942233,116978,0.114870,0.109800
2021-08-04,10573294,157127,0.102604,0.114870
2021-08-03,10628143,275565,0.106622,0.102604
2021-08-02,12796002,292251,0.128312,0.106622
2021-08-01,10143879,80804,0.100179,0.128312
2021-07-31,10032283,245072,0.100644,0.100179
2021-07-30,8791983,61037,0.086771,0.100644
2021-07-29,8718581,145393,0.088114,0.086771
2021-07-28,7494983,194525,0.082704,0.088114
2021-07-27,7949093,542936,0.087622,0.082704
2021-07-26,6228593,71571,0.068517,0.087622
2021-07-25,6848817,229459,0.075878,0.068517
2021-07-24,6266561,137167,0.069109,0.075878
2021-07-23,5834150,379387,0.064541,0.069109
