date,mktcap,vol,open_price,close_price
2021-10-04,59275613,637557,0.480498,0.472219
2021-10-03,58256375,332713,0.472356,0.480498
2021-10-02,56526842,487049,0.458454,0.472356
2021-10-01,52748146,390060,0.427488,0.458454
2021-09-30,51120772,1167192,0.414474,0.427488
2021-09-29,50567032,426209,0.402973,0.414474
2021-09-28,52438484,345694,0.423995,0.402973
2021-09-27,55745535,373294,0.451532,0.423995
2021-09-26,55420275,305810,0.449176,0.451532
2021-09-25,54791249,766033,0.444215,0.449176
2021-09-24,57913055,614497,0.469089,0.444215
2021-09-23,53334421,960781,0.439767,0.469089
2021-09-22,46528816,595094,0.378355,0.439767
2021-09-21,49910666,1215532,0.405600,0.378355
2021-09-20,48789429,467006,0.395999,0.405600
2021-09-19,52027592,214506,0.422546,0.395999
2021-09-18,52034265,287164,0.420109,0.422546
2021-09-17,54537303,556961,0.442041,0.420109
2021-09-16,58304394,324741,0.470819,0.442041
2021-09-15,56957048,681097,0.461808,0.470819
2021-09-14,57055814,752282,0.462145,0.461808
2021-09-13,59715404,524456,0.483495,0.462145
2021-09-12,53942240,334628,0.437283,0.483495
2021-09-11,52698502,548183,0.426852,0.437283
2021-09-10,58388681,383737,0.472502,0.426852
2021-09-09,57719511,481170,0.467521,0.472502
2021-09-08,58400104,474496,0.472817,0.467521
2021-09-07,68066570,330540,0.552323,0.472817
2021-09-06,68001839,406203,0.550934,0.552323
2021-09-05,69558279,1000575,0.563264,0.550934
2021-09-04,72271637,1381198,0.586736,0.563264
2021-09-03,65053822,1243732,0.527116,0.586736
2021-09-02,62063980,593971,0.502711,0.527116
2021-09-01,62118058,770674,0.502766,0.502711
2021-08-31,61012090,599628,0.492966,0.502766
2021-08-30,63508272,675736,0.514518,0.492966
2021-08-29,63987481,994968,0.518646,0.514518
2021-08-28,59305836,634328,0.483385,0.518646
2021-08-27,56312077,566886,0.455455,0.483385
2021-08-26,55572850,530309,0.449976,0.455455
2021-08-25,52967507,733411,0.428548,0.449976
2021-08-24,57157649,1291698,0.462735,0.428548
2021-08-23,59693423,2724240,0.485582,0.462735
2021-08-22,55307682,874017,0.447959,0.485582
2021-08-21,56835413,1175279,0.460545,0.447959
2021-08-20,54456937,908729,0.443471,0.460545
2021-08-19,52838657,1202498,0.425240,0.443471
2021-08-18,49677241,1723837,0.400926,0.425240
2021-08-17,42750184,977557,0.384783,0.400926
2021-08-16,43490525,675924,0.386479,0.384783
2021-08-15,44579880,525232,0.396267,0.386479
2021-08-14,43352283,333728,0.386210,0.396267
2021-08-13,40624591,670736,0.361454,0.386210
2021-08-12,38617112,515478,0.341454,0.361454
2021-08-11,42050544,583193,0.379931,0.341454
2021-08-10,43719526,473190,0.395217,0.379931
2021-08-09,41707377,377739,0.370734,0.395217
2021-08-08,46063715,294682,0.411370,0.370734
2021-08-07,45708882,376797,0.406747,0.411370
2021-08-06,42980146,365576,0.384934,0.406747
2021-08-05,43286169,473674,0.383948,0.384934
2021-08-04,38202869,1067288,0.338685,0.383948
2021-08-03,40173742,968264,0.356670,0.338685
2021-08-02,41583060,329588,0.364395,0.356670
2021-08-01,41976372,306919,0.373161,0.364395
2021-07-31,43085516,183261,0.382176,0.373161
2021-07-30,43276155,155142,0.384577,0.382176
2021-07-29,42572850,128507,0.378047,0.384577
2021-07-28,42750976,276626,0.381030,0.378047
2021-07-27,41710808,1044447,0.368558,0.381030
2021-07-26,44429649,1422509,0.395994,0.368558
2021-07-25,44953504,1177419,0.399777,0.395994
2021-07-24,50230234,2321836,0.445010,0.399777
2021-07-23,40996441,445231,0.363977,0.445010
2021-07-22,37943198,356613,0.339456,0.363977
2021-07-21,33420550,738872,0.296745,0.339456
2021-07-20,34884366,570975,0.311098,0.296745
2021-07-19,39008842,1178573,0.347451,0.311098
2021-07-18,39335290,299615,0.349620,0.347451
2021-07-17,39035556,221823,0.346956,0.349620
2021-07-16,41137789,465229,0.362382,0.346956
2021-07-15,42709039,467071,0.383112,0.362382
2021-07-14,41738840,533670,0.378159,0.383112
2021-07-13,46028229,900457,0.418794,0.378159
2021-07-12,56313934,1391447,0.511820,0.418794
2021-07-11,45307376,276600,0.411017,0.511820
2021-07-10,44476920,530973,0.402841,0.411017
2021-07-09,41754082,955336,0.379366,0.402841
2021-07-08,41218034,171730,0.374141,0.379366
2021-07-07,41477580,634477,0.376486,0.374141
2021-07-06,37328238,169862,0.337736,0.376486
2021-07-05,39225803,432844,0.356305,0.337736
2021-07-04,37936227,539858,0.347183,0.356305
2021-07-03,35229764,676896,0.320629,0.347183
2021-07-02,32910664,639985,0.298924,0.320629
2021-07-01,35451358,590284,0.321599,0.298924
2021-06-30,33201955,427870,0.300613,0.321599
2021-06-29,34385941,479443,0.313152,0.300613
2021-06-28,31273947,242606,0.284523,0.313152
2021-06-27,28311907,575635,0.259370,0.284523
2021-06-26,28023490,539998,0.255896,0.259370
2021-06-25,29342745,802352,0.266251,0.255896
2021-06-24,32014952,837192,0.291319,0.266251
2021-06-23,32032340,651933,0.291444,0.291319
2021-06-22,30628675,548648,0.276533,0.291444
2021-06-21,35057800,754569,0.319553,0.276533
2021-06-20,33044439,448095,0.305592,0.319553
2021-06-19,32488677,275137,0.296199,0.305592
2021-06-18,33631429,467829,0.305479,0.296199
2021-06-17,31306736,508113,0.286191,0.305479
2021-06-16,31857900,417674,0.292365,0.286191
2021-06-15,32225815,293892,0.294950,0.292365
2021-06-14,30626113,219265,0.282692,0.294950
2021-06-13,29917854,224672,0.273554,0.282692
2021-06-12,29901292,934349,0.277062,0.273554
2021-06-11,32467809,523770,0.298972,0.277062
2021-06-10,33947696,242451,0.311343,0.298972
2021-06-09,32649142,266971,0.300729,0.311343
2021-06-08,34539946,504263,0.316928,0.300729
2021-06-07,36015017,356749,0.332117,0.316928
2021-06-06,32190497,197484,0.298003,0.332117
2021-06-05,33492775,255915,0.307838,0.298003
2021-06-04,36062971,849232,0.332365,0.307838
2021-06-03,34096865,1085153,0.314036,0.332365
2021-06-02,32517803,1019483,0.299690,0.314036
2021-06-01,34657679,555209,0.313098,0.299690
2021-05-31,32450653,1322643,0.298516,0.313098
2021-05-30,32650859,1809921,0.300548,0.298516
2021-05-29,35700095,1479221,0.328837,0.300548
2021-05-28,38483620,1333840,0.354625,0.328837
2021-05-27,38712800,1072131,0.367197,0.354625
2021-05-26,39217422,1850409,0.371352,0.367197
2021-05-25,42931126,1953204,0.405692,0.371352
2021-05-24,33993534,1947404,0.322322,0.405692
2021-05-23,39069785,1248616,0.370031,0.322322
2021-05-22,44805149,1770628,0.424668,0.370031
2021-05-21,54941559,1870819,0.522786,0.424668
2021-05-20,48151473,3004735,0.444543,0.522786
2021-05-19,64714978,1203294,0.615255,0.444543
2021-05-18,62982955,1704410,0.597267,0.615255
2021-05-17,64005617,2089819,0.607702,0.597267
2021-05-16,70333582,2340233,0.659769,0.607702
2021-05-15,74828196,1127082,0.711792,0.659769
2021-05-14,67024941,2142314,0.641007,0.711792
2021-05-13,73240889,4524007,0.688159,0.641007
2021-05-12,73684919,1823538,0.703414,0.688159
2021-05-11,73161869,2826127,0.700889,0.703414
2021-05-10,75776897,425873,0.722681,0.700889
2021-05-09,77924338,861174,0.744318,0.722681
2021-05-08,71327341,1905507,0.679816,0.744318
2021-05-07,74085001,497336,0.700889,0.679816
2021-05-06,76354254,1171062,0.736536,0.700889
2021-05-05,67303327,1920975,0.683920,0.736536
2021-05-04,68818604,2079697,0.698935,0.683920
2021-05-03,69928881,2400084,0.711066,0.698935
2021-05-02,74184114,2308383,0.752205,0.711066
2021-05-01,79172602,2677988,0.797739,0.752205
2021-04-30,75904640,2983024,0.772838,0.797739
2021-04-29,74881918,6472801,0.762383,0.772838
2021-04-28,93523768,11792838,0.953406,0.762383
2021-04-27,87282422,4728044,0.887697,0.953406
2021-04-26,72555469,2771808,0.736765,0.887697
2021-04-25,64581897,1933095,0.650351,0.736765
2021-04-24,61528752,1956652,0.625344,0.650351
2021-04-23,59242085,1849263,0.600731,0.625344
2021-04-22,61364934,1509925,0.621765,0.600731
2021-04-21,61574587,1083885,0.623811,0.621765
2021-04-20,59197677,1281278,0.601247,0.623811
2021-04-19,59326663,1821858,0.602557,0.601247
2021-04-18,62840268,2001983,0.633681,0.602557
2021-04-17,59715156,1840626,0.606158,0.633681
2021-04-16,57148063,1579091,0.600823,0.606158
2021-04-15,60188366,3318617,0.615514,0.600823
2021-04-14,59610295,2201111,0.613201,0.615514
2021-04-13,63782637,1865587,0.669656,0.613201
2021-04-12,61525912,922526,0.647235,0.669656
2021-04-11,65114487,1840488,0.687431,0.647235
2021-04-10,65075090,1898680,0.688392,0.687431
2021-04-09,62087642,2211112,0.658597,0.688392
2021-04-08,60249680,2393408,0.638319,0.658597
2021-04-07,60003118,2346602,0.638029,0.638319
2021-04-06,63007986,2076915,0.671387,0.638029
2021-04-05,65717008,2694688,0.700287,0.671387
2021-04-04,69147644,1686627,0.747168,0.700287
2021-04-03,69673632,1654829,0.751636,0.747168
2021-04-02,70046367,1660378,0.757074,0.751636
2021-04-01,70668558,1945236,0.763154,0.757074
2021-03-31,76045742,2260678,0.821572,0.763154
2021-03-30,77739866,1166307,0.843005,0.821572
2021-03-29,80043752,2181782,0.866107,0.843005
2021-03-28,84150068,3334745,0.908543,0.866107
2021-03-27,77435398,2260490,0.837977,0.908543
2021-03-26,65230709,1317143,0.712375,0.837977
2021-03-25,64564343,1710436,0.702287,0.712375
2021-03-24,70424739,1512056,0.774440,0.702287
2021-03-23,90045838,2591440,0.841108,0.774440
2021-03-22,94298106,2365539,0.883260,0.841108
2021-03-21,90168859,2448968,0.843286,0.883260
2021-03-20,88482989,2066343,0.827503,0.843286
2021-03-19,88211559,1486096,0.826777,0.827503
2021-03-18,94325172,4264289,0.882602,0.826777
2021-03-17,87205272,2356422,0.818628,0.882602
2021-03-16,89566901,1643350,0.838197,0.818628
2021-03-15,82614042,1343512,0.894016,0.838197
2021-03-14,84658949,1750725,0.914888,0.894016
2021-03-13,89333694,4256256,0.963985,0.914888
2021-03-12,83048350,2445029,0.903399,0.963985
2021-03-11,83373201,2239169,0.896575,0.903399
2021-03-10,83489040,4189167,0.904984,0.896575
2021-03-09,90922917,4065387,0.983942,0.904984
2021-03-08,83298818,5883269,0.897333,0.983942
2021-03-07,56977324,1017742,0.616518,0.897333
2021-03-06,57674443,1655835,0.626913,0.616518
2021-03-05,58213986,1168450,0.633187,0.626913
2021-03-04,57679630,2007879,0.633875,0.633187
2021-03-03,60438091,1547872,0.679443,0.633875
2021-03-02,65498706,1599654,0.736906,0.679443
2021-03-01,55624617,1829299,0.633217,0.736906
2021-02-28,58676111,621156,0.660461,0.633217
2021-02-27,57133484,2622491,0.643306,0.660461
2021-02-26,58842379,2096377,0.656353,0.643306
2021-02-25,63972398,2060758,0.721255,0.656353
2021-02-24,59519485,3034745,0.666162,0.721255
2021-02-23,70517978,3849415,0.803246,0.666162
2021-02-22,73050075,3330815,0.827713,0.803246
2021-02-21,70764737,4354247,0.812188,0.827713
2021-02-20,61584614,4300094,0.692684,0.812188
2021-02-19,76844683,7158576,0.871442,0.692684
2021-02-18,77556789,8426739,0.861299,0.871442
2021-02-17,90684519,18025429,1.07,0.861299
2021-02-16,77548319,37244002,1.21,1.07
2021-02-15,43931563,12531720,0.706873,1.21
2021-02-14,30574284,1239397,0.489653,0.706873
2021-02-13,33623726,3007701,0.537773,0.489653
2021-02-12,32396377,2543037,0.510489,0.537773
2021-02-11,33806283,3190378,0.533905,0.510489
2021-02-10,28348435,1563504,0.452482,0.533905
2021-02-09,32100529,2618494,0.515006,0.452482
2021-02-08,23103528,1275903,0.371316,0.515006
2021-02-07,26857615,3318818,0.430676,0.371316
2021-02-06,35134882,8868573,0.569681,0.430676
