date,mktcap,vol,open_price,close_price
2021-10-04,674460197,114782194,7.67,7.14
2021-10-03,689710109,225211645,7.85,7.67
2021-10-02,703291881,143390105,8.00,7.85
2021-10-01,537537063,97364705,6.14,8.00
2021-09-30,490501915,79781593,5.56,6.14
2021-09-29,483306412,131548950,5.36,5.56
2021-09-28,457144481,81325646,5.20,5.36
2021-09-27,463043206,126000205,5.15,5.20
2021-09-26,504940474,140852761,5.77,5.15
2021-09-25,617208925,413192108,6.96,5.77
2021-09-24,536683486,25393768,6.11,6.96
2021-09-23,500653362,36492064,5.72,6.11
2021-09-22,414690836,37457169,4.79,5.72
2021-09-21,434420931,64065048,5.00,4.79
2021-09-20,541737573,19955751,6.17,5.00
2021-09-19,556588739,23115591,6.33,6.17
2021-09-18,590858997,46697286,6.69,6.33
2021-09-17,601392928,46333284,6.84,6.69
2021-09-16,523185967,20431562,5.95,6.84
2021-09-15,539490089,33455156,6.11,5.95
2021-09-14,475202425,25939297,5.44,6.11
2021-09-13,538255385,39930587,6.10,5.44
2021-09-12,507092428,29418579,5.77,6.10
2021-09-11,456435461,30387009,5.22,5.77
2021-09-10,483999425,40674469,5.50,5.22
2021-09-09,522442323,52940029,5.92,5.50
2021-09-08,540865029,78692949,6.16,5.92
2021-09-07,650390258,48957066,7.29,6.16
2021-09-06,726944863,22420570,8.27,7.29
2021-09-05,763940826,47148397,8.66,8.27
2021-09-04,750691134,39153543,8.54,8.66
2021-09-03,783665300,30701475,8.90,8.54
2021-09-02,777742259,53171982,8.84,8.90
2021-09-01,729214856,32907589,8.30,8.84
2021-08-31,751984196,50701547,8.55,8.30
2021-08-30,829756131,30651142,9.43,8.55
2021-08-29,862757789,43122090,9.81,9.43
2021-08-28,911960712,67266786,10.37,9.81
2021-08-27,897181965,129359233,10.19,10.37
2021-08-26,806394142,71149823,9.35,10.19
2021-08-25,676310363,103074288,7.69,9.35
2021-08-24,625549169,29860635,7.12,7.69
2021-08-23,680976383,20531932,7.74,7.12
2021-08-22,689314573,37146461,7.84,7.74
2021-08-21,695693444,54013285,7.94,7.84
2021-08-20,632631800,86706421,7.24,7.94
2021-08-19,497682154,45407030,5.67,7.24
2021-08-18,600825480,55879211,6.82,5.67
2021-08-17,634844321,80410175,7.23,6.82
2021-08-16,556461068,83399357,6.36,7.23
2021-08-15,603669943,160974989,6.84,6.36
2021-08-14,434818253,54094461,4.92,6.84
2021-08-13,292394047,28349957,3.33,4.92
2021-08-12,291409921,53442540,3.33,3.33
2021-08-11,200638407,12803562,2.29,3.33
2021-08-10,177223263,9228359,2.06,2.29
2021-08-09,185001154,8632643,2.09,2.06
2021-08-08,196686927,7760436,2.23,2.09
2021-08-07,194308844,14328433,2.21,2.23
2021-08-06,192396008,11808004,2.18,2.21
2021-08-05,204595666,18208337,2.33,2.18
2021-08-04,156203098,12874123,1.78,2.33
2021-08-03,207876669,15695312,2.37,1.78
2021-08-02,202687803,24024764,2.31,2.37
2021-08-01,236351752,35278243,2.69,2.31
2021-07-31,224098804,45377786,2.55,2.69
2021-07-30,192303152,62427631,2.19,2.55
2021-07-29,126641480,35207963,1.44,2.19
2021-07-28,126641480,35207963,1.44,1.44
