date,mktcap,vol,open_price,close_price
2021-10-04,1586546,1952.93,0.01776144,0.02018127
2021-10-03,1678710,2372.18,0.01886007,0.01776144
2021-10-02,1587929,5359.79,0.01824583,0.01886007
2021-10-01,1365363,150.84,0.01567683,0.01824583
2021-09-30,1331683,2481.65,0.01482326,0.01567683
2021-09-29,1214998,50.59,0.01372827,0.01482326
2021-09-28,1223761,3375.84,0.01377997,0.01372827
2021-09-27,1368113,5293.69,0.01499910,0.01377997
2021-09-26,1460486,1308.04,0.01646382,0.01499910
2021-09-25,1455840,2216.11,0.01640830,0.01646382
2021-09-24,1541464,6630.02,0.01775910,0.01640830
2021-09-23,1545980,76.43,0.01808247,0.01775910
2021-09-22,1565227,69.45,0.01685085,0.01808247
2021-09-21,1574237,3173.88,0.01762786,0.01685085
2021-09-20,1871905,1075.30,0.02098569,0.01762786
2021-09-19,2092553,10589.09,0.02135400,0.02098569
2021-09-18,2139067,510.88,0.02439056,0.02135400
2021-09-17,2229653,148.02,0.02518309,0.02439056
2021-09-16,2408462,1023.08,0.02700420,0.02518309
2021-09-15,2270383,64.67,0.02577247,0.02700420
2021-09-14,2274068,2573.73,0.02580391,0.02577247
2021-09-13,2382864,294.64,0.02755096,0.02580391
2021-09-12,2360287,2325.70,0.02660873,0.02755096
2021-09-11,2321889,8445.70,0.02643318,0.02660873
2021-09-10,2210914,117402,0.02544828,0.02643318
2021-09-09,3317058,3435.50,0.03784157,0.02544828
2021-09-08,3361994,20395,0.03855686,0.03784157
2021-09-07,4311271,5183.18,0.04780137,0.03855686
2021-09-06,4401444,15615.34,0.050077,0.04780137
2021-09-05,4683643,490.50,0.053547,0.050077
2021-09-04,4576562,7098.56,0.052221,0.053547
2021-09-03,4668877,6177.11,0.053209,0.052221
2021-09-02,4842694,2151.85,0.055544,0.053209
2021-09-01,4695661,1163.33,0.053636,0.055544
2021-08-31,4815655,11779.84,0.054021,0.053636
2021-08-30,4946018,49.25,0.057262,0.054021
2021-08-29,5046165,6143.68,0.057896,0.057262
2021-08-28,5044088,8435.93,0.058309,0.057896
2021-08-27,5232809,26788,0.060497,0.058309
2021-08-26,5669969,4395.83,0.065624,0.060497
2021-08-25,5536741,7182.95,0.063730,0.065624
2021-08-24,5918217,17826.12,0.068600,0.063730
2021-08-23,5272588,30518,0.061244,0.068600
2021-08-22,5200791,56231,0.060101,0.061244
2021-08-21,4307031,9995.51,0.052740,0.060101
2021-08-20,3938439,5857.85,0.04664348,0.052740
2021-08-19,3799011,3502.11,0.04440970,0.04664348
2021-08-18,0.000000000000,16792.39,0.04447915,0.04440970
2021-08-17,0.000000000000,56454,0.04521207,0.04447915
2021-08-16,0.000000000000,56454,0.04521207,0.04521207
