date,mktcap,vol,open_price,close_price
2021-10-04,36237156,26369,0.00729429,0.00739399
2021-10-03,35785825,67520,0.00722114,0.00729429
2021-10-02,36248011,62365,0.00733108,0.00722114
2021-10-01,35169425,54186,0.00708372,0.00733108
2021-09-30,34284802,163748,0.00692917,0.00708372
2021-09-29,33420418,98555,0.00681255,0.00692917
2021-09-28,35638873,81754,0.00717608,0.00681255
2021-09-27,35731478,128383,0.00723072,0.00717608
2021-09-26,42144862,108223,0.00844847,0.00723072
2021-09-25,44391101,117965,0.00891342,0.00844847
2021-09-24,51232088,64597,0.01027181,0.00891342
2021-09-23,48220334,48092,0.00972452,0.01027181
2021-09-22,45576362,79813,0.00915899,0.00972452
2021-09-21,47924910,77009,0.00971634,0.00915899
2021-09-20,52666248,75804,0.01060501,0.00971634
2021-09-19,53683747,83375,0.01079581,0.01060501
2021-09-18,52952371,71714,0.01063571,0.01079581
2021-09-17,53438800,73438,0.01088780,0.01063571
2021-09-16,54170676,66451,0.01115131,0.01088780
2021-09-15,52885962,80783,0.01066747,0.01115131
2021-09-14,50529403,78450,0.01015687,0.01066747
2021-09-13,51755231,72738,0.01043134,0.01015687
2021-09-12,51222828,71644,0.01032403,0.01043134
2021-09-11,52592427,61640,0.01060316,0.01032403
2021-09-10,54363979,103383,0.01095869,0.01060316
2021-09-09,51868851,113382,0.01039091,0.01095869
2021-09-08,56497875,159642,0.01149427,0.01039091
2021-09-07,61092990,133419,0.01246344,0.01149427
2021-09-06,60800289,117824,0.01225725,0.01246344
2021-09-05,59541059,96799,0.01204066,0.01225725
2021-09-04,60803847,131481,0.01229053,0.01204066
2021-09-03,59793788,119206,0.01205152,0.01229053
2021-09-02,58255006,148185,0.01177172,0.01205152
2021-09-01,60592858,110888,0.01221366,0.01177172
2021-08-31,60032306,113477,0.01201884,0.01221366
2021-08-30,62686035,97343,0.01264791,0.01201884
2021-08-29,61318336,87431,0.01236136,0.01264791
2021-08-28,61131441,88171,0.01233006,0.01236136
2021-08-27,60073880,123622,0.01209383,0.01233006
2021-08-26,63009672,94767,0.01256638,0.01209383
2021-08-25,61811796,134970,0.01240664,0.01256638
2021-08-24,69144537,144524,0.01399859,0.01240664
2021-08-23,71119750,119121,0.01432904,0.01399859
2021-08-22,71783041,136939,0.01443478,0.01432904
2021-08-21,74316158,192198,0.01498319,0.01443478
2021-08-20,69196029,164615,0.01417881,0.01498319
2021-08-19,65625012,147416,0.01322926,0.01417881
2021-08-18,67104684,207597,0.01348818,0.01322926
2021-08-17,77750602,242456,0.01560325,0.01348818
2021-08-16,76339795,221991,0.01534900,0.01560325
2021-08-15,80471204,282156,0.01610104,0.01534900
2021-08-14,82240258,291974,0.01657564,0.01610104
2021-08-13,71084156,225079,0.01446610,0.01657564
2021-08-12,66234889,202911,0.01332645,0.01446610
2021-08-11,65147231,208466,0.01323003,0.01332645
2021-08-10,62230090,177862,0.01271000,0.01323003
2021-08-09,59751893,167317,0.01199421,0.01271000
2021-08-08,61653076,150848,0.01241206,0.01199421
2021-08-07,59661465,131339,0.01195413,0.01241206
2021-08-06,59083911,126356,0.01190844,0.01195413
2021-08-05,57472606,146781,0.01152726,0.01190844
2021-08-04,55515977,144069,0.01118932,0.01152726
2021-08-03,55530125,168491,0.01116747,0.01118932
2021-08-02,56538687,156162,0.01114848,0.01116747
2021-08-01,61817079,180287,0.01246878,0.01114848
2021-07-31,59269903,203608,0.01195085,0.01246878
2021-07-30,58852369,148410,0.01182636,0.01195085
2021-07-29,60569375,168078,0.01221600,0.01182636
