date,mktcap,vol,open_price,close_price
2021-10-05,69618.0,0.462537,1.69e-06,NIF
2021-10-04,71474.0,0.00052072,3.47e-06,1.69e-06
2021-10-03,71891.0,198.43,1.73e-06,3.47e-06
2021-10-02,69107.0,191.33,1.66e-06,1.73e-06
2021-10-01,170606.0,1.07,1.51e-06,1.66e-06
2021-09-30,170606.0,1.07,1.51e-06,1.51e-06
2021-09-21,169882.0,32.77,4.1e-06,1.51e-06
2021-09-20,177639.0,48.63,4.5e-06,4.1e-06
2021-09-19,205408.0,0.00086425,4.14e-06,4.5e-06
2021-09-18,205408.0,0.00086425,4.14e-06,4.14e-06
2021-09-17,76516.0,0.0009053,1.89e-06,4.14e-06
2021-09-16,76516.0,0.0009053,1.89e-06,1.89e-06
2021-09-13,76258.0,0.00151465,1.84e-06,1.89e-06
2021-09-12,76724.0,0.00457542,1.85e-06,1.84e-06
2021-09-11,76724.0,0.00457542,1.85e-06,1.85e-06
2021-09-08,186168.0,0.03406234,4.51e-06,1.85e-06
2021-09-07,185357.0,0.03385119,4.48e-06,4.51e-06
2021-09-06,110261.0,3.14,3.02e-06,4.48e-06
2021-09-05,76301.0,2.56,2.67e-06,3.02e-06
2021-09-04,73609.0,12.03,1.87e-06,2.67e-06
2021-09-03,74101.0,227.64,1.78e-06,1.87e-06
2021-09-02,151992.0,5.55,3.68e-06,1.78e-06
2021-09-01,151992.0,5.55,3.68e-06,3.68e-06
2021-08-31,151652.0,0.00095055,1.74e-06,3.68e-06
2021-08-30,161376.0,4.9,3.68e-06,1.74e-06
2021-08-29,89640.0,6.14,3.92e-06,3.68e-06
2021-08-28,69794.0,2.3,4.9e-06,3.92e-06
2021-08-27,69794.0,2.3,4.9e-06,4.9e-06
2021-08-26,73091.0,1.03,1.74e-06,4.9e-06
2021-08-25,73091.0,1.03,1.74e-06,1.74e-06
2021-08-14,72341.0,0.00054566,1.82e-06,1.74e-06
2021-08-13,69392.0,50.95,1.7e-06,1.82e-06
2021-08-12,69392.0,50.95,1.7e-06,1.7e-06
2021-08-09,123774.0,7.42,3.04e-06,1.7e-06
2021-08-08,123909.0,15.96,3.05e-06,3.04e-06
2021-08-07,122553.0,41.81,1.5e-06,3.05e-06
2021-08-06,122553.0,41.81,1.5e-06,1.5e-06
2021-08-04,16076.97,0.04743622,3.95218e-07,1.5e-06
2021-08-03,164306.0,855.02,3.69e-06,3.95218e-07
2021-08-02,221619.0,0.158276,5.43e-06,3.69e-06
2021-08-01,233193.0,1.144e-05,5.72e-06,5.43e-06
2021-07-31,277126.0,5.18,9.14582e-07,5.72e-06
2021-07-29,276515.0,19.09,6.8e-06,9.14582e-07
2021-07-28,277720.0,0.00074102,1.81e-05,6.8e-06
2021-07-27,129498.0,0.373848,6.05e-06,1.81e-05
2021-07-26,129498.0,0.373848,6.05e-06,6.05e-06
2021-07-22,53899.0,1.5,3.18e-06,6.05e-06
2021-07-21,91151.0,0.00402955,2.98e-06,3.18e-06
2021-07-20,91350.0,0.479097,2.25e-06,2.98e-06
2021-07-19,85656.0,8.33,2.12e-06,2.25e-06
2021-07-18,85656.0,8.33,2.12e-06,2.12e-06
2021-07-16,129892.0,0.372938,3.17e-06,2.12e-06
2021-07-15,107838.0,0.753597,3.2e-06,3.17e-06
2021-07-14,128759.0,0.00035905,2.66e-06,3.2e-06
2021-07-13,126193.0,7.83,3.3e-06,2.66e-06
2021-07-12,136854.0,0.398845,3.39e-06,3.3e-06
2021-07-11,132287.0,1.34,3.34e-06,3.39e-06
2021-07-10,132867.0,1.64,3.27e-06,3.34e-06
2021-07-09,106026.0,1.65,3.29e-06,3.27e-06
2021-07-08,49404.0,4.36,1.22e-06,3.29e-06
2021-07-07,49404.0,4.36,1.22e-06,1.22e-06
2021-07-06,119313.0,0.561177,2.8e-06,1.22e-06
2021-07-05,117890.0,0.347343,2.95e-06,2.8e-06
2021-07-04,137854.0,180.29,3.48e-06,2.95e-06
2021-07-03,109455.0,107.52,6.69e-06,3.48e-06
2021-07-02,110642.0,0.00020254,2.74e-06,6.69e-06
2021-07-01,112158.0,0.112758,2.88e-06,2.74e-06
2021-06-30,298320.0,68.5,4.37e-06,2.88e-06
2021-06-29,109821.0,0.00854806,2.73e-06,4.37e-06
2021-06-28,151957.0,10.95,3.78e-06,2.73e-06
2021-06-27,147235.0,1.32,3.7e-06,3.78e-06
2021-06-26,155384.0,13.14,3.84e-06,3.7e-06
2021-06-25,162736.0,0.00249699,4.05e-06,3.84e-06
2021-06-24,222191.0,0.394969,3.35e-06,4.05e-06
2021-06-23,113652.0,61.66,2.83e-06,3.35e-06
2021-06-22,107317.0,21.66,2.67e-06,2.83e-06
2021-06-21,123211.0,17.66,3.07e-06,2.67e-06
2021-06-20,127835.0,286.22,3.18e-06,3.07e-06
2021-06-19,127835.0,286.22,3.18e-06,3.18e-06
2021-06-18,205709.0,0.256752,5.13e-06,3.18e-06
2021-06-17,149675.0,0.00020925,3.46e-06,5.13e-06
2021-06-16,137519.0,4.177e-05,3.73e-06,3.46e-06
2021-06-15,137494.0,0.00020743,3.43e-06,3.73e-06
2021-06-14,128818.0,6.5,3.21e-06,3.43e-06
2021-06-13,121412.0,5.76e-06,3.09e-06,3.21e-06
2021-06-12,112724.0,0.00528045,7.52e-06,3.09e-06
2021-06-11,112724.0,0.00528045,7.52e-06,7.52e-06
2021-06-09,127340.0,5.26e-06,2.82e-06,7.52e-06
2021-06-08,157447.0,60.16,3.94e-06,2.82e-06
2021-06-07,143478.0,0.01167188,3.62e-06,3.94e-06
2021-06-06,191394.0,32.14,4.75e-06,3.62e-06
2021-06-05,202270.0,50.77,5.07e-06,4.75e-06
2021-06-04,171515.0,28.93,4.27e-06,5.07e-06
2021-06-03,185501.0,409.03,4.69e-06,4.27e-06
2021-06-02,213001.0,2.86,5.42e-06,4.69e-06
2021-06-01,143128.0,0.366545,3.65e-06,5.42e-06
2021-05-31,282610.0,0.00250742,7.1e-06,3.65e-06
2021-05-30,281952.0,2.78,5.55e-06,7.1e-06
2021-05-29,283289.0,0.00501854,7.08e-06,5.55e-06
2021-05-28,459521.0,38.74,1.125e-05,7.08e-06
2021-05-27,428678.0,117.26,1.061e-05,1.125e-05
2021-05-26,215694.0,8.02,5.3e-06,1.061e-05
2021-05-25,188956.0,0.466134,4.96e-06,5.3e-06
2021-05-24,143008.0,18.37,3.47e-06,4.96e-06
2021-05-23,207193.0,2.01,5.36e-06,3.47e-06
2021-05-22,245987.0,1.57,5.13e-06,5.36e-06
2021-05-21,253229.0,13.44,6.38e-06,5.13e-06
2021-05-20,271084.0,0.073371,7.2e-06,6.38e-06
2021-05-19,351249.0,193.19,8.86e-06,7.2e-06
2021-05-18,351249.0,193.19,8.86e-06,8.86e-06
2021-05-16,521816.0,0.367579,1.457e-05,8.86e-06
2021-05-15,590642.0,0.491632,1.492e-05,1.457e-05
2021-05-14,1713092.0,0.038752,9.2e-06,1.492e-05
2021-05-13,585548.0,5.4792e-08,1.141e-05,9.2e-06
2021-05-12,569431.0,37.25,1.481e-05,1.141e-05
2021-05-11,605089.0,42.44,1.539e-05,1.481e-05
2021-05-10,432323.0,14.18,1.093e-05,1.539e-05
2021-05-09,689298.0,340.3,1.602e-05,1.093e-05
2021-05-08,2231989.0,1022.48,1.009e-05,1.602e-05
2021-05-07,2205899.0,300.22,2.015e-05,1.009e-05
2021-05-06,1694088.0,0.00267994,1.718e-05,2.015e-05
2021-05-05,636683.0,163.09,1.333e-05,1.718e-05
2021-05-04,695058.0,30.96,2.365e-05,1.333e-05
2021-05-03,2027150.0,4.29,1.396e-05,2.365e-05
2021-05-02,1551664.0,368.81,3.458e-05,1.396e-05
2021-05-01,2607139.0,127.5,6.622e-05,3.458e-05
2021-04-30,326971.0,69.98,8.31e-06,6.622e-05
2021-04-29,213769.0,128.24,5.43e-06,8.31e-06
2021-04-28,216249.0,129.7,5.5e-06,5.43e-06
2021-04-27,389681.0,431.33,9.91e-06,5.5e-06
2021-04-26,871839.0,0.01396672,1.581e-05,9.91e-06
2021-04-25,930673.0,1.24,2.369e-05,1.581e-05
2021-04-24,20015233.0,16.58,0.0005062,2.369e-05
2021-04-23,773975.0,56.9,1.972e-05,0.0005062
